$2013 B,reitenbu,"sh, pst",,no continuous usgs wq data 2013,,,,,,,
#,,,,,,,,,,,
#   JDAY,TDS,BIGSED,PTSED,PO4,NH4,NOx,RDOM,RPOM,ALG-BG,ALG-OTH,DO
1,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.8989752
1.042,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.90334999
1.083,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.87318124
1.125,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.98100194
1.167,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.98539969
1.208,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.02026567
1.25,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.05528948
1.292,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.12136974
1.333,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.05954039
1.375,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.21004084
1.417,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.21880495
1.458,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.20574471
1.5,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.22401928
1.542,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.24685513
1.583,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.20644431
1.625,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.166392
1.667,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.17515616
1.708,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.17945231
1.75,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.17945231
1.792,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.18392031
1.833,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.148291
1.875,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.15257577
1.917,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.148291
1.958,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.07751508
2,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.14383485
2.042,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.20644431
2.083,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.20213671
2.125,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.23372509
2.167,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.26528081
2.208,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.29715059
2.25,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.29263465
2.292,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.33351632
2.333,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.37441387
2.375,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.3833197
2.417,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.42005455
2.458,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.30600876
2.5,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.36550803
2.542,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.35677681
2.583,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.31139847
2.625,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.27057599
2.667,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.27509195
2.708,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.27509195
2.75,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.27057599
2.792,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.23444656
2.833,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.23444656
2.875,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.23444656
2.917,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.27057599
2.958,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.3068704
3,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.3068704
3.042,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.33896507
3.083,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.37995779
3.125,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.40797418
3.167,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.40797418
3.208,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.44033677
3.25,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.43593568
3.292,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.47743355
3.333,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.51027568
3.375,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.55213911
3.417,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.55213911
3.458,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.54308753
3.5,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.53865048
3.542,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.50124866
3.583,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.4179792
3.625,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.34896581
3.667,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.34896581
3.708,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.36227311
3.75,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.33005918
3.792,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.30251648
3.833,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.27057599
3.875,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.23895045
3.917,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.1402713
3.958,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.21610317
4,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.18456169
4.042,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.14886365
4.083,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.11332725
4.125,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.08239601
4.167,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.08666946
4.208,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.04716852
4.25,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.01210009
4.292,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,13.01635103
4.333,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.9814296
4.375,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.94666553
4.417,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.95106331
4.458,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.91205797
4.5,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.79644439
4.542,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.84765545
4.583,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.83486752
4.625,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.79648627
4.667,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.79648627
4.708,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.79212286
4.75,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.79648627
4.792,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.80068186
4.833,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.79648627
4.875,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.76246497
4.917,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.82628613
4.958,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.83486752
5,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.83486752
5.042,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.83066096
5.083,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.83066096
5.125,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.86498986
5.167,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.85638598
5.208,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.85216838
5.25,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.85638598
5.292,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.82207956
5.333,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.82628613
5.375,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.83066096
5.417,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.80068186
5.458,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.80068186
5.5,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.79212286
5.542,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.78373167
5.583,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.7453915
5.625,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.7453915
5.667,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.71156708
5.708,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.71590784
5.75,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.71590784
5.792,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.68222365
5.833,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.64869019
5.875,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.68222365
5.917,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.68638664
5.958,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.68638664
6,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.68222365
6.042,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.64869019
6.083,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.64869019
6.125,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.64869019
6.167,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.64869019
6.208,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.64437189
6.25,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.64869019
6.292,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.65284239
6.333,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.6569946
6.375,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.62789671
6.417,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.59876055
6.458,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.62789671
6.5,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.54898581
6.542,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.53629562
6.583,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.50338935
6.625,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.49927973
6.667,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.50338935
6.708,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.50338935
6.75,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.50766335
6.792,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.50338935
6.833,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.50338935
6.875,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.49927973
6.917,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.53217542
6.958,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.53217542
7,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.55679146
7.042,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.55679146
7.083,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.56108752
7.125,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.59426781
7.167,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.58581915
7.208,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.58151198
7.25,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.57737047
7.292,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.58151198
7.333,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.58581915
7.375,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.59426781
7.417,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.60255081
7.458,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.59840931
7.5,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.56108752
7.542,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.52805522
7.583,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.50338935
7.625,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.48325475
7.667,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.48325475
7.708,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.45060835
7.75,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.45060835
7.792,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.45469696
7.833,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.45878556
7.875,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.45878556
7.917,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.49571595
7.958,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.49571595
8,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.49981503
8.042,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.53264978
8.083,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.53264978
8.125,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.52854018
8.167,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.52015658
8.208,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.51177297
8.25,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.50766335
8.292,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.4789917
8.333,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.51604697
8.375,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.48735383
8.417,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.48325475
8.458,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.4789917
8.5,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.43392683
8.542,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.43392683
8.583,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.39314851
8.625,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.38907033
8.667,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.35678711
8.708,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.34442097
8.75,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.34019045
8.792,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.33612263
8.833,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.3318921
8.875,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.29575776
8.917,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.32375645
8.958,24.1,3.48,1.99,0.014,0.003,0.018,0,0,0,0,12.31952591
