$ 2013 pst,,,,,,,,,,,
"# Blowout used as estimate for TDS, Breitenbush for SED, Blowout for all others",,,,,,,,,,,
#   JDAY,TDS,BIGSED,PTSED,PO4,NH4,Nox,RDOM,RPOM,ALG-BG,ALG-OTH,DO
1,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.96991548
1.042,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.97431384
1.083,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.97854303
1.125,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.017633
1.167,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.02204293
1.208,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.05707316
1.25,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.05707316
1.292,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.08782889
1.333,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.16740514
1.375,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.21185231
1.417,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.25650849
1.458,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.20755559
1.5,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.19002493
1.542,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.17696285
1.583,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.13689346
1.625,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.1326081
1.667,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.10589873
1.708,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.11017275
1.75,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.11017275
1.792,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.15009235
1.833,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.15009235
1.875,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.15437769
1.917,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.1857282
1.958,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.15009235
2,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.18125959
2.042,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.17249423
2.083,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.20394877
2.125,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.23554316
2.167,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.26710489
2.208,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.26277365
2.25,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.3308245
2.292,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.37189187
2.333,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.37625808
2.375,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.42190676
2.417,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.42190676
2.458,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.38079893
2.5,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.29446419
2.542,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.24960667
2.583,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.20478692
2.625,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.16448564
2.667,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.16896618
2.708,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.1333078
2.75,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.16448564
2.792,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.16448564
2.833,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.16448564
2.875,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.16448564
2.917,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.16448564
2.958,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.16448564
3,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.20029442
3.042,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.23193515
3.083,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.2724025
3.125,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.33643815
3.167,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.33643815
3.208,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.40526103
3.25,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.40087121
3.292,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.47929888
3.333,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.51214729
3.375,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.51657291
3.417,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.51657291
3.458,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.47029507
3.5,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.42881406
3.542,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.3186239
3.583,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.23713838
3.625,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.24165498
3.667,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.20560103
3.708,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.18284277
3.75,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.18716249
3.792,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.16017742
3.833,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.12883916
3.875,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.1333078
3.917,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.10655306
3.958,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.07546764
4,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.07974168
4.042,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.04451947
4.083,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.00945629
4.125,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.01387787
4.167,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,13.01812938
4.208,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.97896122
4.25,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.94420192
4.292,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.94843113
4.333,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.94843113
4.375,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.91381723
4.417,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.8837344
4.458,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.84505561
4.5,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.79818313
4.542,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.78110743
4.583,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.80242277
4.625,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.83240754
4.667,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.83240754
4.708,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.86235583
4.75,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.86674271
4.792,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.90546223
4.833,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.901233
4.875,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.86674271
4.917,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.86235583
4.958,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.87096087
5,22.8,3.48,1.99,0.013,0.003,0.016,0,0,0,0,12.87096087
