$ 2013 N,orth San,"tiam, ps",t,no continuous usgs wq data 2013,,,,,,,
#,,,,,,,,,,,
#   JDAY,TDS,BIGSED,PTSED,PO4,NH4,NOx,RDOM,RPOM,ALG-BG,ALG-OTH,DO
1,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.93348313
1.042,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.93786937
1.083,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.94208691
1.125,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.94630445
1.167,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.98539969
1.208,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.98539969
1.25,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.05528948
1.292,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.08603937
1.333,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.16560142
1.375,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.21004084
1.417,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.25468922
1.458,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.24159421
1.5,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.18821646
1.542,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.17515616
1.583,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.17068816
1.625,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.166392
1.667,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.17515616
1.708,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.17945231
1.75,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.17945231
1.792,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.18392031
1.833,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.18392031
1.875,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.18821646
1.917,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.18392031
1.958,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.18392031
2,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.17945231
2.042,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.20644431
2.083,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.20213671
2.125,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.23372509
2.167,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.22923323
2.208,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.26095016
2.25,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.25644629
2.292,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.29715059
2.333,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.33787022
2.375,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.34675216
2.417,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.34675216
2.458,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.30600876
2.5,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.25644629
2.542,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.21178406
2.583,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.16715892
2.625,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.162679
2.667,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.1315071
2.708,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.09601671
2.75,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.09156052
2.792,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.09156052
2.833,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.09156052
2.875,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.09156052
2.917,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.12703907
2.958,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.12703907
3,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.12703907
3.042,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.15837137
3.083,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.1984812
3.125,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.18984296
3.167,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.22578523
3.208,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.2573755
3.25,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.25303323
3.292,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.29363448
3.333,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.32569355
3.375,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.36665051
3.417,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.36665051
3.458,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.32115328
3.5,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.28039854
3.542,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.24417499
3.583,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.1992815
3.625,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.16790179
3.667,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.16790179
3.708,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.14527618
3.75,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.11397866
3.792,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.08727572
3.833,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.05624246
3.875,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.02551668
3.917,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.99917723
3.958,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,13.00342817
4,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.97278049
4.042,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.93803912
4.083,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.93803912
4.125,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.90784041
4.167,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.91205797
4.208,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.87339951
4.25,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.83911334
4.292,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.84330891
4.333,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.80916571
4.375,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.80916571
4.417,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.77951632
4.458,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.74133775
4.5,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.69502869
4.542,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.64462827
4.583,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.66546509
4.625,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.66131289
4.667,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.66131289
4.708,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.6569946
4.75,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.66131289
4.792,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.69904208
4.833,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.69487911
4.875,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.69487911
4.917,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.72425544
4.958,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.73276998
5,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.76664963
5.042,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.76246497
5.083,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.76246497
5.125,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.76246497
5.167,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.75392824
5.208,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.74974356
5.25,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.75392824
5.292,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.75392824
5.333,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.75811291
5.375,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.76246497
5.417,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.73276998
5.458,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.73276998
5.5,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.69054961
5.542,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.64869019
5.583,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.64437189
5.625,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.61099945
5.667,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.61099945
5.708,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.6153066
5.75,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.6153066
5.792,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.58207208
5.833,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.58207208
5.875,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.58207208
5.917,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.58620289
5.958,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.58620289
6,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.58207208
6.042,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.58207208
6.083,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.58207208
6.125,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.58207208
6.167,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.58207208
6.208,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.57777603
6.25,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.58207208
6.292,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.58620289
6.333,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.5903337
6.375,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.59462974
6.417,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.56563135
6.458,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.52854018
6.5,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.48325475
6.542,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.43801544
6.583,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.43801544
6.625,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.46653046
6.667,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.43801544
6.708,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.47062956
6.75,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.47489261
6.792,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.47062956
6.833,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.50338935
6.875,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.49927973
6.917,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.49927973
6.958,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.49927973
7,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.52377021
7.042,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.52377021
7.083,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.52805522
7.125,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.56108752
7.167,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.55266063
7.208,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.54836456
7.25,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.51124478
7.292,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.54836456
7.333,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.55266063
7.375,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.52805522
7.417,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.53629562
7.458,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.49927973
7.5,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.46243137
7.542,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.42983821
7.583,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.40554619
7.625,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.41810698
7.667,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.41810698
7.708,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.41810698
7.75,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.41810698
7.792,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.42218515
7.833,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.42626332
7.875,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.45878556
7.917,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.4630377
7.958,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.49571595
8,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.49981503
8.042,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.53264978
8.083,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.53264978
8.125,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.52854018
8.167,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.52015658
8.208,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.51177297
8.25,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.50766335
8.292,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.51177297
8.333,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.51604697
8.375,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.52015658
8.417,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.51604697
8.458,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.4789917
8.5,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.43392683
8.542,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.43392683
8.583,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.39314851
8.625,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.38907033
8.667,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.38907033
8.708,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.37667262
8.75,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.37243129
8.792,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.40072719
8.833,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.39647501
8.875,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.42488354
8.917,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.42078442
8.958,24.1,3.27,1.98,0.013,0.004,0.015,0,0,0,0,12.44914215
