$
Units in metric
"JDAY","DET_Flow-URO","DET_Flow-Spillway","DET_Flow-Power","DET_Flow-Power2"
1,0,0,63.147,0
1.333,0,0,63.147,0
2.333,4.531,0,39.077,0
3.333,0,0,45.59,0
4.333,0,0,45.307,0
5.333,0,0,45.307,0
6.333,0,0,42.475,0
7.333,0,0,42.475,0
8.333,0,0,44.174,0
9.333,0,0,40.21,0
10.333,0,0,42.758,0
11.333,0,0,43.608,0
12.333,0,0,43.042,0
13.333,0,0,43.608,0
14.333,0,0,43.891,0
15.333,0,0,47.006,0
16.333,0,0,47.006,0
17.333,0,0,46.44,0
18.333,0,0,50.687,0
19.333,0,0,55.784,0
20.333,0,0,52.386,0
21.333,0,0,51.537,0
22.333,0,0,51.82,0
23.333,0,0,58.049,0
24.333,0,0,69.943,0
25.333,0,0,69.943,0
26.333,0,0,70.226,0
27.333,5.947,0,70.226,0
28.333,43.325,0,69.943,0
29.333,54.651,0,68.81,0
30.333,42.758,0,66.828,0
31.333,14.442,0,66.261,0
32.333,0,0,48.139,0
33.333,3.964,0,31.715,0
34.333,0,0,34.83,0
35.333,3.398,0,37.945,0
36.333,0,0,36.812,0
37.333,0,0,37.661,0
38.333,0,0,35.679,0
39.333,0,0,38.228,0
40.333,0,0,38.228,0
41.333,0,0,36.246,0
42.333,0,0,38.511,0
43.333,0,0,35.962,0
44.333,0,0,35.396,0
45.333,0,0,35.113,0
46.333,0,0,35.679,0
47.333,0,0,36.246,0
48.333,0,0,35.679,0
49.333,0,0,35.679,0
50.333,0,0,35.396,0
51.333,0,0,37.945,0
52.333,0,0,37.945,0
53.333,0,0,35.113,0
54.333,0,0,37.945,0
55.333,0,0,35.679,0
56.333,0,0,35.679,0
57.333,0,0,35.962,0
58.333,0,0,40.21,0
59.333,20.105,0,20.954,0
61.333,13.026,0,21.238,0
62.333,0,0,35.113,0
63.333,0,0,34.83,0
64.333,0,0,35.396,0
65.333,0,0,35.679,0
66.333,0,0,35.679,0
67.333,0,0,37.095,0
68.333,0,0,37.378,0
69.333,0,0,37.095,0
70.25,0,0,33.131,0
71.25,0,0,35.396,0
72.25,0.85,0,33.131,0
73.25,0,0,35.113,0
74.25,0,0,36.529,0
75.25,0,0,33.697,0
76.25,0,0,36.812,0
77.25,0,0,36.246,0
78.25,0,0,39.36,0
79.25,0,0,33.131,0
80.25,0,0,26.901,0
81.25,0,0,31.715,0
82.25,0,0,31.998,0
83.25,0,0,37.378,0
84.25,0,0,36.246,0
85.25,0,0,34.263,0
86.25,0,0,27.184,0
87.25,0,0,28.6,0
88.25,0,0,26.335,0
89.25,0,0,28.883,0
90.25,0,0,26.901,0
91.25,0,0,25.485,0
92.25,0,0,25.202,0
93.25,0,0,26.618,0
94.25,0,0,27.467,0
95.25,0,0,26.051,0
96.25,0,0,23.22,0
97.25,0,0,22.087,0
98.25,0,0,26.051,0
99.25,0,0,29.449,0
100.25,0,13.592,14.442,0
101.25,0,29.449,0,0
102.25,0,25.485,0,0
103.25,0,22.087,0,0
104.25,0,25.485,0,0
105.25,0,25.202,0,0
106.25,0,9.628,21.804,0
107.25,0,0,28.6,0
108.25,0,0,28.6,0
109.25,0,0,30.865,0
110.25,0,0,26.618,0
111.25,0,0,23.22,0
112.25,0,0,25.485,0
113.25,0,0,27.75,0
114.25,0,0,38.794,0
115.25,0,0,36.812,0
116.25,0,0,56.067,0
117.25,0,0,54.935,0
118.25,0,0,55.218,0
119.25,0,0,55.218,0
120.25,0,0,54.935,0
121.25,0,0,56.917,0
122.25,0,0,57.483,0
123.25,0,0,57.766,0
124.25,0,0,58.616,0
125.25,0,0,56.634,0
126.25,0,14.442,47.289,0
127.25,0,31.432,38.228,0
128.25,0,28.883,41.343,0
129.25,0,32.564,39.077,0
130.25,0,30.865,38.794,0
131.25,0,8.778,57.483,0
132.25,0,5.663,56.634,0
133.25,0,7.929,57.483,0
134.25,0,12.176,57.766,0
135.25,0,3.964,56.634,0
136.25,0,0,54.651,0
137.25,0,0,52.386,0
138.25,0,17.556,36.529,0
139.25,0,16.424,36.812,0
140.25,0,16.99,36.529,0
141.25,0,16.707,36.529,0
142.25,0,9.061,32.564,0
143.25,0,0,39.077,0
144.25,0,0,40.493,0
145.25,0,1.982,51.82,0
146.25,0,17.273,36.529,0
147.25,0,45.307,0,0
148.25,0,45.307,0,0
149.25,0,18.689,42.192,0
150.25,0,16.141,50.121,0
151.25,0,49.554,54.935,0
152.25,0,36.812,54.085,0
153.25,0,12.176,51.82,0
154.25,0,0,54.368,0
155.25,0,0,53.802,0
156.25,0,8.778,33.98,0
157.25,0,8.778,33.98,0
158.25,0,9.061,34.83,0
159.25,0,14.725,28.317,0
160.25,0,13.875,28.6,0
161.25,0,11.893,27.184,0
162.25,0,13.026,28.034,0
163.25,0,16.707,15.857,0
164.25,0,17.84,16.141,0
165.25,0,18.689,16.141,0
166.25,0,18.123,15.574,0
167.25,0,11.893,16.707,0
168.25,0,16.99,16.141,0
169.25,0,16.141,16.141,0
