$
,  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66,
DLX,     0.000,   389.600,   455.300,   596.900,   489.400,   315.100,   323.100,   402.100,   434.500,   532.500,   364.500,   413.900,   503.600,   634.600,   520.000,   484.200,   426.000,   529.700,   455.000,   638.000,   507.700,   454.200,   468.100,   378.600,   488.500,   292.100,   377.300,   321.400,   313.000,   257.700,   255.600,   252.300,   381.500,   305.400,     0.000,     0.000,   359.100,   276.100,   496.000,   418.200,   368.600,   550.000,   400.000,   401.000,   394.700,   405.300,   604.700,     0.000,     0.000,   285.500,   295.300,   280.700,   363.500,   327.400,   310.900,   282.000,   327.700,     0.000,     0.000,   390.200,   246.000,   284.500,   313.800,   295.300,   229.800,     0.000,
ELWS,   442.076,   442.076,   442.076,   442.076,   442.076,   442.076,   442.076,   442.076,   442.076,   442.076,   442.076,   442.076,   442.076,   442.076,   442.076,   442.076,   442.076,   442.076,   442.076,   442.076,   442.076,   442.076,   442.076,   442.076,   442.076,   442.076,   442.076,   442.076,   442.076,   442.076,   442.076,   442.076,   442.076,   442.076,   442.076,   442.076,   442.076,   442.076,   442.076,   442.076,   442.076,   442.076,   442.076,   442.076,   442.076,   442.076,   442.076,   442.076,   442.076,   442.076,   442.076,   442.076,   442.076,   442.076,   442.076,   442.076,   442.076,   442.076,   442.076,   442.076,   442.076,   442.076,   442.076,   442.076,   442.076,   442.076,
PHI0,     0.000,     2.460,     2.320,     2.170,     2.490,     2.170,     1.850,     1.530,     0.960,     0.760,     0.680,     0.560,     1.040,     1.130,     0.960,     0.780,     0.640,     0.620,     0.750,     1.350,     1.090,     1.300,     1.850,     2.000,     2.200,     2.500,     2.600,     2.670,     2.600,     2.620,     2.560,     2.600,     2.960,     2.250,     0.000,     0.000,     0.810,     0.670,     0.740,     1.120,     0.300,     0.500,     0.730,     0.620,     0.780,     0.960,     0.880,     0.000,     0.000,     1.710,     2.420,     2.230,     2.750,     2.400,     2.350,     2.430,     2.410,     0.000,     0.000,     3.860,     3.720,     3.860,     3.960,     3.990,     3.940,     0.000,
FRIC,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,     0.040,
LAYERH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,ELEV
   1.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,  1
   1.000,     0.000,    94.400,   171.100,   324.700,   286.000,   214.900,   294.400,   386.300,   411.800,   584.900,   702.000,   649.800,   726.600,   666.100,  1722.600,  1473.300,  1175.400,  1108.900,   962.100,   930.800,   981.200,   842.000,   562.200,   530.900,   656.900,   692.700,   660.900,   704.200,   578.600,   446.000,   405.800,   427.000,   533.700,   533.000,     0.000,     0.000,   137.900,    97.800,   196.300,   278.800,   356.900,   826.700,   668.000,   838.800,   855.800,   784.000,  1048.600,     0.000,     0.000,    58.900,   182.500,   365.000,   527.000,   297.600,   311.500,   366.400,   451.900,     0.000,     0.000,   101.400,   168.200,   214.500,   375.700,   445.700,   298.000,     0.000,  2
   1.000,     0.000,    79.900,   163.200,   315.500,   279.200,   210.200,   287.300,   379.600,   406.600,   583.700,   700.600,   642.200,   722.400,   656.200,  1707.000,  1459.800,  1167.200,  1099.900,   957.400,   925.200,   980.600,   838.400,   558.600,   527.600,   653.400,   687.700,   660.100,   698.200,   573.300,   440.700,   402.200,   424.000,   525.900,   528.000,     0.000,     0.000,   127.100,    93.200,   174.300,   269.600,   345.200,   781.400,   659.900,   821.300,   832.900,   758.400,  1031.800,     0.000,     0.000,    53.000,   176.200,   358.000,   520.000,   293.400,   305.800,   361.300,   446.300,     0.000,     0.000,    97.700,   164.600,   210.800,   371.400,   441.200,   294.500,     0.000,  3
   1.000,     0.000,    67.500,   155.800,   306.700,   272.900,   205.600,   280.600,   373.100,   401.600,   582.600,   698.900,   631.200,   720.000,   647.400,  1692.300,  1446.800,  1159.300,  1091.600,   952.400,   919.700,   979.700,   834.600,   554.600,   524.000,   649.600,   682.800,   659.000,   692.500,   568.200,   435.600,   398.600,   420.800,   518.700,   523.000,     0.000,     0.000,   116.600,    88.400,   161.400,   260.500,   334.000,   743.300,   650.900,   808.400,   815.400,   735.600,  1017.300,     0.000,     0.000,    46.700,   169.100,   351.000,   514.000,   289.100,   300.400,   356.200,   440.700,     0.000,     0.000,    93.900,   160.800,   207.100,   367.000,   429.100,   290.900,     0.000,  4
   1.000,     0.000,    57.800,   148.500,   297.100,   266.800,   200.800,   274.300,   366.800,   396.800,   581.400,   696.500,   614.600,   710.500,   641.400,  1678.000,  1434.300,  1151.600,  1083.600,   947.100,   914.200,   978.700,   830.800,   550.900,   520.500,   645.900,   678.000,   657.500,   687.100,   563.100,   430.800,   394.700,   417.500,   510.100,   517.000,     0.000,     0.000,   106.300,    83.700,   157.200,   251.600,   323.100,   710.700,   641.700,   796.800,   799.300,   716.000,  1003.500,     0.000,     0.000,    40.900,   160.200,   344.000,   508.400,   285.100,   295.400,   351.200,   435.100,     0.000,     0.000,    90.000,   157.100,   203.300,   362.300,   420.300,   287.100,     0.000,  5
