,Date,Site ID (new),Chl RFU,Chl ug/L,Expected_Chl_ugL,Residual,Residual_Pct
267,2012-01-04,LB,2.2,0.6,8.670392187942955,-8.070392187942955,-93.0798978063027
271,2012-01-04,LB,1.8,0.5,7.1046585147091745,-6.6046585147091745,-92.9623640747149
270,2012-01-04,LB,1.7,0.5,6.71322509640073,-6.21322509640073,-92.55201497313008
269,2012-01-04,LB,1.4,0.4,5.538924841475394,-5.138924841475394,-92.7783818800933
268,2012-01-04,LB,1.4,0.4,5.538924841475394,-5.138924841475394,-92.7783818800933
6932,2022-08-30,BCR,0.13,5.38,0.567720428958143,4.812279571041857,847.6495340978222
6915,2022-08-30,PK,0.2,5.65,0.8417238217740546,4.808276178225945,571.2415466740396
6935,2022-08-30,HT,0.08,5.18,0.37200371980392055,4.807996280196079,1292.4591944215842
6913,2022-08-30,PK,0.18,5.57,0.7634371381123655,4.806562861887635,629.5951063858498
6914,2022-08-30,PK,0.17,5.53,0.7242937962815211,4.805706203718479,663.5023285289303
6923,2022-08-30,BCR,0.15,5.45,0.646007112619832,4.8039928873801685,743.643962045239
6925,2022-08-30,BCR,0.15,5.45,0.646007112619832,4.8039928873801685,743.643962045239
6926,2022-08-30,BCR,0.15,5.45,0.646007112619832,4.8039928873801685,743.643962045239
6937,2022-08-30,HT,0.02,4.94,0.13714366881885354,4.802856331181147,3502.062014634455
6928,2022-08-30,BCR,0.13,5.37,0.567720428958143,4.802279571041857,845.8881037370455
6931,2022-08-30,BCR,0.1,5.25,0.45029040346560956,4.799709596534391,1065.9142543554037
6922,2022-08-30,BCR,0.2,5.64,0.8417238217740546,4.7982761782259455,570.0535085383333
6919,2022-08-30,PK,0.17,5.52,0.7242937962815211,4.7957062037184786,662.1216733236337
6921,2022-08-30,PK,0.17,5.52,0.7242937962815211,4.7957062037184786,662.1216733236337
6920,2022-08-30,PK,0.17,5.52,0.7242937962815211,4.7957062037184786,662.1216733236337
6918,2022-08-30,PK,0.17,5.52,0.7242937962815211,4.7957062037184786,662.1216733236337
6933,2022-08-30,BCR,0.15,5.44,0.646007112619832,4.793992887380169,742.095991472679
6917,2022-08-30,PK,0.15,5.44,0.646007112619832,4.793992887380169,742.095991472679
6938,2022-08-30,BO,0.03,4.97,0.17628701064969804,4.793712989350301,2719.266139736151
6916,2022-08-30,PK,0.02,4.93,0.13714366881885354,4.792856331181146,3494.7703911230483
6907,2022-08-23,PK,0.22,5.71,0.9200105054357436,4.7899894945642565,520.6450867966533
6929,2022-08-30,BCR,0.1,5.24,0.45029040346560956,4.789709596534391,1063.6934652994887
6930,2022-08-30,BCR,0.09,5.2,0.411147061634765,4.788852938365235,1164.7542656207343
6910,2022-08-23,PK,0.2,5.63,0.8417238217740546,4.788276178225946,568.8654704026271
6940,2022-08-30,BO,0.08,5.16,0.37200371980392055,4.787996280196079,1287.0829040956323
6901,2022-08-23,PK,0.17,5.51,0.7242937962815211,4.785706203718479,660.7410181183373
6936,2022-08-30,HT,0.05,5.04,0.25457369431138704,4.785426305688613,1879.7803593309293
