Date,Site ID (new),Chl RFU,Chl ug/L
2010-06-29,LB,0.025,0.1
2010-06-29,LB,0.075,0.3
2010-06-29,HT,0.1,0.4
2010-06-29,HT,0.075,0.3
2010-06-29,BO,0.1,0.4
2010-06-29,BO,0.2,0.8
2010-06-29,BO,0.15,0.6
2010-06-29,BO,0.1,0.4
2010-06-29,BO,0.1,0.4
2010-06-29,BO,0.1,0.4
2010-06-29,BO,0.075,0.3
2010-06-29,BB,0.1,1.9
2010-06-29,BB,0.3,2.7
2010-07-06,LB,3.45,13.8
2010-07-06,LB,0.375,1.5
2010-07-06,HT,0.15,0.6
2010-07-06,BO,0.15,0.6
2010-07-06,BO,0.175,0.7
2010-07-06,BB,1.225,4.9
2010-07-06,BB,0.125,0.5
2010-07-13,LB,0.275,1.1
2010-07-13,LB,0.225,0.9
2010-07-13,HT,0.225,0.9
2010-07-13,HT,0.225,0.9
2010-07-13,BO,0.15,0.6
2010-07-13,BO,0.4,1.6
2010-07-23,LB,1.175,4.7
2010-07-23,LB,0.35,1.4
2010-07-23,HT,0.25,1.0
2010-07-23,HT,0.25,1.0
2010-07-23,BO,0.225,0.9
2010-07-23,BO,0.275,1.1
2010-07-23,BB,0.35,1.4
2010-07-23,BB,0.3,1.2
2010-07-29,HT,0.175,0.7
2010-07-29,HT,0.675,2.7
2010-07-29,BO,0.325,1.3
2010-07-29,BO,0.4,1.6
2010-07-29,BO,0.65,2.6
2010-07-29,BB,0.025,0.1
2010-07-29,BB,0.4,1.6
2010-08-04,LB,0.35,1.4
2010-08-04,LB,0.45,1.8
2010-08-04,HT,0.275,1.1
2010-08-04,HT,0.275,1.1
2010-08-04,BO,0.225,0.9
2010-08-04,BO,0.35,1.4
2010-08-04,BB,0.525,2.1
2010-08-04,BB,0.35,1.4
2010-08-12,HT,0.55,2.2
2010-08-12,HT,0.675,2.7
2010-08-12,BO,0.425,1.7
2010-08-12,BO,0.45,1.8
2010-08-12,BB,0.3,1.2
2010-08-12,BB,0.475,1.9
2010-08-23,BO,0.05,0.2
2010-08-23,BB,0.05,0.2
2010-09-01,LB,0.4,1.6
2010-09-01,LB,0.225,0.9
2010-09-01,HT,0.325,1.3
2010-09-01,HT,0.3,1.2
2010-09-01,BO,0.075,0.3
2010-09-01,BO,0.05,0.2
2010-09-01,BB,0.1,0.4
2010-09-01,BB,0.175,0.7
2011-05-10,LB,0.0,0.1
2011-05-10,LB,0.2,0.7
2011-05-26,LB,0.1,0.3
2011-05-26,LB,0.1,0.4
2011-05-26,LB,0.2,0.6
2011-06-01,LB,0.1,0.3
2011-06-01,LB,0.0,0.0
2011-06-01,HT,0.0,0.1
2011-06-01,HT,0.0,0.0
2011-06-01,HT,0.1,0.3
2011-06-09,BB,0.1,0.3
2011-06-09,BB,0.0,0.0
2011-06-09,BO,0.1,0.4
2011-06-09,BO,0.2,0.7
2011-06-22,LB,0.0,0.0
2011-06-22,LB,0.0,0.1
2011-06-22,LB,0.0,0.1
2011-06-22,LB,0.0,0.0
2011-06-22,HT,0.1,0.4
2011-06-22,BO,0.0,0.0
2011-06-22,BO,0.1,0.5
2011-06-22,BB,0.0,0.0
2011-06-22,BB,0.1,0.2
2011-06-22,BB,0.1,0.4
2011-06-28,BB,0.4,1.4
2011-06-28,BB,0.3,0.9
2011-06-28,BB,0.3,1.2
2011-06-28,BO,0.5,1.6
2011-06-28,BO,0.6,2.0
2011-06-28,BO,0.4,1.6
2011-06-28,HT,0.7,2.6
2011-06-28,HT,0.8,2.7
2011-06-28,HT,0.6,2.1
2011-06-28,LB,0.2,0.6
2011-06-28,LB,0.3,0.9
2011-06-28,LB,0.2,0.6
2011-06-30,BB,0.4,1.3
2011-06-30,BB,0.4,1.4
2011-06-30,BB,0.5,1.7
2011-06-30,LB,0.1,0.4
2011-06-30,LB,0.1,0.3
2011-07-06,LB,0.0,0.0
2011-07-06,LB,0.1,0.4
2011-07-06,LB,0.0,0.0
2011-07-06,HT,0.1,0.5
2011-07-06,HT,0.2,0.6
2011-07-06,HT,0.2,0.6
2011-07-06,BO,0.4,1.3
2011-07-06,BO,0.3,1.1
2011-07-06,BO,0.3,0.9
2011-07-06,BB,0.1,0.5
2011-07-06,BB,0.2,0.6
2011-07-06,BB,0.2,0.7
2011-07-12,LB,0.1,0.2
2011-07-12,LB,0.0,0.0
2011-07-12,HT,0.0,0.0
2011-07-12,HT,0.0,0.0
2011-07-12,BO,0.3,0.9
2011-07-12,BO,0.1,0.2
2011-07-12,BB,0.0,0.1
2011-07-19,BB,0.2,0.8
2011-07-19,BB,0.3,1.1
2011-07-19,BB,0.3,1.0
2011-07-19,BO,0.9,3.1
2011-07-19,BO,0.8,2.7
2011-07-19,BO,0.8,3.0
2011-07-19,HT,0.7,2.4
2011-07-19,HT,0.8,2.8
2011-07-19,HT,0.6,2.1
2011-07-19,LB,0.3,0.9
2011-07-19,LB,0.5,1.7
2011-07-19,LB,0.2,0.9
2011-07-19,LB,0.6,2.2
2011-07-26,BB,0.3,1.1
2011-07-26,BB,0.2,0.8
2011-07-26,BB,0.1,0.4
2011-07-26,BO,0.2,0.6
2011-07-26,BO,0.2,0.7
2011-07-26,BO,0.3,0.9
2011-07-26,HT,0.5,1.8
2011-07-26,HT,0.4,1.5
2011-07-26,HT,0.3,1.0
2011-07-26,HT,0.5,1.6
2011-07-26,HT,0.4,1.3
2011-07-26,LB,0.5,1.7
2011-07-26,LB,0.5,1.6
2011-07-26,LB,0.3,1.1
2011-08-02,LB,0.3,1.1
2011-08-02,LB,0.3,1.0
2011-08-02,LB,0.3,1.0
2011-08-02,LB,0.3,1.0
2011-08-02,HT,0.1,0.2
2011-08-02,HT,0.0,0.2
2011-08-02,HT,0.2,0.7
2011-08-02,BO,0.3,1.1
2011-08-02,BO,0.3,1.0
