system:index,chl,date,sensor,.geo
2011_01_01_0,39.92110673374224,2011-01-01,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_01_08_0,35.25176500068401,2011-01-08,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_01_20_0,84.05078949730324,2011-01-20,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_01_23_0,94.83475749200174,2011-01-23,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_01_27_0,80.83678749776924,2011-01-27,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_02_01_0,68.34347809418784,2011-02-01,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_02_02_0,52.21586401234515,2011-02-02,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_02_10_0,79.68300588332923,2011-02-10,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_04_01_0,101.19257688117528,2011-04-01,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_04_12_0,99.32007318510563,2011-04-12,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_04_19_0,125.24199826723134,2011-04-19,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_04_22_0,92.39275013518599,2011-04-22,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_04_23_0,76.54172361092134,2011-04-23,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_05_01_0,81.31014055832344,2011-05-01,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_05_04_0,85.6521885833203,2011-05-04,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_05_12_0,54.26362778632366,2011-05-12,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_05_13_0,62.104093680776735,2011-05-13,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_05_19_0,60.800487636319154,2011-05-19,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_05_20_0,85.8488729014666,2011-05-20,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_05_24_0,111.11503241601166,2011-05-24,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_06_03_0,95.80395274342263,2011-06-03,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_06_09_0,82.26644219083862,2011-06-09,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_06_14_0,107.78871013692101,2011-06-14,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_06_16_0,76.4853001665297,2011-06-16,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_06_17_0,104.08909588402004,2011-06-17,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_06_20_0,60.112102066800475,2011-06-20,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_06_22_0,86.79368690860238,2011-06-22,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_06_25_0,76.05772021727975,2011-06-25,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_07_01_0,101.88139684202784,2011-07-01,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_07_02_0,76.74282627087642,2011-07-02,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_07_03_0,96.82867969247039,2011-07-03,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_07_05_0,101.56490584060998,2011-07-05,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_07_06_0,50.344926609608024,2011-07-06,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_07_08_0,92.8260933169587,2011-07-08,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_07_09_0,86.76223814204066,2011-07-09,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_07_10_0,114.2829426905331,2011-07-10,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_07_15_0,100.58024971743487,2011-07-15,Terra,"{""type"":""MultiPoint"",""coordinates"":[]}"
