system:index,date,ndci,.geo
LC08_044029_20130330,2013-03-30,0.8040935672514661,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20130325,2013-03-25,0.16989757740155276,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20130423,2013-04-23,0.02862808278597145,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20130525,2013-05-25,-0.7445721583652617,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20130610,2013-06-10,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20130712,2013-07-12,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20130728,2013-07-28,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20130813,2013-08-13,0.4631578947368347,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20130829,2013-08-29,0.06036378970402189,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20130914,2013-09-14,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20130930,2013-09-30,-0.012463188074160305,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20131016,2013-10-16,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20131101,2013-11-01,0.08817899018904031,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20131117,2013-11-17,0.010441300579870569,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20131203,2013-12-03,0.05972462402446552,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20131219,2013-12-19,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20140104,2014-01-04,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20140120,2014-01-20,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20140205,2014-02-05,,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20140221,2014-02-21,0.4014870588235295,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20140309,2014-03-09,-0.026964594362492062,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045029_20140325,2014-03-25,-0.020709229086443705,"{""type"":""MultiPoint"",""coordinates"":[]}"
