system:index,chl,date,sensor,.geo
2011_01_01_0,43.80209850376016,2011-01-01,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_01_20_0,63.81533735797269,2011-01-20,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_01_25_0,44.16054161029014,2011-01-25,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_01_27_0,98.97397497359897,2011-01-27,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_01_30_0,68.13756836404929,2011-01-30,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_02_01_0,71.21502237346829,2011-02-01,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_02_02_0,44.86665745580957,2011-02-02,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_02_09_0,50.771528012605025,2011-02-09,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_02_10_0,74.34828274486622,2011-02-10,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_02_16_0,48.29980506127125,2011-02-16,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_02_21_0,109.11533360042488,2011-02-21,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_04_12_0,87.09085213487717,2011-04-12,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_04_19_0,162.1274623433197,2011-04-19,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_04_22_0,111.62188528939377,2011-04-22,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_05_01_0,96.76396354713471,2011-05-01,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_05_04_0,96.25680001665464,2011-05-04,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_05_19_0,54.26581352100525,2011-05-19,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_05_20_0,104.84159837520826,2011-05-20,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_05_24_0,102.53826936148607,2011-05-24,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_06_14_0,112.65513507403294,2011-06-14,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_06_16_0,78.31897982530253,2011-06-16,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_06_17_0,91.46051074844254,2011-06-17,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_06_20_0,47.090366031821816,2011-06-20,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_06_25_0,76.99583262695026,2011-06-25,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_07_01_0,87.21334783890894,2011-07-01,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_07_02_0,89.06323716632072,2011-07-02,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_07_03_0,106.73599648420063,2011-07-03,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_07_05_0,110.00817033487291,2011-07-05,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_07_06_0,44.00653583824581,2011-07-06,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_07_08_0,92.69302235971568,2011-07-08,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_07_09_0,112.65513507403294,2011-07-09,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_07_10_0,116.19167435753114,2011-07-10,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_07_15_0,66.25042292575716,2011-07-15,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_07_22_0,61.435254350479454,2011-07-22,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_07_23_0,127.05736414658709,2011-07-23,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_07_24_0,100.45210761874657,2011-07-24,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_07_27_0,68.04960229949131,2011-07-27,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_07_28_0,109.41020522659137,2011-07-28,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_07_29_0,52.49847237996095,2011-07-29,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_07_30_0,129.07631946844995,2011-07-30,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_07_31_0,66.09634168116484,2011-07-31,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_08_01_0,149.65358562574008,2011-08-01,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_08_02_0,165.2032994646956,2011-08-02,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_08_03_0,118.10292725596236,2011-08-03,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_08_04_0,110.58139213888995,2011-08-04,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_08_05_0,58.517852372693284,2011-08-05,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_08_06_0,144.38060479623073,2011-08-06,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_08_07_0,71.59133801493304,2011-08-07,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_08_08_0,256.09794233171436,2011-08-08,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_08_09_0,103.74032017780459,2011-08-09,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_08_10_0,161.78991060426,2011-08-10,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_08_11_0,136.81769706596037,2011-08-11,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_08_12_0,89.98077728752098,2011-08-12,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_08_13_0,181.06209569305952,2011-08-13,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_08_14_0,69.08044720576486,2011-08-14,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_08_16_0,146.0805084332217,2011-08-16,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_08_17_0,168.68549264113082,2011-08-17,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_08_18_0,155.8860283373593,2011-08-18,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_08_19_0,141.06020664809748,2011-08-19,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_08_20_0,128.81269275713737,2011-08-20,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_08_21_0,57.0574785391629,2011-08-21,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_08_22_0,71.07419091964437,2011-08-22,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_08_23_0,171.9348307312573,2011-08-23,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_08_24_0,129.48827783037225,2011-08-24,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_08_25_0,165.3349880208901,2011-08-25,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_08_26_0,117.70297020418225,2011-08-26,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_08_27_0,124.78178103952729,2011-08-27,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_08_28_0,96.2231297029822,2011-08-28,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_09_01_0,156.37664410213165,2011-09-01,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_09_02_0,144.79405871456296,2011-09-02,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_09_03_0,125.77832099629731,2011-09-03,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_09_04_0,126.56126622838634,2011-09-04,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_09_05_0,104.88339912079087,2011-09-05,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_09_06_0,136.59085740131985,2011-09-06,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_09_08_0,70.94115574259953,2011-09-08,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_09_11_0,103.66602044263021,2011-09-11,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_09_19_0,109.23643880672583,2011-09-19,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_09_20_0,107.56226532025099,2011-09-20,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_09_21_0,112.65513507403294,2011-09-21,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_09_23_0,96.20544803271855,2011-09-23,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_09_24_0,139.74357691815263,2011-09-24,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_09_28_0,100.45210761874657,2011-09-28,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_09_29_0,134.75308810004827,2011-09-29,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_10_08_0,137.62910345180538,2011-10-08,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_10_17_0,134.4738411979923,2011-10-17,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_10_18_0,81.118103515045,2011-10-18,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_10_23_0,38.32636517864139,2011-10-23,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_10_24_0,127.95305950676457,2011-10-24,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_10_25_0,53.090210399129326,2011-10-25,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_10_27_0,55.21293515094798,2011-10-27,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_10_29_0,84.92661688226887,2011-10-29,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_10_31_0,76.91307282218298,2011-10-31,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_11_02_0,86.68450035070775,2011-11-02,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_11_08_0,41.5647419552798,2011-11-08,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_11_11_0,73.93083245759226,2011-11-11,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_11_25_0,27.667602636703084,2011-11-25,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_11_28_0,37.67458372125158,2011-11-28,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_11_29_0,25.372853068576955,2011-11-29,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_12_01_0,34.673685045253166,2011-12-01,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_12_02_0,69.08044720576486,2011-12-02,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_12_03_0,33.24368864295999,2011-12-03,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_12_04_0,22.422184405303874,2011-12-04,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_12_05_0,27.330486894471413,2011-12-05,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_12_06_0,23.334665646088247,2011-12-06,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_12_07_0,51.254919857566165,2011-12-07,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_12_08_0,35.8066382369958,2011-12-08,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_12_09_0,30.794258119859737,2011-12-09,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_12_10_0,38.594241774626866,2011-12-10,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_12_12_0,48.60873960646416,2011-12-12,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_12_13_0,67.22674414505506,2011-12-13,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_12_16_0,55.41897191001927,2011-12-16,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_12_17_0,31.94569628292066,2011-12-17,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_12_19_0,33.20862402096798,2011-12-19,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_12_22_0,58.31486996021368,2011-12-22,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_12_23_0,47.97955322651681,2011-12-23,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_07_0,40.14334395814256,2012-01-07,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_08_0,54.40402336169187,2012-01-08,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_09_0,37.42447314134012,2012-01-09,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_10_0,67.56503468365383,2012-01-10,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_11_0,43.197176549953596,2012-01-11,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_12_0,43.752036321837764,2012-01-12,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_23_0,87.06860954725737,2012-01-23,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_27_0,55.34140107921002,2012-01-27,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_02_02_0,115.86561909267498,2012-02-02,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_02_03_0,63.856922641706284,2012-02-03,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_02_05_0,48.014531993643054,2012-02-05,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_02_06_0,91.10499973896465,2012-02-06,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_02_24_0,111.24367151269259,2012-02-24,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_02_27_0,85.24914948079152,2012-02-27,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_03_08_0,62.11497605223732,2012-03-08,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_04_14_0,86.77650774405423,2012-04-14,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_04_21_0,159.9105746719555,2012-04-21,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_04_22_0,115.20348435534189,2012-04-22,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_04_23_0,146.6911202982993,2012-04-23,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_04_29_0,91.46051074844254,2012-04-29,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_05_06_0,112.65513507403294,2012-05-06,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_05_07_0,100.9490328501314,2012-05-07,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_05_09_0,103.1140270714048,2012-05-09,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_05_10_0,76.45594484142804,2012-05-10,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_05_11_0,74.7654405569181,2012-05-11,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_05_12_0,88.66168429579906,2012-05-12,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_05_13_0,115.9315256220396,2012-05-13,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
