system:index,date,ndci,.geo
20180528T185921_20180528T190615_T10TEQ,2018-05-28,0.01809954751131222,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180617T185921_20180617T190227_T10TEQ,2018-06-17,0.03328542684679506,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180707T185921_20180707T190608_T10TEQ,2018-07-07,-0.05844155844155844,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181214T190801_20181214T190801_T10TEQ,2018-12-14,0.0659253375694996,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181219T190809_20181219T191025_T10TEQ,2018-12-19,0.03603396832683039,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181224T190811_20181224T190806_T10TEQ,2018-12-24,0.0074026976701939235,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181229T190809_20181229T190807_T10TEQ,2018-12-29,0.011651154774215787,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190103T190801_20190103T190759_T10TEQ,2019-01-03,0.017965786271562523,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190108T190759_20190108T191043_T10TEQ,2019-01-08,0.0026344862751763406,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190113T190741_20190113T190736_T10TEQ,2019-01-13,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190118T190719_20190118T190754_T10TEQ,2019-01-18,0.004317627182278956,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190123T190701_20190123T191131_T10TEQ,2019-01-23,0.003359247528553604,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190128T190639_20190128T190639_T10TEQ,2019-01-28,0.0037614185921547557,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190202T190611_20190202T190903_T10TEQ,2019-02-02,0.04577572964669739,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190207T190549_20190207T190943_T10TEQ,2019-02-07,0.03962943901183737,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190212T190511_20190212T190512_T10TEQ,2019-02-12,0.010171490344454817,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190217T190439_20190217T190453_T10TEQ,2019-02-17,0.02781717028471692,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190222T190401_20190222T191033_T10TEQ,2019-02-22,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190227T190329_20190227T191141_T10TEQ,2019-02-27,0.007603890362511052,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190304T190251_20190304T190543_T10TEQ,2019-03-04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190309T190219_20190309T190519_T10TEQ,2019-03-09,-0.054945054945054944,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190314T190141_20190314T190833_T10TEQ,2019-03-14,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190319T190109_20190319T191114_T10TEQ,2019-03-19,0.08041958041958042,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190324T190031_20190324T190104_T10TEQ,2019-03-24,0.13131313131313133,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190329T185959_20190329T190332_T10TEQ,2019-03-29,0.039640987284966345,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190403T190121_20190403T191201_T10TEQ,2019-04-03,0.021035058430717863,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190408T185919_20190408T190318_T10TEQ,2019-04-08,0.013082734475769301,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190413T185921_20190413T190602_T10TEQ,2019-04-13,0.009150326797385621,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190418T185919_20190418T190823_T10TEQ,2019-04-18,-0.19518072289156627,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190423T185921_20190423T190553_T10TEQ,2019-04-23,0.013135033706303426,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190428T185929_20190428T190154_T10TEQ,2019-04-28,-0.24861878453038674,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190503T185921_20190503T190557_T10TEQ,2019-05-03,-0.12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190508T185929_20190508T191118_T10TEQ,2019-05-08,-0.048034934497816595,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190513T185921_20190513T191024_T10TEQ,2019-05-13,-0.021645021645021644,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190518T185929_20190518T190815_T10TEQ,2019-05-18,0.025702331141661684,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190523T185921_20190523T190553_T10TEQ,2019-05-23,-0.007481296758104738,"{""type"":""MultiPoint"",""coordinates"":[]}"
