system:index,date,.geo
LC08_044030_20130330,2013-03-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_044031_20130330,2013-03-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20130325,2013-03-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20130423,2013-04-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20130525,2013-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20130610,2013-06-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20130712,2013-07-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20130728,2013-07-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20130813,2013-08-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20130829,2013-08-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20130914,2013-09-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20130930,2013-09-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20131016,2013-10-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20131101,2013-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20131117,2013-11-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20131203,2013-12-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20131219,2013-12-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20140104,2014-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20140120,2014-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20140205,2014-02-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20140221,2014-02-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20140410,2014-04-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20140426,2014-04-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20140512,2014-05-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20140528,2014-05-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20140613,2014-06-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20140629,2014-06-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20140715,2014-07-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20140731,2014-07-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20140816,2014-08-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20140901,2014-09-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20140917,2014-09-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20141003,2014-10-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20141019,2014-10-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20141206,2014-12-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20150107,2015-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20150123,2015-01-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20150224,2015-02-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20150312,2015-03-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20150328,2015-03-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20150413,2015-04-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20150429,2015-04-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20150531,2015-05-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20150616,2015-06-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20150702,2015-07-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20150718,2015-07-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20150803,2015-08-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20150819,2015-08-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20150904,2015-09-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20150920,2015-09-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20151006,2015-10-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20151022,2015-10-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20151107,2015-11-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20151123,2015-11-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20151209,2015-12-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20151225,2015-12-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20160110,2016-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20160126,2016-01-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20160211,2016-02-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20160227,2016-02-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20160314,2016-03-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20160330,2016-03-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20160415,2016-04-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20160501,2016-05-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20160517,2016-05-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20160602,2016-06-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20160618,2016-06-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20160704,2016-07-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20160720,2016-07-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20160805,2016-08-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20160821,2016-08-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
LC08_045030_20160906,2016-09-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
