OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
CEDEN,California State Water Resources Control Board,CEDEN--2147204560,Sample-Routine,Water,,40651,0.461805556,PST,,,,Surface,,,,,,,,KTMP_UKL_2011,Klamath Tribes Monitoring Program_UKL_2011,,CEDEN-KL0004,Upper Klamath Lake at Wocus Bay-KL0004,,,,,42.3262,-121.921,Water_Grab,CEDEN,Water_Grab,Method for generic water collection that was either grab or integrated,Miscellaneous (Other),STORET-832819694,,,Chlorophyll a,,17.8,ug/L,,Final,,Actual,,,,,,,,,,1,,0,m,,,,,,,66,CEDEN,EPA 445.0,,,ARI,18264,,,,,,,2020-04-08T00:19:45,STORET
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),KLAMATHTRIBES_WQX-KL0006:20110613:121500:SR:VT:002,Sample-Routine,Water,,40707,0.510416667,PDT,,,,,,,,,,,,KT_UKL_WQ,Klamath Tribes Upper Klamath Lake Water Quality Data,,KLAMATHTRIBES_WQX-KL0006,UPPER KLAMATH LAKE AT EAGLE RIDGE,,,,,42.422083,-121.943278,002,KLAMATHTRIBES_WQX,Grab,Water sample collected with Van Dorn Bottle and then sampled with a Churn Splitter,Vinyl Tube,STORET-892083402,,,Chlorophyll a,Unfiltered,14.42058324,ug/L,,Final,,Actual,,,,,,,,,,,,0,m,,,,,,,445,USEPA,445.0 ~ EPA; Chlorophyll and Pheophytin in Algae by Fluorescence,,https://www.nemi.gov/methods/method_summary/7222/,Sprague River Water Quality Lab,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/KLAMATHTRIBES_WQX/activities/KLAMATHTRIBES_WQX-KL0006%3A20110613%3A121500%3ASR%3AVT%3A002/results/892083402/resdetectqntlmts,Method Detection Level,1,ug/L,,2021-04-13T16:04:31,STORET
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),KLAMATHTRIBES_WQX-KL0006:20110602:113100:SR:VT:002,Sample-Routine,Water,,40696,0.479861111,PDT,,,,,,,,,,,,KT_UKL_WQ,Klamath Tribes Upper Klamath Lake Water Quality Data,,KLAMATHTRIBES_WQX-KL0006,UPPER KLAMATH LAKE AT EAGLE RIDGE,,,,,42.422083,-121.943278,002,KLAMATHTRIBES_WQX,Grab,Water sample collected with Van Dorn Bottle and then sampled with a Churn Splitter,Vinyl Tube,STORET-892083030,,,Chlorophyll a,Unfiltered,12.03384281,ug/L,,Final,,Actual,,,,,,,,,,,,0,m,,,,,,,445,USEPA,445.0 ~ EPA; Chlorophyll and Pheophytin in Algae by Fluorescence,,https://www.nemi.gov/methods/method_summary/7222/,Sprague River Water Quality Lab,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/KLAMATHTRIBES_WQX/activities/KLAMATHTRIBES_WQX-KL0006%3A20110602%3A113100%3ASR%3AVT%3A002/results/892083030/resdetectqntlmts,Method Detection Level,1,ug/L,,2021-04-13T16:04:29,STORET
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),KLAMATHTRIBES_WQX-KL0008:20110720:141200:SR:VT:002,Sample-Routine,Water,,40744,0.591666667,PDT,,,,,,,,,,,,KT_UKL_WQ,Klamath Tribes Upper Klamath Lake Water Quality Data,,KLAMATHTRIBES_WQX-KL0008,UPPER KLAMATH LAKE AT MID-LAKE NORTH,,,,,42.441361,-121.998833,002,KLAMATHTRIBES_WQX,Grab,Water sample collected with Van Dorn Bottle and then sampled with a Churn Splitter,Vinyl Tube,STORET-892084193,,,Chlorophyll a,Unfiltered,65.7618604,ug/L,,Final,,Actual,,,,,,,,,,,,0,m,,,,,,,445,USEPA,445.0 ~ EPA; Chlorophyll and Pheophytin in Algae by Fluorescence,,https://www.nemi.gov/methods/method_summary/7222/,Sprague River Water Quality Lab,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/KLAMATHTRIBES_WQX/activities/KLAMATHTRIBES_WQX-KL0008%3A20110720%3A141200%3ASR%3AVT%3A002/results/892084193/resdetectqntlmts,Method Detection Level,1,ug/L,,2021-04-13T16:04:35,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2147000819,Sample-Routine,Water,,40721,0.575694444,PST,,,,Surface,,,,,,,,KTMP_UKL_2011,Klamath Tribes Monitoring Program_UKL_2011,,CEDEN-KL0008,Upper Klamath Lake at Mid North-KL0008,,,,,42.4412,-122,Water_Grab,CEDEN,Water_Grab,Method for generic water collection that was either grab or integrated,Miscellaneous (Other),STORET-833582918,,,Chlorophyll a,,8.05,ug/L,,Final,,Actual,,,,,,,,,,1,,0,m,,,,,,,66,CEDEN,EPA 445.0,,,ARI,18264,,,,,,,2020-04-08T02:03:22,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2147231990,Sample-Routine,Water,,40777,0.6375,PST,,,,Surface,,,,,,,,KTMP_UKL_2011,Klamath Tribes Monitoring Program_UKL_2011,,CEDEN-KL0009,Upper Klamath Lake at Coon Point-KL0009,,,,,42.4356,-122.029,Water_Grab,CEDEN,Water_Grab,Method for generic water collection that was either grab or integrated,Miscellaneous (Other),STORET-832594895,,,Chlorophyll a,,39.5,ug/L,,Final,,Actual,,,,,,,,,,1,,0,m,,,,,,,66,CEDEN,EPA 445.0,,,ARI,18264,,,,,,,2020-04-07T23:43:14,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2147432874,Sample-Routine,Water,,40721,0.558333333,PST,,,,Surface,,,,,,,,KTMP_UKL_2011,Klamath Tribes Monitoring Program_UKL_2011,,CEDEN-KL0007,Upper Klamath Lake at Shoalwater Bay-KL0007,,,,,42.4071,-121.964,Water_Grab,CEDEN,Water_Grab,Method for generic water collection that was either grab or integrated,Miscellaneous (Other),STORET-832650878,,,Chlorophyll a,,11.9,ug/L,,Final,,Actual,,,,,,,,,,1,,0,m,,,,,,,66,CEDEN,EPA 445.0,,,ARI,18264,,,,,,,2020-04-07T23:51:33,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2147097706,Sample-Routine,Water,,40696,0.534027778,PST,,,,Surface,,,,,,,,KTMP_UKL_2011,Klamath Tribes Monitoring Program_UKL_2011,,CEDEN-KL0008,Upper Klamath Lake at Mid North-KL0008,,,,,42.4412,-122,Water_Grab,CEDEN,Water_Grab,Method for generic water collection that was either grab or integrated,Miscellaneous (Other),STORET-832706007,,,Chlorophyll a,,11.6,ug/L,,Final,,Actual,,,,,,,,,,1,,0,m,,,,,,,66,CEDEN,EPA 445.0,,,ARI,18264,,,,,,,2020-04-07T23:59:10,STORET
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),KLAMATHTRIBES_WQX-KL0002:20110627:100500:SR:VT:002,Sample-Routine,Water,,40721,0.420138889,PDT,,,,,,,,,,,,KT_UKL_WQ,Klamath Tribes Upper Klamath Lake Water Quality Data,,KLAMATHTRIBES_WQX-KL0002,UPPER KLAMATH LAKE AT PELICAN MARINA,,,,,42.241722,-121.822306,002,KLAMATHTRIBES_WQX,Grab,Water sample collected with Van Dorn Bottle and then sampled with a Churn Splitter,Vinyl Tube,STORET-892083862,,,Chlorophyll a,Unfiltered,13.53244767,ug/L,,Final,,Actual,,,,,,,,,,,,0,m,,,,,,,445,USEPA,445.0 ~ EPA; Chlorophyll and Pheophytin in Algae by Fluorescence,,https://www.nemi.gov/methods/method_summary/7222/,Sprague River Water Quality Lab,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/KLAMATHTRIBES_WQX/activities/KLAMATHTRIBES_WQX-KL0002%3A20110627%3A100500%3ASR%3AVT%3A002/results/892083862/resdetectqntlmts,Method Detection Level,1,ug/L,,2021-04-13T16:04:33,STORET
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),KLAMATHTRIBES_WQX-KL0009:20110602:131000:SR:VT:002,Sample-Routine,Water,,40696,0.548611111,PDT,,,,,,,,,,,,KT_UKL_WQ,Klamath Tribes Upper Klamath Lake Water Quality Data,,KLAMATHTRIBES_WQX-KL0009,UPPER KLAMATH LAKE AT COON POINT,,,,,42.435722,-122.028194,002,KLAMATHTRIBES_WQX,Grab,Water sample collected with Van Dorn Bottle and then sampled with a Churn Splitter,Vinyl Tube,STORET-892083084,,,Chlorophyll a,Unfiltered,15.39865747,ug/L,,Final,,Actual,,,,,,,,,,,,0,m,,,,,,,445,USEPA,445.0 ~ EPA; Chlorophyll and Pheophytin in Algae by Fluorescence,,https://www.nemi.gov/methods/method_summary/7222/,Sprague River Water Quality Lab,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/KLAMATHTRIBES_WQX/activities/KLAMATHTRIBES_WQX-KL0009%3A20110602%3A131000%3ASR%3AVT%3A002/results/892083084/resdetectqntlmts,Method Detection Level,1,ug/L,,2021-04-13T16:04:29,STORET
