chl,date,sensor
76.10435519830169,2011-01-06,Aqua
50.66954706072416,2011-01-20,Aqua
51.27908277054127,2011-01-22,Aqua
42.59455031843163,2011-01-25,Aqua
59.03702739194134,2011-01-27,Aqua
61.83013631404339,2011-01-30,Aqua
36.97619842245258,2011-02-01,Aqua
44.33476499664836,2011-02-02,Aqua
49.320919264013526,2011-02-09,Aqua
54.91647999126957,2011-02-10,Aqua
111.31604466890317,2011-02-21,Aqua
88.30020111972756,2011-04-12,Aqua
124.38584578564448,2011-04-19,Aqua
79.00001691628201,2011-04-22,Aqua
69.58960139544135,2011-05-01,Aqua
76.28712159215438,2011-05-04,Aqua
53.31414578833365,2011-05-10,Aqua
59.483658836875286,2011-05-19,Aqua
81.65332746176308,2011-05-20,Aqua
86.06519697097556,2011-05-24,Aqua
56.18295041932424,2011-06-09,Aqua
97.05052929615324,2011-06-14,Aqua
77.18715757947979,2011-06-16,Aqua
86.2565536268046,2011-06-17,Aqua
74.56140941912014,2011-06-20,Aqua
76.61681788194898,2011-06-25,Aqua
103.9664131443255,2011-07-01,Aqua
91.08526584596038,2011-07-02,Aqua
113.16768295057068,2011-07-03,Aqua
55.66269183636186,2011-07-04,Aqua
101.71294481226066,2011-07-05,Aqua
115.72168590745312,2011-07-06,Aqua
97.48484543207273,2011-07-08,Aqua
105.60888185557582,2011-07-09,Aqua
128.92150257362348,2011-07-10,Aqua
90.88835790345543,2011-07-15,Aqua
42.56569394776609,2011-07-20,Aqua
67.11506637318386,2011-07-22,Aqua
125.8083445358313,2011-07-23,Aqua
108.99701583629128,2011-07-24,Aqua
76.66786273028228,2011-07-27,Aqua
108.69441952865026,2011-07-28,Aqua
55.11799081085348,2011-07-29,Aqua
126.49028653654774,2011-07-30,Aqua
84.70736591450968,2011-07-31,Aqua
124.25063081988023,2011-08-01,Aqua
139.36670060107966,2011-08-02,Aqua
101.65049578012547,2011-08-03,Aqua
123.28180671552255,2011-08-04,Aqua
66.11517680899847,2011-08-05,Aqua
107.56534113063907,2011-08-06,Aqua
74.08436167059834,2011-08-07,Aqua
150.6773407017918,2011-08-08,Aqua
110.28643914030076,2011-08-09,Aqua
100.50939360824424,2011-08-10,Aqua
133.93596739622313,2011-08-11,Aqua
89.98077728752098,2011-08-12,Aqua
135.40825742755973,2011-08-13,Aqua
76.01888550967017,2011-08-14,Aqua
105.9011651674416,2011-08-16,Aqua
106.30423656321352,2011-08-17,Aqua
130.1825108765671,2011-08-18,Aqua
132.314069381749,2011-08-19,Aqua
112.65513507403294,2011-08-20,Aqua
76.10580965079785,2011-08-21,Aqua
71.55903364373991,2011-08-22,Aqua
35.558054153139636,2011-08-23,Aqua
112.01322661151625,2011-08-24,Aqua
157.3290178083778,2011-08-25,Aqua
88.00624936415625,2011-08-26,Aqua
121.29868081027148,2011-08-27,Aqua
88.77294908771921,2011-08-28,Aqua
108.4693635622884,2011-08-29,Aqua
128.4018783565762,2011-09-01,Aqua
111.52426603015107,2011-09-02,Aqua
107.18663852597884,2011-09-03,Aqua
90.7960036533062,2011-09-04,Aqua
108.33725241879192,2011-09-05,Aqua
102.76213761125355,2011-09-06,Aqua
77.37371037358882,2011-09-08,Aqua
106.42811303357814,2011-09-10,Aqua
90.70011324205146,2011-09-11,Aqua
82.22422052050905,2011-09-13,Aqua
80.1877863766427,2011-09-18,Aqua
77.01192906686867,2011-09-19,Aqua
82.63097445306632,2011-09-20,Aqua
107.90929105670018,2011-09-21,Aqua
75.32679243278118,2011-09-23,Aqua
85.36296370085321,2011-09-24,Aqua
92.28289906413671,2011-09-28,Aqua
90.62362906613976,2011-09-29,Aqua
92.91382820198912,2011-10-08,Aqua
43.21838812272178,2011-10-16,Aqua
67.78924871038093,2011-10-17,Aqua
73.48613302446111,2011-10-18,Aqua
47.154503847121454,2011-10-24,Aqua
63.58187515597046,2011-10-25,Aqua
47.90059748532569,2011-10-27,Aqua
53.52605508129381,2011-10-29,Aqua
47.979553226516785,2011-11-01,Aqua
35.333015178841315,2011-11-02,Aqua
45.51984374870174,2011-11-08,Aqua
39.10380097936191,2011-11-11,Aqua
27.614194481122297,2011-11-25,Aqua
41.03541924132173,2011-11-29,Aqua
35.6107748608862,2011-12-01,Aqua
32.03717722193365,2011-12-02,Aqua
35.736665944375765,2011-12-03,Aqua
30.569338308712755,2011-12-04,Aqua
29.359092930522582,2011-12-05,Aqua
35.90547774790776,2011-12-06,Aqua
28.33784186066956,2011-12-07,Aqua
37.09505630583967,2011-12-08,Aqua
30.456499666948293,2011-12-09,Aqua
39.89948337278951,2011-12-10,Aqua
33.05545913409304,2011-12-12,Aqua
33.07788272666078,2011-12-13,Aqua
31.578821633633314,2011-12-16,Aqua
34.31611803778243,2011-12-17,Aqua
36.79232941033006,2011-12-21,Aqua
28.742858776988893,2011-12-22,Aqua
35.13067982648196,2011-12-23,Aqua
42.295294036111535,2012-01-08,Aqua
37.77496194034364,2012-01-09,Aqua
49.8519201248665,2012-01-10,Aqua
45.79001163134787,2012-01-11,Aqua
41.280445880634154,2012-01-12,Aqua
39.31396493694469,2012-01-23,Aqua
56.9070685341485,2012-01-27,Aqua
52.96995204902476,2012-02-02,Aqua
62.2664433478136,2012-02-03,Aqua
46.30862021188976,2012-02-05,Aqua
52.351778299265625,2012-02-06,Aqua
35.91064721957251,2012-02-12,Aqua
81.43540354234251,2012-02-24,Aqua
26.006337184761982,2012-02-27,Aqua
34.37322617695333,2012-03-04,Aqua
59.12749484157608,2012-03-07,Aqua
50.26580705247241,2012-03-08,Aqua
41.07613571267018,2012-03-23,Aqua
53.05144533322403,2012-03-24,Aqua
69.08044720576486,2012-04-14,Aqua
81.20062693935995,2012-04-21,Aqua
85.46005467738028,2012-04-22,Aqua
127.00576848040842,2012-04-23,Aqua
74.99980765053782,2012-04-29,Aqua
89.48640368808277,2012-05-06,Aqua
94.9234314136219,2012-05-07,Aqua
99.41220431570909,2012-05-09,Aqua
68.57283357534031,2012-05-10,Aqua
69.08044720576486,2012-05-11,Aqua
