datetime,date,chlorophyll_ugL,sensor,method
2011-01-06,2011-01-06,47.98720336742054,MODIS-Aqua,Green/Red 500m
2011-01-20,2011-01-20,22.385530019873535,MODIS-Aqua,Green/Red 500m
2011-01-22,2011-01-22,22.892973646968333,MODIS-Aqua,Green/Red 500m
2011-01-25,2011-01-25,16.167446389346818,MODIS-Aqua,Green/Red 500m
2011-01-27,2011-01-27,29.81216506405923,MODIS-Aqua,Green/Red 500m
2011-01-30,2011-01-30,32.51067137121804,MODIS-Aqua,Green/Red 500m
2011-02-01,2011-02-01,12.401839053780785,MODIS-Aqua,Green/Red 500m
2011-02-02,2011-02-02,17.427700976723646,MODIS-Aqua,Green/Red 500m
2011-02-09,2011-02-09,21.281670887854503,MODIS-Aqua,Green/Red 500m
2011-02-10,2011-02-10,26.031106027372807,MODIS-Aqua,Green/Red 500m
2011-02-21,2011-02-21,97.88131484279535,MODIS-Aqua,Green/Red 500m
2011-04-12,2011-04-12,63.40595516809717,MODIS-Aqua,Green/Red 500m
2011-04-19,2011-04-19,120.52484608392152,MODIS-Aqua,Green/Red 500m
2011-04-22,2011-04-22,51.46664488098254,MODIS-Aqua,Green/Red 500m
2011-05-01,2011-05-01,40.57623671176456,MODIS-Aqua,Green/Red 500m
2011-05-04,2011-05-04,48.20345481463511,MODIS-Aqua,Green/Red 500m
2011-05-10,2011-05-10,24.62554207526538,MODIS-Aqua,Green/Red 500m
2011-05-19,2011-05-19,30.2363381826161,MODIS-Aqua,Green/Red 500m
2011-05-20,2011-05-20,54.75440897207998,MODIS-Aqua,Green/Red 500m
2011-05-24,2011-05-24,60.43087246427512,MODIS-Aqua,Green/Red 500m
2011-06-09,2011-06-09,27.167762725567634,MODIS-Aqua,Green/Red 500m
2011-06-14,2011-06-14,75.6925988192699,MODIS-Aqua,Green/Red 500m
2011-06-16,2011-06-16,49.27500221682248,MODIS-Aqua,Green/Red 500m
2011-06-17,2011-06-17,60.682981164403486,MODIS-Aqua,Green/Red 500m
2011-06-20,2011-06-20,46.179667008090654,MODIS-Aqua,Green/Red 500m
2011-06-25,2011-06-25,48.594702487532786,MODIS-Aqua,Green/Red 500m
2011-07-01,2011-07-01,86.11773425444488,MODIS-Aqua,Green/Red 500m
2011-07-02,2011-07-02,67.20641026027724,MODIS-Aqua,Green/Red 500m
2011-07-03,2011-07-03,100.95553082549218,MODIS-Aqua,Green/Red 500m
2011-07-04,2011-07-04,26.698088397390826,MODIS-Aqua,Green/Red 500m
2011-07-05,2011-07-05,82.65194243509026,MODIS-Aqua,Green/Red 500m
2011-07-06,2011-07-06,105.26854430535577,MODIS-Aqua,Green/Red 500m
2011-07-08,2011-07-08,76.32881000774542,MODIS-Aqua,Green/Red 500m
2011-07-09,2011-07-09,88.68561830424957,MODIS-Aqua,Green/Red 500m
2011-07-10,2011-07-10,128.89428769577614,MODIS-Aqua,Green/Red 500m
2011-07-15,2011-07-15,66.93432436460763,MODIS-Aqua,Green/Red 500m
2011-07-20,2011-07-20,16.14692099969837,MODIS-Aqua,Green/Red 500m
2011-07-22,2011-07-22,37.9136976576675,MODIS-Aqua,Green/Red 500m
2011-07-23,2011-07-23,123.1214983422546,MODIS-Aqua,Green/Red 500m
2011-07-24,2011-07-24,94.0937387444678,MODIS-Aqua,Green/Red 500m
2011-07-27,2011-07-27,48.65540885070988,MODIS-Aqua,Green/Red 500m
2011-07-28,2011-07-28,93.60466635541738,MODIS-Aqua,Green/Red 500m
2011-07-29,2011-07-29,26.21044531457682,MODIS-Aqua,Green/Red 500m
2011-07-30,2011-07-30,124.37547880461273,MODIS-Aqua,Green/Red 500m
2011-07-31,2011-07-31,58.6560307736719,MODIS-Aqua,Green/Red 500m
2011-08-01,2011-08-01,120.27936678338556,MODIS-Aqua,Green/Red 500m
2011-08-02,2011-08-02,149.1611336895354,MODIS-Aqua,Green/Red 500m
2011-08-03,2011-08-03,82.55684322270173,MODIS-Aqua,Green/Red 500m
2011-08-04,2011-08-04,118.52732395922692,MODIS-Aqua,Green/Red 500m
2011-08-05,2011-08-05,36.8617867996747,MODIS-Aqua,Green/Red 500m
2011-08-06,2011-08-06,91.79029007164517,MODIS-Aqua,Green/Red 500m
2011-08-07,2011-08-07,45.62737024126998,MODIS-Aqua,Green/Red 500m
2011-08-08,2011-08-08,172.65584356336643,MODIS-Aqua,Green/Red 500m
2011-08-09,2011-08-09,96.1910951024468,MODIS-Aqua,Green/Red 500m
2011-08-10,2011-08-10,80.82813753116055,MODIS-Aqua,Green/Red 500m
2011-08-11,2011-08-11,138.45161283008554,MODIS-Aqua,Green/Red 500m
2011-08-12,2011-08-12,65.68689606840572,MODIS-Aqua,Green/Red 500m
2011-08-13,2011-08-13,141.31821009735026,MODIS-Aqua,Green/Red 500m
2011-08-14,2011-08-14,47.88623026407,MODIS-Aqua,Green/Red 500m
2011-08-16,2011-08-16,89.1462702905748,MODIS-Aqua,Green/Red 500m
2011-08-17,2011-08-17,89.7833554220075,MODIS-Aqua,Green/Red 500m
2011-08-18,2011-08-18,131.26768248033258,MODIS-Aqua,Green/Red 500m
2011-08-19,2011-08-19,135.32547269569017,MODIS-Aqua,Green/Red 500m
2011-08-20,2011-08-20,100.10012535943451,MODIS-Aqua,Green/Red 500m
2011-08-21,2011-08-21,47.988922502826696,MODIS-Aqua,Green/Red 500m
2011-08-22,2011-08-22,42.75542391644489,MODIS-Aqua,Green/Red 500m
2011-08-23,2011-08-23,11.52520522975663,MODIS-Aqua,Green/Red 500m
2011-08-24,2011-08-24,99.03361751716187,MODIS-Aqua,Green/Red 500m
2011-08-25,2011-08-25,187.21860657481517,MODIS-Aqua,Green/Red 500m
2011-08-26,2011-08-26,63.01085913338847,MODIS-Aqua,Green/Red 500m
2011-08-27,2011-08-27,114.97842915490936,MODIS-Aqua,Green/Red 500m
2011-08-28,2011-08-28,64.04378422413767,MODIS-Aqua,Green/Red 500m
2011-08-29,2011-08-29,93.24168998055595,MODIS-Aqua,Green/Red 500m
2011-09-01,2011-09-01,127.9221618889421,MODIS-Aqua,Green/Red 500m
2011-09-02,2011-09-02,98.22480424161681,MODIS-Aqua,Green/Red 500m
2011-09-03,2011-09-03,91.18544455144742,MODIS-Aqua,Green/Red 500m
2011-09-04,2011-09-04,66.80688738092698,MODIS-Aqua,Green/Red 500m
2011-09-05,2011-09-05,93.02892403572972,MODIS-Aqua,Green/Red 500m
2011-09-06,2011-09-06,84.25731836133272,MODIS-Aqua,Green/Red 500m
2011-09-08,2011-09-08,49.49847931650321,MODIS-Aqua,Green/Red 500m
2011-09-10,2011-09-10,89.9795767859157,MODIS-Aqua,Green/Red 500m
2011-09-11,2011-09-11,66.67469084980588,MODIS-Aqua,Green/Red 500m
2011-09-13,2011-09-13,55.474216301565924,MODIS-Aqua,Green/Red 500m
2011-09-18,2011-09-18,52.926688582264624,MODIS-Aqua,Green/Red 500m
2011-09-19,2011-09-19,49.065520559867444,MODIS-Aqua,Green/Red 500m
2011-09-20,2011-09-20,55.9897444262289,MODIS-Aqua,Green/Red 500m
2011-09-21,2011-09-21,92.34124656654576,MODIS-Aqua,Green/Red 500m
2011-09-23,2011-09-23,47.07225420593178,MODIS-Aqua,Green/Red 500m
2011-09-24,2011-09-24,59.509890930130595,MODIS-Aqua,Green/Red 500m
2011-09-28,2011-09-28,68.87237489865107,MODIS-Aqua,Green/Red 500m
2011-09-29,2011-09-29,66.56933574437534,MODIS-Aqua,Green/Red 500m
2011-10-08,2011-10-08,69.7576768532079,MODIS-Aqua,Green/Red 500m
2011-10-16,2011-10-16,16.614151359830863,MODIS-Aqua,Green/Red 500m
2011-10-17,2011-10-17,38.63074376576727,MODIS-Aqua,Green/Red 500m
2011-10-18,2011-10-18,44.939161140803776,MODIS-Aqua,Green/Red 500m
2011-10-24,2011-10-24,19.563094025668335,MODIS-Aqua,Green/Red 500m
2011-10-25,2011-10-25,34.25861304795431,MODIS-Aqua,Green/Red 500m
2011-10-27,2011-10-27,20.14733368909813,MODIS-Aqua,Green/Red 500m
