datetime,date,chlorophyll_ugL,sensor,method
2011-01-06,2011-01-06,14.563511402099861,MODIS-Terra,Green/Red 500m
2011-01-06,2011-01-06,47.98720336742054,MODIS-Aqua,Green/Red 500m
2011-01-20,2011-01-20,24.450186319096886,MODIS-Terra,Green/Red 500m
2011-01-20,2011-01-20,22.385530019873535,MODIS-Aqua,Green/Red 500m
2011-01-22,2011-01-22,21.26828375777718,MODIS-Terra,Green/Red 500m
2011-01-22,2011-01-22,22.892973646968333,MODIS-Aqua,Green/Red 500m
2011-01-25,2011-01-25,16.167446389346818,MODIS-Aqua,Green/Red 500m
2011-01-27,2011-01-27,29.81216506405923,MODIS-Aqua,Green/Red 500m
2011-01-27,2011-01-27,38.94673139980276,MODIS-Terra,Green/Red 500m
2011-01-30,2011-01-30,32.51067137121804,MODIS-Aqua,Green/Red 500m
2011-02-01,2011-02-01,20.538943544811847,MODIS-Terra,Green/Red 500m
2011-02-01,2011-02-01,12.401839053780785,MODIS-Aqua,Green/Red 500m
2011-02-02,2011-02-02,17.427700976723646,MODIS-Aqua,Green/Red 500m
2011-02-02,2011-02-02,14.358741978911965,MODIS-Terra,Green/Red 500m
2011-02-09,2011-02-09,21.281670887854503,MODIS-Aqua,Green/Red 500m
2011-02-10,2011-02-10,26.031106027372807,MODIS-Aqua,Green/Red 500m
2011-02-10,2011-02-10,20.27151761017283,MODIS-Terra,Green/Red 500m
2011-02-21,2011-02-21,97.88131484279535,MODIS-Aqua,Green/Red 500m
2011-02-21,2011-02-21,10.73799862180344,MODIS-Terra,Green/Red 500m
2011-04-01,2011-04-01,67.298945110407,MODIS-Terra,Green/Red 500m
2011-04-12,2011-04-12,63.40595516809717,MODIS-Aqua,Green/Red 500m
2011-04-12,2011-04-12,47.92639174364922,MODIS-Terra,Green/Red 500m
2011-04-19,2011-04-19,120.52484608392152,MODIS-Aqua,Green/Red 500m
2011-04-19,2011-04-19,100.53565451777474,MODIS-Terra,Green/Red 500m
2011-04-22,2011-04-22,51.46664488098254,MODIS-Aqua,Green/Red 500m
2011-04-22,2011-04-22,76.57064020208267,MODIS-Terra,Green/Red 500m
2011-04-23,2011-04-23,59.83689513034148,MODIS-Terra,Green/Red 500m
2011-05-01,2011-05-01,40.57623671176456,MODIS-Aqua,Green/Red 500m
2011-05-01,2011-05-01,50.97599644560827,MODIS-Terra,Green/Red 500m
2011-05-04,2011-05-04,48.20345481463511,MODIS-Aqua,Green/Red 500m
2011-05-04,2011-05-04,83.03800317197533,MODIS-Terra,Green/Red 500m
2011-05-10,2011-05-10,24.62554207526538,MODIS-Aqua,Green/Red 500m
2011-05-10,2011-05-10,36.406517699885995,MODIS-Terra,Green/Red 500m
2011-05-12,2011-05-12,28.15197531582176,MODIS-Terra,Green/Red 500m
2011-05-13,2011-05-13,40.53507318447403,MODIS-Terra,Green/Red 500m
2011-05-19,2011-05-19,30.2363381826161,MODIS-Aqua,Green/Red 500m
2011-05-19,2011-05-19,45.722237789090805,MODIS-Terra,Green/Red 500m
2011-05-20,2011-05-20,92.661048799303,MODIS-Terra,Green/Red 500m
2011-05-20,2011-05-20,54.75440897207998,MODIS-Aqua,Green/Red 500m
2011-05-24,2011-05-24,60.43087246427512,MODIS-Aqua,Green/Red 500m
2011-05-24,2011-05-24,93.39574549397095,MODIS-Terra,Green/Red 500m
2011-06-03,2011-06-03,62.25887795475386,MODIS-Terra,Green/Red 500m
2011-06-09,2011-06-09,62.21879549428336,MODIS-Terra,Green/Red 500m
2011-06-09,2011-06-09,27.167762725567634,MODIS-Aqua,Green/Red 500m
2011-06-14,2011-06-14,75.6925988192699,MODIS-Aqua,Green/Red 500m
2011-06-14,2011-06-14,138.60452164794685,MODIS-Terra,Green/Red 500m
2011-06-16,2011-06-16,49.27500221682248,MODIS-Aqua,Green/Red 500m
2011-06-16,2011-06-16,60.33966227978785,MODIS-Terra,Green/Red 500m
2011-06-17,2011-06-17,60.682981164403486,MODIS-Aqua,Green/Red 500m
2011-06-17,2011-06-17,69.53417803252735,MODIS-Terra,Green/Red 500m
2011-06-20,2011-06-20,46.179667008090654,MODIS-Aqua,Green/Red 500m
2011-06-20,2011-06-20,53.5864306011399,MODIS-Terra,Green/Red 500m
2011-06-22,2011-06-22,58.59028092546858,MODIS-Terra,Green/Red 500m
2011-06-25,2011-06-25,48.594702487532786,MODIS-Aqua,Green/Red 500m
2011-06-25,2011-06-25,55.418490129759384,MODIS-Terra,Green/Red 500m
2011-07-01,2011-07-01,86.5681013560066,MODIS-Terra,Green/Red 500m
2011-07-01,2011-07-01,86.11773425444488,MODIS-Aqua,Green/Red 500m
2011-07-02,2011-07-02,67.20641026027724,MODIS-Aqua,Green/Red 500m
2011-07-02,2011-07-02,72.54651602481839,MODIS-Terra,Green/Red 500m
2011-07-03,2011-07-03,82.78689000149012,MODIS-Terra,Green/Red 500m
2011-07-03,2011-07-03,100.95553082549218,MODIS-Aqua,Green/Red 500m
2011-07-04,2011-07-04,26.698088397390826,MODIS-Aqua,Green/Red 500m
2011-07-04,2011-07-04,78.30411308661192,MODIS-Terra,Green/Red 500m
2011-07-05,2011-07-05,82.65194243509026,MODIS-Aqua,Green/Red 500m
2011-07-05,2011-07-05,89.25268171368421,MODIS-Terra,Green/Red 500m
2011-07-06,2011-07-06,105.26854430535577,MODIS-Aqua,Green/Red 500m
2011-07-06,2011-07-06,73.53214272053576,MODIS-Terra,Green/Red 500m
2011-07-08,2011-07-08,78.15490459309548,MODIS-Terra,Green/Red 500m
2011-07-08,2011-07-08,76.32881000774542,MODIS-Aqua,Green/Red 500m
2011-07-09,2011-07-09,88.68561830424957,MODIS-Aqua,Green/Red 500m
2011-07-09,2011-07-09,75.2326902962228,MODIS-Terra,Green/Red 500m
2011-07-10,2011-07-10,128.89428769577614,MODIS-Aqua,Green/Red 500m
