datetime,date,chlorophyll_ugL,sensor,method
2011-01-06,2011-01-06,87.4408800189025,MODIS-Terra,NIR/Red 500m
2011-01-06,2011-01-06,320.2821094594354,MODIS-Aqua,NIR/Red 500m
2011-01-20,2011-01-20,171.35175132063446,MODIS-Aqua,NIR/Red 500m
2011-01-20,2011-01-20,134.22096585964255,MODIS-Terra,NIR/Red 500m
2011-01-22,2011-01-22,315.78097537646966,MODIS-Terra,NIR/Red 500m
2011-01-22,2011-01-22,123.23010354773794,MODIS-Aqua,NIR/Red 500m
2011-01-25,2011-01-25,129.10924532130267,MODIS-Aqua,NIR/Red 500m
2011-01-27,2011-01-27,153.55151529619482,MODIS-Aqua,NIR/Red 500m
2011-01-27,2011-01-27,151.72118321242237,MODIS-Terra,NIR/Red 500m
2011-01-30,2011-01-30,107.21468209308675,MODIS-Aqua,NIR/Red 500m
2011-02-01,2011-02-01,142.15538640539296,MODIS-Aqua,NIR/Red 500m
2011-02-01,2011-02-01,129.1720388045086,MODIS-Terra,NIR/Red 500m
2011-02-02,2011-02-02,199.2645272238778,MODIS-Aqua,NIR/Red 500m
2011-02-02,2011-02-02,298.10588873636976,MODIS-Terra,NIR/Red 500m
2011-02-09,2011-02-09,198.98170549668382,MODIS-Aqua,NIR/Red 500m
2011-02-10,2011-02-10,122.5709291363182,MODIS-Aqua,NIR/Red 500m
2011-02-10,2011-02-10,165.47621047232485,MODIS-Terra,NIR/Red 500m
2011-02-21,2011-02-21,26.48277993908632,MODIS-Aqua,NIR/Red 500m
2011-02-21,2011-02-21,102.00477454436607,MODIS-Terra,NIR/Red 500m
2011-04-01,2011-04-01,220.75246465846254,MODIS-Terra,NIR/Red 500m
2011-04-12,2011-04-12,233.5459049838122,MODIS-Aqua,NIR/Red 500m
2011-04-12,2011-04-12,403.4388348510784,MODIS-Terra,NIR/Red 500m
2011-04-19,2011-04-19,374.32373663552704,MODIS-Aqua,NIR/Red 500m
2011-04-19,2011-04-19,158.84481943349124,MODIS-Terra,NIR/Red 500m
2011-04-22,2011-04-22,387.8489580436721,MODIS-Terra,NIR/Red 500m
2011-04-22,2011-04-22,215.2445896484341,MODIS-Aqua,NIR/Red 500m
2011-04-23,2011-04-23,361.2551657569305,MODIS-Terra,NIR/Red 500m
2011-05-01,2011-05-01,358.8678732282296,MODIS-Aqua,NIR/Red 500m
2011-05-04,2011-05-04,433.01305360745454,MODIS-Aqua,NIR/Red 500m
2011-05-10,2011-05-10,187.70927227889447,MODIS-Aqua,NIR/Red 500m
2011-05-10,2011-05-10,198.27401037112963,MODIS-Terra,NIR/Red 500m
2011-05-13,2011-05-13,303.62451676433403,MODIS-Terra,NIR/Red 500m
2011-05-19,2011-05-19,256.4781986444063,MODIS-Aqua,NIR/Red 500m
2011-05-19,2011-05-19,318.2963822147135,MODIS-Terra,NIR/Red 500m
2011-06-09,2011-06-09,173.05117835837223,MODIS-Aqua,NIR/Red 500m
2011-06-14,2011-06-14,394.50044767162615,MODIS-Aqua,NIR/Red 500m
2011-06-16,2011-06-16,178.88107137148356,MODIS-Aqua,NIR/Red 500m
2011-06-17,2011-06-17,330.2704695853618,MODIS-Aqua,NIR/Red 500m
2011-06-20,2011-06-20,88.08766368274607,MODIS-Aqua,NIR/Red 500m
2011-06-25,2011-06-25,332.6852546300277,MODIS-Terra,NIR/Red 500m
