datetime,date,chlorophyll_ugL,sensor,method
2011-01-06,2011-01-06,14.563511402099861,MODIS-Terra,Green/Red 500m
2011-01-20,2011-01-20,24.450186319096886,MODIS-Terra,Green/Red 500m
2011-01-22,2011-01-22,21.26828375777718,MODIS-Terra,Green/Red 500m
2011-01-27,2011-01-27,38.94673139980276,MODIS-Terra,Green/Red 500m
2011-02-01,2011-02-01,20.538943544811847,MODIS-Terra,Green/Red 500m
2011-02-02,2011-02-02,14.358741978911965,MODIS-Terra,Green/Red 500m
2011-02-10,2011-02-10,20.27151761017283,MODIS-Terra,Green/Red 500m
2011-02-21,2011-02-21,10.73799862180344,MODIS-Terra,Green/Red 500m
2011-04-01,2011-04-01,67.298945110407,MODIS-Terra,Green/Red 500m
2011-04-12,2011-04-12,47.92639174364922,MODIS-Terra,Green/Red 500m
2011-04-19,2011-04-19,100.53565451777474,MODIS-Terra,Green/Red 500m
2011-04-22,2011-04-22,76.57064020208267,MODIS-Terra,Green/Red 500m
2011-04-23,2011-04-23,59.83689513034148,MODIS-Terra,Green/Red 500m
2011-05-01,2011-05-01,50.97599644560827,MODIS-Terra,Green/Red 500m
2011-05-04,2011-05-04,83.03800317197533,MODIS-Terra,Green/Red 500m
2011-05-10,2011-05-10,36.406517699885995,MODIS-Terra,Green/Red 500m
2011-05-12,2011-05-12,28.15197531582176,MODIS-Terra,Green/Red 500m
2011-05-13,2011-05-13,40.53507318447403,MODIS-Terra,Green/Red 500m
2011-05-19,2011-05-19,45.722237789090805,MODIS-Terra,Green/Red 500m
2011-05-20,2011-05-20,92.661048799303,MODIS-Terra,Green/Red 500m
2011-05-24,2011-05-24,93.39574549397095,MODIS-Terra,Green/Red 500m
2011-06-03,2011-06-03,62.25887795475386,MODIS-Terra,Green/Red 500m
2011-06-09,2011-06-09,62.21879549428336,MODIS-Terra,Green/Red 500m
2011-06-14,2011-06-14,138.60452164794685,MODIS-Terra,Green/Red 500m
2011-06-16,2011-06-16,60.33966227978785,MODIS-Terra,Green/Red 500m
2011-06-17,2011-06-17,69.53417803252735,MODIS-Terra,Green/Red 500m
2011-06-20,2011-06-20,53.5864306011399,MODIS-Terra,Green/Red 500m
2011-06-22,2011-06-22,58.59028092546858,MODIS-Terra,Green/Red 500m
2011-06-25,2011-06-25,55.418490129759384,MODIS-Terra,Green/Red 500m
2011-07-01,2011-07-01,86.5681013560066,MODIS-Terra,Green/Red 500m
2011-07-02,2011-07-02,72.54651602481839,MODIS-Terra,Green/Red 500m
2011-07-03,2011-07-03,82.78689000149012,MODIS-Terra,Green/Red 500m
2011-07-04,2011-07-04,78.30411308661192,MODIS-Terra,Green/Red 500m
2011-07-05,2011-07-05,89.25268171368421,MODIS-Terra,Green/Red 500m
2011-07-06,2011-07-06,73.53214272053576,MODIS-Terra,Green/Red 500m
2011-07-08,2011-07-08,78.15490459309548,MODIS-Terra,Green/Red 500m
2011-07-09,2011-07-09,75.2326902962228,MODIS-Terra,Green/Red 500m
2011-07-10,2011-07-10,82.47029372399804,MODIS-Terra,Green/Red 500m
2011-07-15,2011-07-15,78.72437030269981,MODIS-Terra,Green/Red 500m
2011-07-22,2011-07-22,37.3768118982629,MODIS-Terra,Green/Red 500m
2011-07-23,2011-07-23,141.2512747433076,MODIS-Terra,Green/Red 500m
2011-07-24,2011-07-24,87.17285644961133,MODIS-Terra,Green/Red 500m
2011-07-26,2011-07-26,49.95639406228799,MODIS-Terra,Green/Red 500m
2011-07-27,2011-07-27,51.404304229184106,MODIS-Terra,Green/Red 500m
2011-07-28,2011-07-28,87.65468670361616,MODIS-Terra,Green/Red 500m
2011-07-29,2011-07-29,81.38908565129776,MODIS-Terra,Green/Red 500m
2011-07-30,2011-07-30,88.92243162482148,MODIS-Terra,Green/Red 500m
2011-07-31,2011-07-31,108.22817750459036,MODIS-Terra,Green/Red 500m
2011-08-01,2011-08-01,156.9523119846291,MODIS-Terra,Green/Red 500m
2011-08-02,2011-08-02,88.34809763896462,MODIS-Terra,Green/Red 500m
2011-08-03,2011-08-03,116.37560382184107,MODIS-Terra,Green/Red 500m
2011-08-04,2011-08-04,75.87207244152432,MODIS-Terra,Green/Red 500m
2011-08-05,2011-08-05,32.116102439514364,MODIS-Terra,Green/Red 500m
2011-08-06,2011-08-06,80.37150209040195,MODIS-Terra,Green/Red 500m
2011-08-07,2011-08-07,47.232517631512586,MODIS-Terra,Green/Red 500m
2011-08-09,2011-08-09,108.29462716180139,MODIS-Terra,Green/Red 500m
2011-08-10,2011-08-10,132.66230019713748,MODIS-Terra,Green/Red 500m
2011-08-11,2011-08-11,76.88522785354687,MODIS-Terra,Green/Red 500m
2011-08-12,2011-08-12,109.06544807465025,MODIS-Terra,Green/Red 500m
2011-08-13,2011-08-13,108.9794472305858,MODIS-Terra,Green/Red 500m
2011-08-14,2011-08-14,58.684787186314296,MODIS-Terra,Green/Red 500m
2011-08-16,2011-08-16,106.69501679114433,MODIS-Terra,Green/Red 500m
2011-08-17,2011-08-17,181.83978991106068,MODIS-Terra,Green/Red 500m
2011-08-18,2011-08-18,83.3301860412345,MODIS-Terra,Green/Red 500m
2011-08-19,2011-08-19,106.15805054491858,MODIS-Terra,Green/Red 500m
2011-08-20,2011-08-20,85.84377836095084,MODIS-Terra,Green/Red 500m
2011-08-21,2011-08-21,81.11023371745468,MODIS-Terra,Green/Red 500m
2011-08-22,2011-08-22,77.65896078843981,MODIS-Terra,Green/Red 500m
2011-08-23,2011-08-23,100.04266097872974,MODIS-Terra,Green/Red 500m
2011-08-25,2011-08-25,95.20643216841931,MODIS-Terra,Green/Red 500m
2011-08-26,2011-08-26,128.05994700003492,MODIS-Terra,Green/Red 500m
2011-08-27,2011-08-27,61.99572890260156,MODIS-Terra,Green/Red 500m
2011-08-29,2011-08-29,94.43018058845243,MODIS-Terra,Green/Red 500m
2011-09-01,2011-09-01,69.90126948354767,MODIS-Terra,Green/Red 500m
2011-09-02,2011-09-02,137.79165634525873,MODIS-Terra,Green/Red 500m
2011-09-03,2011-09-03,81.00886839336565,MODIS-Terra,Green/Red 500m
2011-09-04,2011-09-04,102.05246522355891,MODIS-Terra,Green/Red 500m
2011-09-05,2011-09-05,60.18244171218051,MODIS-Terra,Green/Red 500m
2011-09-06,2011-09-06,117.18954624535887,MODIS-Terra,Green/Red 500m
2011-09-08,2011-09-08,63.62553338524056,MODIS-Terra,Green/Red 500m
2011-09-09,2011-09-09,147.51145848162653,MODIS-Terra,Green/Red 500m
2011-09-10,2011-09-10,49.37513664854163,MODIS-Terra,Green/Red 500m
2011-09-11,2011-09-11,68.88315810391654,MODIS-Terra,Green/Red 500m
2011-09-12,2011-09-12,39.98969366015502,MODIS-Terra,Green/Red 500m
2011-09-13,2011-09-13,97.94556372057441,MODIS-Terra,Green/Red 500m
2011-09-19,2011-09-19,42.56746871368886,MODIS-Terra,Green/Red 500m
2011-09-20,2011-09-20,95.078132437631,MODIS-Terra,Green/Red 500m
2011-09-21,2011-09-21,61.82633462344885,MODIS-Terra,Green/Red 500m
2011-09-23,2011-09-23,72.13171848185894,MODIS-Terra,Green/Red 500m
2011-09-24,2011-09-24,98.55969420944898,MODIS-Terra,Green/Red 500m
2011-09-28,2011-09-28,49.295297889103026,MODIS-Terra,Green/Red 500m
2011-09-29,2011-09-29,76.13767230974156,MODIS-Terra,Green/Red 500m
2011-10-08,2011-10-08,44.80221325477591,MODIS-Terra,Green/Red 500m
2011-10-14,2011-10-14,59.70131872766131,MODIS-Terra,Green/Red 500m
2011-10-17,2011-10-17,59.87226030666333,MODIS-Terra,Green/Red 500m
2011-10-18,2011-10-18,56.55474868680326,MODIS-Terra,Green/Red 500m
2011-10-23,2011-10-23,40.704840126685,MODIS-Terra,Green/Red 500m
2011-10-24,2011-10-24,22.615110873135546,MODIS-Terra,Green/Red 500m
2011-10-25,2011-10-25,33.58133308025309,MODIS-Terra,Green/Red 500m
2011-10-26,2011-10-26,24.122963873640092,MODIS-Terra,Green/Red 500m
2011-10-27,2011-10-27,23.248495111590763,MODIS-Terra,Green/Red 500m
2011-11-01,2011-11-01,17.407341992359875,MODIS-Terra,Green/Red 500m
2011-11-02,2011-11-02,16.604985579571085,MODIS-Terra,Green/Red 500m
2011-11-29,2011-11-29,9.048433881032505,MODIS-Terra,Green/Red 500m
2011-12-01,2011-12-01,13.411902497559185,MODIS-Terra,Green/Red 500m
2011-12-02,2011-12-02,14.649320685251526,MODIS-Terra,Green/Red 500m
2011-12-03,2011-12-03,18.973069506107983,MODIS-Terra,Green/Red 500m
2011-12-04,2011-12-04,10.721372405679055,MODIS-Terra,Green/Red 500m
2011-12-05,2011-12-05,17.382940924017145,MODIS-Terra,Green/Red 500m
2011-12-06,2011-12-06,12.21544968445902,MODIS-Terra,Green/Red 500m
2011-12-07,2011-12-07,16.354529951321197,MODIS-Terra,Green/Red 500m
2011-12-08,2011-12-08,9.462744766356657,MODIS-Terra,Green/Red 500m
2011-12-09,2011-12-09,12.59530709850969,MODIS-Terra,Green/Red 500m
