datetime,date,chlorophyll_ugL,sensor,method
2011-01-06,2011-01-06,87.4408800189025,MODIS-Terra,NIR/Red 500m
2011-01-20,2011-01-20,134.22096585964255,MODIS-Terra,NIR/Red 500m
2011-01-22,2011-01-22,315.78097537646966,MODIS-Terra,NIR/Red 500m
2011-01-27,2011-01-27,151.72118321242237,MODIS-Terra,NIR/Red 500m
2011-02-01,2011-02-01,129.1720388045086,MODIS-Terra,NIR/Red 500m
2011-02-02,2011-02-02,298.10588873636976,MODIS-Terra,NIR/Red 500m
2011-02-10,2011-02-10,165.47621047232485,MODIS-Terra,NIR/Red 500m
2011-02-21,2011-02-21,102.00477454436607,MODIS-Terra,NIR/Red 500m
2011-04-01,2011-04-01,220.75246465846254,MODIS-Terra,NIR/Red 500m
2011-04-12,2011-04-12,403.4388348510784,MODIS-Terra,NIR/Red 500m
2011-04-19,2011-04-19,158.84481943349124,MODIS-Terra,NIR/Red 500m
2011-04-22,2011-04-22,387.8489580436721,MODIS-Terra,NIR/Red 500m
2011-04-23,2011-04-23,361.2551657569305,MODIS-Terra,NIR/Red 500m
2011-05-10,2011-05-10,198.27401037112963,MODIS-Terra,NIR/Red 500m
2011-05-13,2011-05-13,303.62451676433403,MODIS-Terra,NIR/Red 500m
2011-05-19,2011-05-19,318.2963822147135,MODIS-Terra,NIR/Red 500m
2011-06-25,2011-06-25,332.6852546300277,MODIS-Terra,NIR/Red 500m
2011-07-01,2011-07-01,435.776362199592,MODIS-Terra,NIR/Red 500m
2011-07-03,2011-07-03,466.9628274518655,MODIS-Terra,NIR/Red 500m
2011-07-06,2011-07-06,355.6278898304873,MODIS-Terra,NIR/Red 500m
2011-07-22,2011-07-22,291.40219218164145,MODIS-Terra,NIR/Red 500m
2011-07-24,2011-07-24,483.24299750691756,MODIS-Terra,NIR/Red 500m
2011-07-27,2011-07-27,353.0995610826604,MODIS-Terra,NIR/Red 500m
2011-08-05,2011-08-05,170.05034655396668,MODIS-Terra,NIR/Red 500m
2011-08-07,2011-08-07,339.43823373965535,MODIS-Terra,NIR/Red 500m
2011-08-13,2011-08-13,249.95459279844937,MODIS-Terra,NIR/Red 500m
2011-08-14,2011-08-14,281.86792397911046,MODIS-Terra,NIR/Red 500m
2011-08-25,2011-08-25,455.9549025138107,MODIS-Terra,NIR/Red 500m
2011-09-13,2011-09-13,391.078986292992,MODIS-Terra,NIR/Red 500m
2011-09-19,2011-09-19,199.68361413147844,MODIS-Terra,NIR/Red 500m
2011-09-24,2011-09-24,338.966166924279,MODIS-Terra,NIR/Red 500m
2011-10-08,2011-10-08,437.7938725244004,MODIS-Terra,NIR/Red 500m
2011-10-17,2011-10-17,482.0651558053067,MODIS-Terra,NIR/Red 500m
2011-10-23,2011-10-23,408.7636461590046,MODIS-Terra,NIR/Red 500m
2011-10-25,2011-10-25,405.31577323041006,MODIS-Terra,NIR/Red 500m
2011-10-26,2011-10-26,218.15244111314496,MODIS-Terra,NIR/Red 500m
2011-10-27,2011-10-27,218.11160525949046,MODIS-Terra,NIR/Red 500m
2011-11-01,2011-11-01,384.4138045419502,MODIS-Terra,NIR/Red 500m
2011-11-02,2011-11-02,224.9396387852406,MODIS-Terra,NIR/Red 500m
2011-11-29,2011-11-29,314.7584687543557,MODIS-Terra,NIR/Red 500m
2011-12-01,2011-12-01,263.9045403083971,MODIS-Terra,NIR/Red 500m
2011-12-02,2011-12-02,209.97407447017062,MODIS-Terra,NIR/Red 500m
2011-12-03,2011-12-03,204.18045818256917,MODIS-Terra,NIR/Red 500m
2011-12-04,2011-12-04,251.57228991094055,MODIS-Terra,NIR/Red 500m
2011-12-06,2011-12-06,162.21983172196187,MODIS-Terra,NIR/Red 500m
2011-12-07,2011-12-07,335.30206606324253,MODIS-Terra,NIR/Red 500m
2011-12-08,2011-12-08,256.5084253539545,MODIS-Terra,NIR/Red 500m
