chl,date,sensor
24.228166715766324,2011-01-20,Aqua
35.272712626322495,2011-01-27,Aqua
36.48805215298841,2011-01-28,Aqua
56.27239795825382,2011-01-30,Aqua
35.370010879490614,2011-02-01,Aqua
32.18551751279363,2011-02-07,Aqua
41.30537310667347,2011-02-09,Aqua
32.253601089528246,2011-02-10,Aqua
38.57362116620835,2011-02-12,Aqua
40.20885597140302,2011-02-14,Aqua
47.90235588264718,2011-02-20,Aqua
32.26595419721053,2011-03-02,Aqua
37.49159121894693,2011-03-07,Aqua
41.884527271769066,2011-03-22,Aqua
41.45559856883454,2011-03-31,Aqua
37.093229722697274,2011-04-02,Aqua
32.27470093774706,2011-04-03,Aqua
41.297683210420594,2011-04-05,Aqua
43.21367915607059,2011-04-11,Aqua
41.155148376124124,2011-04-12,Aqua
42.56569394776609,2011-04-13,Aqua
42.200877266236944,2011-04-18,Aqua
39.78903660180822,2011-04-19,Aqua
55.53354759842558,2011-04-21,Aqua
46.29213649482977,2011-04-25,Aqua
43.029267233504335,2011-04-26,Aqua
36.28733225954346,2011-04-27,Aqua
41.37523098606848,2011-04-28,Aqua
41.602824504938525,2011-04-30,Aqua
38.24155390484964,2011-05-01,Aqua
36.06433070094097,2011-05-03,Aqua
37.6083150815498,2011-05-04,Aqua
39.3290957912147,2011-05-08,Aqua
42.575909257597054,2011-05-09,Aqua
40.33825947548667,2011-05-10,Aqua
39.558734599326115,2011-05-12,Aqua
49.26347715717288,2011-05-18,Aqua
36.96460079153047,2011-05-19,Aqua
49.13852555529348,2011-05-21,Aqua
46.51356996300944,2011-05-22,Aqua
60.23447554643979,2011-05-23,Aqua
46.19984862136153,2011-06-07,Aqua
50.261434793225156,2011-06-08,Aqua
46.64876122171648,2011-06-09,Aqua
24.957894414251452,2011-06-12,Aqua
46.205948961377125,2011-06-13,Aqua
51.288820773539314,2011-06-14,Aqua
52.22290836692652,2011-06-15,Aqua
47.374350408108135,2011-06-16,Aqua
55.299273754932,2011-06-17,Aqua
51.954554141912766,2011-06-19,Aqua
55.245361920946905,2011-06-20,Aqua
55.42200869815452,2011-06-22,Aqua
50.88418590605285,2011-06-23,Aqua
61.20321735637306,2011-06-24,Aqua
64.35914353750249,2011-06-26,Aqua
67.33682982473427,2011-06-30,Aqua
62.53939718363449,2011-07-01,Aqua
55.245361920946905,2011-07-02,Aqua
68.24251775274148,2011-07-03,Aqua
68.11904309664655,2011-07-04,Aqua
70.8061314887245,2011-07-05,Aqua
72.54285178044563,2011-07-06,Aqua
63.73207199461753,2011-07-07,Aqua
61.95968075976808,2011-07-08,Aqua
78.1396193168313,2011-07-09,Aqua
62.18311753732557,2011-07-10,Aqua
105.10226825015248,2011-07-14,Aqua
106.83870567100666,2011-07-20,Aqua
112.14354561525019,2011-07-21,Aqua
121.83724934882588,2011-07-22,Aqua
88.80020636652026,2011-07-23,Aqua
89.44174389557634,2011-07-24,Aqua
101.48655774210876,2011-07-26,Aqua
80.0042368182344,2011-07-27,Aqua
82.27566266676135,2011-07-28,Aqua
73.45100531639369,2011-07-29,Aqua
80.40996671115067,2011-07-30,Aqua
69.08044720576486,2011-07-31,Aqua
74.068131630484,2011-08-01,Aqua
78.96186729279268,2011-08-02,Aqua
75.0270463288416,2011-08-03,Aqua
235.1444932454394,2011-08-04,Aqua
72.78136918820584,2011-08-05,Aqua
69.61388522568103,2011-08-06,Aqua
62.35847973267596,2011-08-07,Aqua
64.49157910141555,2011-08-08,Aqua
64.08309854170508,2011-08-09,Aqua
71.49420013626539,2011-08-10,Aqua
89.47004833257066,2011-08-11,Aqua
71.51926176739707,2011-08-12,Aqua
80.48151144070029,2011-08-13,Aqua
80.12713276182403,2011-08-15,Aqua
88.77294908771921,2011-08-16,Aqua
73.05801702579336,2011-08-17,Aqua
98.48359327941475,2011-08-18,Aqua
74.59965996755793,2011-08-19,Aqua
76.74803443963839,2011-08-20,Aqua
64.42532547177235,2011-08-21,Aqua
82.00762313621559,2011-08-22,Aqua
110.535489257605,2011-08-23,Aqua
73.5658232730112,2011-08-24,Aqua
78.2113248813092,2011-08-25,Aqua
85.93982299962522,2011-08-26,Aqua
92.09766865628652,2011-08-27,Aqua
78.79338566984775,2011-08-28,Aqua
85.71723651727108,2011-08-29,Aqua
86.55389935602294,2011-08-30,Aqua
76.91307282218295,2011-09-01,Aqua
95.52523854057763,2011-09-02,Aqua
70.9071540935567,2011-09-03,Aqua
60.44390704855824,2011-09-04,Aqua
78.47402946987597,2011-09-05,Aqua
60.916557926636244,2011-09-06,Aqua
58.350314658607275,2011-09-07,Aqua
70.96877245758633,2011-09-08,Aqua
486.22593419124155,2011-09-10,Aqua
286.4856660863681,2011-09-12,Aqua
71.66696597291528,2011-09-13,Aqua
70.09764411094166,2011-09-16,Aqua
73.26862389865427,2011-09-18,Aqua
73.04052512348493,2011-09-19,Aqua
61.753038560112486,2011-09-20,Aqua
56.45557272393503,2011-09-21,Aqua
61.435254350479454,2011-09-23,Aqua
62.46776387175288,2011-09-26,Aqua
66.68881882861763,2011-09-27,Aqua
58.52336251302115,2011-09-28,Aqua
54.8171093589104,2011-09-29,Aqua
45.21614826317673,2011-10-08,Aqua
59.52042165089439,2011-10-09,Aqua
50.54200104721942,2011-10-11,Aqua
50.430506890673676,2011-10-13,Aqua
70.4771665842265,2011-10-16,Aqua
42.643115085814166,2011-10-17,Aqua
53.419672578189875,2011-10-18,Aqua
50.20481637131658,2011-10-19,Aqua
50.85900744671949,2011-10-21,Aqua
48.93978253271605,2011-10-22,Aqua
43.95466255140592,2011-10-24,Aqua
46.64572126503111,2011-10-25,Aqua
50.42368401175438,2011-10-26,Aqua
43.606479953251856,2011-10-27,Aqua
56.545214026372115,2011-10-29,Aqua
49.92863967701612,2011-10-31,Aqua
40.31584123956695,2011-11-01,Aqua
51.288820773539314,2011-11-02,Aqua
61.04738716254212,2011-11-04,Aqua
