chl,date,sensor
42.71372527677982,2011-01-18,Terra
49.10362749323601,2011-01-20,Terra
55.17327765459201,2011-01-22,Terra
31.321987394521578,2011-01-25,Terra
46.87601539682623,2011-01-27,Terra
43.21284741199817,2011-02-01,Terra
40.29838878889928,2011-02-02,Terra
42.383123979287866,2011-02-06,Terra
26.68028458259234,2011-02-07,Terra
40.58303421112675,2011-02-09,Terra
41.347013642986816,2011-02-10,Terra
42.1803874334997,2011-02-21,Terra
34.71771840677368,2011-02-26,Terra
31.52021070920548,2011-03-09,Terra
35.66598589680588,2011-03-21,Terra
37.7812528435617,2011-03-22,Terra
38.42335584845298,2011-03-28,Terra
38.999496551109,2011-03-31,Terra
39.68884375657251,2011-04-01,Terra
41.031813195802734,2011-04-02,Terra
30.01753215964598,2011-04-03,Terra
35.42312916254248,2011-04-05,Terra
38.459826649350575,2011-04-12,Terra
37.593660868109154,2011-04-19,Terra
40.929739380043834,2011-04-21,Terra
43.31827281139547,2011-04-27,Terra
39.8159915879271,2011-04-28,Terra
33.6488965853618,2011-04-30,Terra
37.622290825083745,2011-05-01,Terra
36.05067103498082,2011-05-03,Terra
41.79188571138216,2011-05-04,Terra
40.286594237924945,2011-05-08,Terra
39.01504855275047,2011-05-10,Terra
38.15826881865125,2011-05-12,Terra
50.72641711261269,2011-05-18,Terra
35.05336222073972,2011-05-19,Terra
47.87374117638811,2011-05-20,Terra
22.618010532846675,2011-05-22,Terra
45.24444983330788,2011-05-23,Terra
44.63700920145733,2011-05-27,Terra
45.587505607314846,2011-05-29,Terra
41.689309517220906,2011-05-30,Terra
49.52640421687819,2011-06-07,Terra
43.182622573058964,2011-06-08,Terra
48.322823651381405,2011-06-09,Terra
44.156746282062514,2011-06-10,Terra
37.97900829225439,2011-06-13,Terra
53.38444284635798,2011-06-14,Terra
44.38006845363004,2011-06-15,Terra
48.10710485680918,2011-06-16,Terra
47.7954747455225,2011-06-17,Terra
47.95551289482845,2011-06-19,Terra
40.70910631395851,2011-06-20,Terra
55.164126384328824,2011-06-21,Terra
49.01367138836341,2011-06-22,Terra
51.61975769934677,2011-06-23,Terra
51.27550951303813,2011-06-24,Terra
55.00734170147059,2011-06-26,Terra
69.59405493711749,2011-06-30,Terra
52.46459618469931,2011-07-01,Terra
57.94356182720805,2011-07-02,Terra
45.949113017715675,2011-07-03,Terra
66.34641852384479,2011-07-04,Terra
59.96293352904339,2011-07-05,Terra
59.37437995114408,2011-07-06,Terra
70.01189497778401,2011-07-07,Terra
49.81724904176568,2011-07-08,Terra
80.3413787558803,2011-07-09,Terra
73.1917384995265,2011-07-10,Terra
60.389444272739105,2011-07-13,Terra
82.01734804992543,2011-07-14,Terra
84.17629902762489,2011-07-15,Terra
134.46324158654454,2011-07-20,Terra
120.75076656140776,2011-07-21,Terra
101.35507379379222,2011-07-22,Terra
102.22353618774721,2011-07-23,Terra
66.58538635157335,2011-07-24,Terra
72.25288783384164,2011-07-26,Terra
108.50863222060129,2011-07-27,Terra
70.69687248407847,2011-07-28,Terra
72.88037956323058,2011-07-29,Terra
69.46093178903635,2011-07-30,Terra
58.57138016658927,2011-07-31,Terra
62.700842289712085,2011-08-01,Terra
63.58187515597042,2011-08-02,Terra
88.92910559676477,2011-08-03,Terra
65.18208129837497,2011-08-04,Terra
113.37605848289445,2011-08-05,Terra
89.15486446555279,2011-08-06,Terra
72.374207296986,2011-08-07,Terra
61.68177822851405,2011-08-08,Terra
52.10552114555983,2011-08-09,Terra
97.37672445728748,2011-08-10,Terra
86.61813079370704,2011-08-11,Terra
68.87124314152037,2011-08-12,Terra
85.82615926199546,2011-08-13,Terra
74.35688690361572,2011-08-14,Terra
92.2129051214287,2011-08-15,Terra
74.00310422403355,2011-08-16,Terra
82.8050097905454,2011-08-17,Terra
77.61460637332702,2011-08-18,Terra
76.21551093121298,2011-08-19,Terra
64.51819196499747,2011-08-20,Terra
74.6273895890043,2011-08-21,Terra
73.06934363778909,2011-08-22,Terra
112.65513507403294,2011-08-23,Terra
94.86623545062216,2011-08-25,Terra
90.33099280375399,2011-08-26,Terra
81.3769567781444,2011-08-27,Terra
71.3628551123767,2011-08-28,Terra
77.90086775490089,2011-08-29,Terra
85.50343994932913,2011-08-30,Terra
89.65236327765432,2011-08-31,Terra
63.07603873086418,2011-09-01,Terra
85.41336044799847,2011-09-02,Terra
50.332213905286515,2011-09-03,Terra
63.30378483008726,2011-09-04,Terra
63.46047439641606,2011-09-05,Terra
63.32953689333842,2011-09-06,Terra
57.341004735758176,2011-09-08,Terra
49.79668614400204,2011-09-09,Terra
115398.3003720421,2011-09-11,Terra
623.2436268476906,2011-09-14,Terra
54.539742179568364,2011-09-17,Terra
76.16389395001929,2011-09-18,Terra
60.0748056756063,2011-09-19,Terra
62.451776277271605,2011-09-20,Terra
53.10121111511023,2011-09-21,Terra
59.47103410360633,2011-09-22,Terra
58.17654661638116,2011-09-23,Terra
51.16274939330638,2011-09-24,Terra
43.39125253867641,2011-09-26,Terra
64.8843865923369,2011-09-27,Terra
49.88896611602016,2011-09-28,Terra
52.138163300610614,2011-09-29,Terra
24.008351735967178,2011-10-06,Terra
51.927068382065364,2011-10-08,Terra
77.77487235857132,2011-10-11,Terra
44.80040898683011,2011-10-14,Terra
45.90196468267843,2011-10-15,Terra
21.746186428001945,2011-10-17,Terra
48.23313667635972,2011-10-18,Terra
35.70205050066124,2011-10-19,Terra
49.19338276639577,2011-10-20,Terra
43.509722143413555,2011-10-21,Terra
49.90057987844158,2011-10-22,Terra
48.89545082816636,2011-10-23,Terra
45.24754644140441,2011-10-24,Terra
45.03256896064062,2011-10-25,Terra
46.481830198014435,2011-10-26,Terra
48.33624426762168,2011-10-27,Terra
48.84568182640633,2011-10-31,Terra
43.38209468606132,2011-11-01,Terra
49.29669169436939,2011-11-02,Terra
21.26200166218646,2011-11-04,Terra
34.37439576269851,2011-11-12,Terra
44.94171113950224,2011-11-14,Terra
40.508118428897355,2011-11-25,Terra
43.768662753580635,2011-11-28,Terra
39.737755944848615,2011-11-30,Terra
