composite_day,date,datetime,log_nir_red,ndci,nir_red_ratio,sensor,time
0,2011-01-01,2011-01-01 00:00:00,0.0007811522255340824,0.0008993344924755356,1.0018002880460872,Aqua_250m_8day,00:00:00
8,2011-01-09,2011-01-09 00:00:00,-0.013447438569979665,-0.015480698956879932,0.9695105993195499,Aqua_250m_8day,00:00:00
16,2011-01-17,2011-01-17 00:00:00,-0.8525539223938488,-0.753731343283582,0.14042553191489363,Aqua_250m_8day,00:00:00
24,2011-01-25,2011-01-25 00:00:00,-0.6445089262534653,-0.6303630363036303,0.22672064777327935,Aqua_250m_8day,00:00:00
32,2011-02-02,2011-02-02 00:00:00,-0.32361126541882484,-0.3562386980108499,0.4746666666666667,Aqua_250m_8day,00:00:00
40,2011-02-10,2011-02-10 00:00:00,-0.48539378068565225,-0.5071090047393365,0.32704402515723274,Aqua_250m_8day,00:00:00
48,2011-02-18,2011-02-18 00:00:00,-0.47561850414795764,-0.49870129870129876,0.3344887348353553,Aqua_250m_8day,00:00:00
56,2011-02-26,2011-02-26 00:00:00,-0.24562742392048623,-0.2754844144903117,0.5680317040951123,Aqua_250m_8day,00:00:00
64,2011-03-06,2011-03-06 00:00:00,-0.4710104777760637,-0.49470499243570354,0.3380566801619433,Aqua_250m_8day,00:00:00
72,2011-03-14,2011-03-14 00:00:00,-0.5472731842254871,-0.55810147299509,0.28361344537815125,Aqua_250m_8day,00:00:00
80,2011-03-22,2011-03-22 00:00:00,-0.312497182816738,-0.34501642935377874,0.486970684039088,Aqua_250m_8day,00:00:00
88,2011-03-30,2011-03-30 00:00:00,-0.7172863415602265,-0.6782178217821783,0.19174041297935104,Aqua_250m_8day,00:00:00
96,2011-04-07,2011-04-07 00:00:00,-0.3282137248698776,-0.36085626911314983,0.4696629213483146,Aqua_250m_8day,00:00:00
104,2011-04-15,2011-04-15 00:00:00,-0.4833167161609041,-0.5053304904051173,0.32861189801699714,Aqua_250m_8day,00:00:00
