datetime,date,chlorophyll_ugL,sensor,method
2011-01-20,2011-01-20,20.05607162831813,MODIS-Aqua,NIR/Red 500m
2011-01-27,2011-01-27,28.639885562009287,MODIS-Aqua,NIR/Red 500m
2011-01-28,2011-01-28,28.749845136967757,MODIS-Aqua,NIR/Red 500m
2011-01-30,2011-01-30,31.116884820269114,MODIS-Aqua,NIR/Red 500m
2011-02-01,2011-02-01,16.170110256846794,MODIS-Aqua,NIR/Red 500m
2011-02-07,2011-02-07,35.37047467348504,MODIS-Aqua,NIR/Red 500m
2011-02-09,2011-02-09,10.00447832706817,MODIS-Aqua,NIR/Red 500m
2011-02-10,2011-02-10,12.614832357790972,MODIS-Aqua,NIR/Red 500m
2011-02-12,2011-02-12,22.075199011455265,MODIS-Aqua,NIR/Red 500m
2011-02-14,2011-02-14,28.165294679677686,MODIS-Aqua,NIR/Red 500m
2011-02-20,2011-02-20,22.637462174238564,MODIS-Aqua,NIR/Red 500m
2011-03-02,2011-03-02,35.7488854642221,MODIS-Aqua,NIR/Red 500m
2011-03-07,2011-03-07,23.33256497384295,MODIS-Aqua,NIR/Red 500m
2011-03-22,2011-03-22,34.83253763550312,MODIS-Aqua,NIR/Red 500m
2011-03-31,2011-03-31,15.029716543931448,MODIS-Aqua,NIR/Red 500m
2011-04-02,2011-04-02,18.30065117312499,MODIS-Aqua,NIR/Red 500m
2011-04-03,2011-04-03,12.821783842239117,MODIS-Aqua,NIR/Red 500m
2011-04-05,2011-04-05,17.992748547665798,MODIS-Aqua,NIR/Red 500m
2011-04-11,2011-04-11,33.130447766946226,MODIS-Aqua,NIR/Red 500m
2011-04-12,2011-04-12,39.95063003675744,MODIS-Aqua,NIR/Red 500m
2011-04-13,2011-04-13,23.940059626852427,MODIS-Aqua,NIR/Red 500m
2011-04-18,2011-04-18,22.53652395145298,MODIS-Aqua,NIR/Red 500m
2011-04-19,2011-04-19,50.06375256376763,MODIS-Aqua,NIR/Red 500m
2011-04-21,2011-04-21,31.915198046417817,MODIS-Aqua,NIR/Red 500m
2011-04-25,2011-04-25,69.36960566009381,MODIS-Aqua,NIR/Red 500m
2011-04-26,2011-04-26,18.890303376157487,MODIS-Aqua,NIR/Red 500m
2011-04-27,2011-04-27,14.851389855594928,MODIS-Aqua,NIR/Red 500m
2011-04-28,2011-04-28,37.47203454617293,MODIS-Aqua,NIR/Red 500m
2011-04-30,2011-04-30,24.558640340742762,MODIS-Aqua,NIR/Red 500m
2011-05-01,2011-05-01,38.143769636588296,MODIS-Aqua,NIR/Red 500m
2011-05-03,2011-05-03,44.129396131691266,MODIS-Aqua,NIR/Red 500m
2011-05-04,2011-05-04,19.368902099339433,MODIS-Aqua,NIR/Red 500m
2011-05-08,2011-05-08,41.33317797193776,MODIS-Aqua,NIR/Red 500m
2011-05-09,2011-05-09,27.202423133097913,MODIS-Aqua,NIR/Red 500m
2011-05-10,2011-05-10,19.14088890318298,MODIS-Aqua,NIR/Red 500m
2011-05-12,2011-05-12,42.455320500022246,MODIS-Aqua,NIR/Red 500m
2011-05-18,2011-05-18,24.874884083455743,MODIS-Aqua,NIR/Red 500m
2011-05-19,2011-05-19,49.659822995466016,MODIS-Aqua,NIR/Red 500m
2011-05-21,2011-05-21,22.016610401376404,MODIS-Aqua,NIR/Red 500m
2011-05-22,2011-05-22,28.345958109288205,MODIS-Aqua,NIR/Red 500m
2011-05-23,2011-05-23,0.867478827083149,MODIS-Aqua,NIR/Red 500m
2011-06-07,2011-06-07,11.24500595082009,MODIS-Aqua,NIR/Red 500m
2011-06-08,2011-06-08,19.88619805094269,MODIS-Aqua,NIR/Red 500m
2011-06-09,2011-06-09,11.588311975131257,MODIS-Aqua,NIR/Red 500m
2011-06-12,2011-06-12,116.85355357319355,MODIS-Aqua,NIR/Red 500m
2011-06-13,2011-06-13,30.112604081212034,MODIS-Aqua,NIR/Red 500m
2011-06-14,2011-06-14,12.504678263215188,MODIS-Aqua,NIR/Red 500m
2011-06-15,2011-06-15,16.022934784984802,MODIS-Aqua,NIR/Red 500m
2011-06-16,2011-06-16,14.4007039075797,MODIS-Aqua,NIR/Red 500m
2011-06-17,2011-06-17,23.510718185986978,MODIS-Aqua,NIR/Red 500m
2011-06-19,2011-06-19,15.126549118456671,MODIS-Aqua,NIR/Red 500m
2011-06-20,2011-06-20,21.948019699519367,MODIS-Aqua,NIR/Red 500m
2011-06-22,2011-06-22,21.09779322874649,MODIS-Aqua,NIR/Red 500m
2011-06-23,2011-06-23,13.348694942901947,MODIS-Aqua,NIR/Red 500m
2011-06-24,2011-06-24,25.903182637416755,MODIS-Aqua,NIR/Red 500m
2011-06-26,2011-06-26,30.344152990272956,MODIS-Aqua,NIR/Red 500m
2011-06-30,2011-06-30,21.605868037693686,MODIS-Aqua,NIR/Red 500m
2011-07-01,2011-07-01,22.89182438259998,MODIS-Aqua,NIR/Red 500m
2011-07-02,2011-07-02,23.003859718496148,MODIS-Aqua,NIR/Red 500m
2011-07-03,2011-07-03,26.39374263736888,MODIS-Aqua,NIR/Red 500m
2011-07-04,2011-07-04,23.244668670835207,MODIS-Aqua,NIR/Red 500m
2011-07-05,2011-07-05,32.5475830027008,MODIS-Aqua,NIR/Red 500m
2011-07-06,2011-07-06,27.753247488316713,MODIS-Aqua,NIR/Red 500m
2011-07-07,2011-07-07,24.91704744600653,MODIS-Aqua,NIR/Red 500m
2011-07-08,2011-07-08,37.805382001905365,MODIS-Aqua,NIR/Red 500m
2011-07-09,2011-07-09,37.380405593936324,MODIS-Aqua,NIR/Red 500m
2011-07-10,2011-07-10,66.75314554071876,MODIS-Aqua,NIR/Red 500m
2011-07-14,2011-07-14,64.87026804302937,MODIS-Aqua,NIR/Red 500m
2011-07-20,2011-07-20,74.1489755044521,MODIS-Aqua,NIR/Red 500m
2011-07-21,2011-07-21,66.84271853210328,MODIS-Aqua,NIR/Red 500m
2011-07-22,2011-07-22,200.7288403563723,MODIS-Aqua,NIR/Red 500m
2011-07-23,2011-07-23,48.44997440801786,MODIS-Aqua,NIR/Red 500m
2011-07-24,2011-07-24,66.76980826122941,MODIS-Aqua,NIR/Red 500m
2011-07-26,2011-07-26,78.52608258479552,MODIS-Aqua,NIR/Red 500m
2011-07-27,2011-07-27,38.88968462001777,MODIS-Aqua,NIR/Red 500m
2011-07-28,2011-07-28,56.50765299746189,MODIS-Aqua,NIR/Red 500m
2011-07-29,2011-07-29,31.366107098185033,MODIS-Aqua,NIR/Red 500m
2011-07-30,2011-07-30,45.764912030963075,MODIS-Aqua,NIR/Red 500m
2011-07-31,2011-07-31,33.8893777778784,MODIS-Aqua,NIR/Red 500m
2011-08-01,2011-08-01,44.662692219302336,MODIS-Aqua,NIR/Red 500m
2011-08-02,2011-08-02,52.18464524572207,MODIS-Aqua,NIR/Red 500m
2011-08-03,2011-08-03,34.81494854401128,MODIS-Aqua,NIR/Red 500m
2011-08-04,2011-08-04,53.513454650190695,MODIS-Aqua,NIR/Red 500m
2011-08-05,2011-08-05,40.80863654689044,MODIS-Aqua,NIR/Red 500m
2011-08-06,2011-08-06,36.328848532313486,MODIS-Aqua,NIR/Red 500m
2011-08-07,2011-08-07,33.376386308727064,MODIS-Aqua,NIR/Red 500m
2011-08-08,2011-08-08,39.31839174951815,MODIS-Aqua,NIR/Red 500m
2011-08-09,2011-08-09,32.50165760739409,MODIS-Aqua,NIR/Red 500m
2011-08-10,2011-08-10,51.87100938776372,MODIS-Aqua,NIR/Red 500m
2011-08-11,2011-08-11,66.92419141909296,MODIS-Aqua,NIR/Red 500m
2011-08-12,2011-08-12,27.524555876400658,MODIS-Aqua,NIR/Red 500m
2011-08-13,2011-08-13,40.43577218425197,MODIS-Aqua,NIR/Red 500m
2011-08-15,2011-08-15,44.005703022464964,MODIS-Aqua,NIR/Red 500m
2011-08-16,2011-08-16,64.63738548455933,MODIS-Aqua,NIR/Red 500m
2011-08-17,2011-08-17,27.03814874683459,MODIS-Aqua,NIR/Red 500m
2011-08-18,2011-08-18,76.02507095087259,MODIS-Aqua,NIR/Red 500m
2011-08-19,2011-08-19,42.13208098544895,MODIS-Aqua,NIR/Red 500m
2011-08-20,2011-08-20,56.61133946556962,MODIS-Aqua,NIR/Red 500m
2011-08-21,2011-08-21,31.691984414165976,MODIS-Aqua,NIR/Red 500m
2011-08-22,2011-08-22,65.47250690460892,MODIS-Aqua,NIR/Red 500m
2011-08-23,2011-08-23,48.77942579217348,MODIS-Aqua,NIR/Red 500m
2011-08-24,2011-08-24,60.4925334894574,MODIS-Aqua,NIR/Red 500m
2011-08-25,2011-08-25,30.826297104120638,MODIS-Aqua,NIR/Red 500m
2011-08-26,2011-08-26,29.410601751387198,MODIS-Aqua,NIR/Red 500m
2011-08-27,2011-08-27,52.63527786490667,MODIS-Aqua,NIR/Red 500m
2011-08-28,2011-08-28,39.18465036554819,MODIS-Aqua,NIR/Red 500m
2011-08-29,2011-08-29,43.75361366008452,MODIS-Aqua,NIR/Red 500m
2011-08-30,2011-08-30,31.893868238424226,MODIS-Aqua,NIR/Red 500m
2011-09-01,2011-09-01,52.0590125017136,MODIS-Aqua,NIR/Red 500m
2011-09-02,2011-09-02,55.48092121039562,MODIS-Aqua,NIR/Red 500m
2011-09-03,2011-09-03,32.32714722192797,MODIS-Aqua,NIR/Red 500m
2011-09-04,2011-09-04,32.362841732572335,MODIS-Aqua,NIR/Red 500m
2011-09-05,2011-09-05,34.393741743740016,MODIS-Aqua,NIR/Red 500m
2011-09-06,2011-09-06,24.98312922691367,MODIS-Aqua,NIR/Red 500m
2011-09-07,2011-09-07,58.11002311020997,MODIS-Aqua,NIR/Red 500m
2011-09-08,2011-09-08,54.20687253904205,MODIS-Aqua,NIR/Red 500m
2011-09-12,2011-09-12,137.59756490454993,MODIS-Aqua,NIR/Red 500m
2011-09-13,2011-09-13,46.5653303990276,MODIS-Aqua,NIR/Red 500m
2011-09-16,2011-09-16,44.12704570117243,MODIS-Aqua,NIR/Red 500m
2011-09-18,2011-09-18,33.77191285054675,MODIS-Aqua,NIR/Red 500m
2011-09-19,2011-09-19,57.47766786956524,MODIS-Aqua,NIR/Red 500m
2011-09-20,2011-09-20,37.69911363573,MODIS-Aqua,NIR/Red 500m
2011-09-21,2011-09-21,51.9272590799095,MODIS-Aqua,NIR/Red 500m
2011-09-23,2011-09-23,36.05934489183868,MODIS-Aqua,NIR/Red 500m
2011-09-26,2011-09-26,28.35382618645422,MODIS-Aqua,NIR/Red 500m
2011-09-27,2011-09-27,21.69664153960181,MODIS-Aqua,NIR/Red 500m
2011-09-28,2011-09-28,18.82000802718393,MODIS-Aqua,NIR/Red 500m
2011-09-29,2011-09-29,26.452914694633346,MODIS-Aqua,NIR/Red 500m
2011-10-08,2011-10-08,21.219837781969137,MODIS-Aqua,NIR/Red 500m
2011-10-09,2011-10-09,41.21355299574978,MODIS-Aqua,NIR/Red 500m
2011-10-11,2011-10-11,26.802174645268305,MODIS-Aqua,NIR/Red 500m
2011-10-13,2011-10-13,35.44526633315457,MODIS-Aqua,NIR/Red 500m
2011-10-16,2011-10-16,0.8862022326716624,MODIS-Aqua,NIR/Red 500m
2011-10-17,2011-10-17,13.406291208772643,MODIS-Aqua,NIR/Red 500m
2011-10-18,2011-10-18,16.029586899020494,MODIS-Aqua,NIR/Red 500m
2011-10-19,2011-10-19,23.97754923833268,MODIS-Aqua,NIR/Red 500m
2011-10-21,2011-10-21,29.46121334840365,MODIS-Aqua,NIR/Red 500m
2011-10-22,2011-10-22,14.173414986954509,MODIS-Aqua,NIR/Red 500m
2011-10-24,2011-10-24,30.77706940333797,MODIS-Aqua,NIR/Red 500m
2011-10-25,2011-10-25,26.450612478181643,MODIS-Aqua,NIR/Red 500m
2011-10-26,2011-10-26,19.657833690404413,MODIS-Aqua,NIR/Red 500m
2011-10-27,2011-10-27,58.36715262111279,MODIS-Aqua,NIR/Red 500m
2011-10-29,2011-10-29,12.4474880878369,MODIS-Aqua,NIR/Red 500m
2011-10-31,2011-10-31,14.860898063718905,MODIS-Aqua,NIR/Red 500m
2011-11-01,2011-11-01,58.68156336788171,MODIS-Aqua,NIR/Red 500m
2011-11-02,2011-11-02,17.298678952873722,MODIS-Aqua,NIR/Red 500m
2011-11-04,2011-11-04,20.847006853379607,MODIS-Aqua,NIR/Red 500m
2011-11-12,2011-11-12,46.91884941201475,MODIS-Aqua,NIR/Red 500m
2011-11-14,2011-11-14,24.475024119248037,MODIS-Aqua,NIR/Red 500m
