datetime,date,chlorophyll_ugL,sensor,method
2011-01-18,2011-01-18,55.22676331804677,MODIS-Terra,NIR/Red 500m
2011-01-20,2011-01-20,10.64606359235305,MODIS-Terra,NIR/Red 500m
2011-01-20,2011-01-20,20.05607162831813,MODIS-Aqua,NIR/Red 500m
2011-01-22,2011-01-22,19.566543916072963,MODIS-Terra,NIR/Red 500m
2011-01-25,2011-01-25,29.849655013801215,MODIS-Terra,NIR/Red 500m
2011-01-27,2011-01-27,28.639885562009287,MODIS-Aqua,NIR/Red 500m
2011-01-27,2011-01-27,19.655957414841765,MODIS-Terra,NIR/Red 500m
2011-01-28,2011-01-28,28.749845136967757,MODIS-Aqua,NIR/Red 500m
2011-01-30,2011-01-30,31.116884820269114,MODIS-Aqua,NIR/Red 500m
2011-02-01,2011-02-01,15.463239991347375,MODIS-Terra,NIR/Red 500m
2011-02-01,2011-02-01,16.170110256846794,MODIS-Aqua,NIR/Red 500m
2011-02-02,2011-02-02,43.982841965628694,MODIS-Terra,NIR/Red 500m
2011-02-06,2011-02-06,28.44817082054446,MODIS-Terra,NIR/Red 500m
2011-02-07,2011-02-07,35.37047467348504,MODIS-Aqua,NIR/Red 500m
2011-02-07,2011-02-07,26.053987942197658,MODIS-Terra,NIR/Red 500m
2011-02-09,2011-02-09,10.00447832706817,MODIS-Aqua,NIR/Red 500m
2011-02-09,2011-02-09,10.066674284665204,MODIS-Terra,NIR/Red 500m
2011-02-10,2011-02-10,12.614832357790972,MODIS-Aqua,NIR/Red 500m
2011-02-10,2011-02-10,10.91692904484475,MODIS-Terra,NIR/Red 500m
2011-02-12,2011-02-12,22.075199011455265,MODIS-Aqua,NIR/Red 500m
2011-02-14,2011-02-14,28.165294679677686,MODIS-Aqua,NIR/Red 500m
2011-02-20,2011-02-20,22.637462174238564,MODIS-Aqua,NIR/Red 500m
2011-02-21,2011-02-21,27.222158388231716,MODIS-Terra,NIR/Red 500m
2011-02-26,2011-02-26,52.653789179791424,MODIS-Terra,NIR/Red 500m
2011-03-02,2011-03-02,35.7488854642221,MODIS-Aqua,NIR/Red 500m
2011-03-07,2011-03-07,23.33256497384295,MODIS-Aqua,NIR/Red 500m
2011-03-09,2011-03-09,23.747297567245337,MODIS-Terra,NIR/Red 500m
2011-03-21,2011-03-21,57.11512679833496,MODIS-Terra,NIR/Red 500m
2011-03-22,2011-03-22,29.0176811352627,MODIS-Terra,NIR/Red 500m
2011-03-22,2011-03-22,34.83253763550312,MODIS-Aqua,NIR/Red 500m
2011-03-28,2011-03-28,19.93373002084566,MODIS-Terra,NIR/Red 500m
2011-03-31,2011-03-31,15.029716543931448,MODIS-Aqua,NIR/Red 500m
2011-03-31,2011-03-31,17.683072283233184,MODIS-Terra,NIR/Red 500m
2011-04-01,2011-04-01,23.383752009637274,MODIS-Terra,NIR/Red 500m
2011-04-02,2011-04-02,23.347247238458586,MODIS-Terra,NIR/Red 500m
2011-04-02,2011-04-02,18.30065117312499,MODIS-Aqua,NIR/Red 500m
2011-04-03,2011-04-03,12.821783842239117,MODIS-Aqua,NIR/Red 500m
2011-04-03,2011-04-03,19.134434726829873,MODIS-Terra,NIR/Red 500m
2011-04-05,2011-04-05,17.992748547665798,MODIS-Aqua,NIR/Red 500m
2011-04-05,2011-04-05,13.238159639854064,MODIS-Terra,NIR/Red 500m
2011-04-11,2011-04-11,33.130447766946226,MODIS-Aqua,NIR/Red 500m
2011-04-12,2011-04-12,26.124775316341314,MODIS-Terra,NIR/Red 500m
2011-04-12,2011-04-12,39.95063003675744,MODIS-Aqua,NIR/Red 500m
2011-04-13,2011-04-13,23.940059626852427,MODIS-Aqua,NIR/Red 500m
2011-04-18,2011-04-18,22.53652395145298,MODIS-Aqua,NIR/Red 500m
2011-04-19,2011-04-19,39.14457671356751,MODIS-Terra,NIR/Red 500m
2011-04-19,2011-04-19,50.06375256376763,MODIS-Aqua,NIR/Red 500m
2011-04-21,2011-04-21,23.067015824514417,MODIS-Terra,NIR/Red 500m
2011-04-21,2011-04-21,31.915198046417817,MODIS-Aqua,NIR/Red 500m
2011-04-25,2011-04-25,69.36960566009381,MODIS-Aqua,NIR/Red 500m
2011-04-26,2011-04-26,18.890303376157487,MODIS-Aqua,NIR/Red 500m
2011-04-27,2011-04-27,14.851389855594928,MODIS-Aqua,NIR/Red 500m
2011-04-27,2011-04-27,23.796991035556744,MODIS-Terra,NIR/Red 500m
2011-04-28,2011-04-28,37.47203454617293,MODIS-Aqua,NIR/Red 500m
2011-04-28,2011-04-28,55.600170696057305,MODIS-Terra,NIR/Red 500m
2011-04-30,2011-04-30,24.558640340742762,MODIS-Aqua,NIR/Red 500m
2011-04-30,2011-04-30,19.94036381935342,MODIS-Terra,NIR/Red 500m
2011-05-01,2011-05-01,20.493504322763027,MODIS-Terra,NIR/Red 500m
2011-05-01,2011-05-01,38.143769636588296,MODIS-Aqua,NIR/Red 500m
2011-05-03,2011-05-03,44.129396131691266,MODIS-Aqua,NIR/Red 500m
2011-05-03,2011-05-03,41.495236345038315,MODIS-Terra,NIR/Red 500m
2011-05-04,2011-05-04,19.368902099339433,MODIS-Aqua,NIR/Red 500m
2011-05-04,2011-05-04,24.29182446570723,MODIS-Terra,NIR/Red 500m
2011-05-08,2011-05-08,17.981296332569354,MODIS-Terra,NIR/Red 500m
2011-05-08,2011-05-08,41.33317797193776,MODIS-Aqua,NIR/Red 500m
2011-05-09,2011-05-09,27.202423133097913,MODIS-Aqua,NIR/Red 500m
2011-05-10,2011-05-10,16.76579373447718,MODIS-Terra,NIR/Red 500m
2011-05-10,2011-05-10,19.14088890318298,MODIS-Aqua,NIR/Red 500m
2011-05-12,2011-05-12,47.688634785927725,MODIS-Terra,NIR/Red 500m
2011-05-12,2011-05-12,42.455320500022246,MODIS-Aqua,NIR/Red 500m
2011-05-18,2011-05-18,16.88820404158667,MODIS-Terra,NIR/Red 500m
2011-05-18,2011-05-18,24.874884083455743,MODIS-Aqua,NIR/Red 500m
2011-05-19,2011-05-19,49.659822995466016,MODIS-Aqua,NIR/Red 500m
2011-05-19,2011-05-19,59.395835149880945,MODIS-Terra,NIR/Red 500m
2011-05-20,2011-05-20,14.925507421348788,MODIS-Terra,NIR/Red 500m
2011-05-21,2011-05-21,22.016610401376404,MODIS-Aqua,NIR/Red 500m
2011-05-22,2011-05-22,28.345958109288205,MODIS-Aqua,NIR/Red 500m
2011-05-22,2011-05-22,1.9983395586689765,MODIS-Terra,NIR/Red 500m
2011-05-23,2011-05-23,0.867478827083149,MODIS-Aqua,NIR/Red 500m
2011-05-23,2011-05-23,21.42748739111938,MODIS-Terra,NIR/Red 500m
2011-05-27,2011-05-27,47.594981790055094,MODIS-Terra,NIR/Red 500m
2011-05-29,2011-05-29,32.50613181313848,MODIS-Terra,NIR/Red 500m
2011-05-30,2011-05-30,45.92921712627111,MODIS-Terra,NIR/Red 500m
2011-06-07,2011-06-07,15.808523040836539,MODIS-Terra,NIR/Red 500m
2011-06-07,2011-06-07,11.24500595082009,MODIS-Aqua,NIR/Red 500m
2011-06-08,2011-06-08,19.88619805094269,MODIS-Aqua,NIR/Red 500m
2011-06-08,2011-06-08,15.519493584464186,MODIS-Terra,NIR/Red 500m
2011-06-09,2011-06-09,11.588311975131257,MODIS-Aqua,NIR/Red 500m
2011-06-09,2011-06-09,13.384984915150213,MODIS-Terra,NIR/Red 500m
2011-06-10,2011-06-10,19.703033322854886,MODIS-Terra,NIR/Red 500m
2011-06-12,2011-06-12,116.85355357319355,MODIS-Aqua,NIR/Red 500m
2011-06-13,2011-06-13,54.284507005665375,MODIS-Terra,NIR/Red 500m
2011-06-13,2011-06-13,30.112604081212034,MODIS-Aqua,NIR/Red 500m
2011-06-14,2011-06-14,12.504678263215188,MODIS-Aqua,NIR/Red 500m
2011-06-14,2011-06-14,17.85080075555347,MODIS-Terra,NIR/Red 500m
2011-06-15,2011-06-15,12.762070985346135,MODIS-Terra,NIR/Red 500m
2011-06-15,2011-06-15,16.022934784984802,MODIS-Aqua,NIR/Red 500m
2011-06-16,2011-06-16,28.973350271123728,MODIS-Terra,NIR/Red 500m
2011-06-16,2011-06-16,14.4007039075797,MODIS-Aqua,NIR/Red 500m
