datetime,date,chlorophyll_ugL,sensor,method
2011-01-18,2011-01-18,18.156149883223534,MODIS-Terra,Green/Red 500m
2011-01-20,2011-01-20,23.663858682888154,MODIS-Terra,Green/Red 500m
2011-01-22,2011-01-22,29.530762370448258,MODIS-Terra,Green/Red 500m
2011-01-25,2011-01-25,10.069444875398487,MODIS-Terra,Green/Red 500m
2011-01-27,2011-01-27,21.665465694781552,MODIS-Terra,Green/Red 500m
2011-02-01,2011-02-01,18.561458451432795,MODIS-Terra,Green/Red 500m
2011-02-02,2011-02-02,16.25481802711546,MODIS-Terra,Green/Red 500m
2011-02-06,2011-02-06,17.890022637679706,MODIS-Terra,Green/Red 500m
2011-02-07,2011-02-07,7.42379392467558,MODIS-Terra,Green/Red 500m
2011-02-09,2011-02-09,16.473706037353317,MODIS-Terra,Green/Red 500m
2011-02-10,2011-02-10,17.06804768977706,MODIS-Terra,Green/Red 500m
2011-02-21,2011-02-21,17.727745113179953,MODIS-Terra,Green/Red 500m
2011-02-26,2011-02-26,12.244947124727197,MODIS-Terra,Green/Red 500m
2011-03-09,2011-03-09,10.190893081828925,MODIS-Terra,Green/Red 500m
2011-03-21,2011-03-21,12.88835213779253,MODIS-Terra,Green/Red 500m
2011-03-22,2011-03-22,14.379686270478794,MODIS-Terra,Green/Red 500m
2011-03-28,2011-03-28,14.847670239497313,MODIS-Terra,Green/Red 500m
2011-03-31,2011-03-31,15.27361847106509,MODIS-Terra,Green/Red 500m
2011-04-01,2011-04-01,15.79075599097589,MODIS-Terra,Green/Red 500m
2011-04-02,2011-04-02,16.821626586900077,MODIS-Terra,Green/Red 500m
2011-04-03,2011-04-03,9.287459578413275,MODIS-Terra,Green/Red 500m
2011-04-05,2011-04-05,12.7220857546283,MODIS-Terra,Green/Red 500m
2011-04-12,2011-04-12,14.874464308651612,MODIS-Terra,Green/Red 500m
2011-04-19,2011-04-19,14.244304532327925,MODIS-Terra,Green/Red 500m
2011-04-21,2011-04-21,16.74219015231248,MODIS-Terra,Green/Red 500m
2011-04-27,2011-04-27,18.64761057495707,MODIS-Terra,Green/Red 500m
2011-04-28,2011-04-28,15.88703111758906,MODIS-Terra,Green/Red 500m
2011-04-30,2011-04-30,11.538486104552055,MODIS-Terra,Green/Red 500m
2011-05-01,2011-05-01,14.26492701806071,MODIS-Terra,Green/Red 500m
2011-05-03,2011-05-03,13.153810466162492,MODIS-Terra,Green/Red 500m
2011-05-04,2011-05-04,17.4187329507769,MODIS-Terra,Green/Red 500m
2011-05-08,2011-05-08,16.245778131264725,MODIS-Terra,Green/Red 500m
2011-05-10,2011-05-10,15.285195363695896,MODIS-Terra,Green/Red 500m
2011-05-12,2011-05-12,14.653606231743117,MODIS-Terra,Green/Red 500m
2011-05-18,2011-05-18,25.17215291913621,MODIS-Terra,Green/Red 500m
2011-05-19,2011-05-19,12.470898368036348,MODIS-Terra,Green/Red 500m
2011-05-20,2011-05-20,22.55019852072281,MODIS-Terra,Green/Red 500m
2011-05-22,2011-05-22,5.423738879549725,MODIS-Terra,Green/Red 500m
2011-05-23,2011-05-23,20.254879915955446,MODIS-Terra,Green/Red 500m
2011-05-27,2011-05-27,19.741216215154868,MODIS-Terra,Green/Red 500m
2011-05-29,2011-05-29,20.5477354892945,MODIS-Terra,Green/Red 500m
2011-05-30,2011-05-30,17.337574117926852,MODIS-Terra,Green/Red 500m
2011-06-07,2011-06-07,24.052552413791982,MODIS-Terra,Green/Red 500m
2011-06-08,2011-06-08,18.536794012263186,MODIS-Terra,Green/Red 500m
2011-06-09,2011-06-09,22.95389371030043,MODIS-Terra,Green/Red 500m
2011-06-10,2011-06-10,19.339524226294994,MODIS-Terra,Green/Red 500m
2011-06-13,2011-06-13,14.523059589308854,MODIS-Terra,Green/Red 500m
2011-06-14,2011-06-14,27.737812809202666,MODIS-Terra,Green/Red 500m
2011-06-15,2011-06-15,19.525824256138232,MODIS-Terra,Green/Red 500m
2011-06-16,2011-06-16,22.759553336533934,MODIS-Terra,Green/Red 500m
2011-06-17,2011-06-17,22.480189570334474,MODIS-Terra,Green/Red 500m
2011-06-19,2011-06-19,22.62345309600561,MODIS-Terra,Green/Red 500m
2011-06-20,2011-06-20,16.571096741827645,MODIS-Terra,Green/Red 500m
2011-06-21,2011-06-21,29.52145472911438,MODIS-Terra,Green/Red 500m
2011-06-22,2011-06-22,23.581541767168837,MODIS-Terra,Green/Red 500m
2011-06-23,2011-06-23,26.021286011465286,MODIS-Terra,Green/Red 500m
2011-06-24,2011-06-24,25.6924925922916,MODIS-Terra,Green/Red 500m
2011-06-26,2011-06-26,29.362206961397995,MODIS-Terra,Green/Red 500m
2011-06-30,2011-06-30,45.911056120404936,MODIS-Terra,Green/Red 500m
2011-07-01,2011-07-01,26.83658673474549,MODIS-Terra,Green/Red 500m
2011-07-02,2011-07-02,32.412185564094635,MODIS-Terra,Green/Red 500m
2011-07-03,2011-07-03,20.858583429721694,MODIS-Terra,Green/Red 500m
2011-07-04,2011-07-04,41.92520072934265,MODIS-Terra,Green/Red 500m
2011-07-05,2011-07-05,34.59249227617063,MODIS-Terra,Green/Red 500m
2011-07-06,2011-07-06,33.950091820399756,MODIS-Terra,Green/Red 500m
2011-07-07,2011-07-07,46.43631340544401,MODIS-Terra,Green/Red 500m
2011-07-08,2011-07-08,24.321691627727372,MODIS-Terra,Green/Red 500m
2011-07-09,2011-07-09,60.31700063930725,MODIS-Terra,Green/Red 500m
2011-07-10,2011-07-10,50.52622710712934,MODIS-Terra,Green/Red 500m
2011-07-13,2011-07-13,35.06158849515878,MODIS-Terra,Green/Red 500m
2011-07-14,2011-07-14,62.73061655406311,MODIS-Terra,Green/Red 500m
2011-07-15,2011-07-15,65.90583369413122,MODIS-Terra,Green/Red 500m
2011-07-20,2011-07-20,160.50596007116053,MODIS-Terra,Green/Red 500m
2011-07-21,2011-07-21,130.83276740897773,MODIS-Terra,Green/Red 500m
2011-07-22,2011-07-22,93.79977887144854,MODIS-Terra,Green/Red 500m
2011-07-23,2011-07-23,95.33306697069423,MODIS-Terra,Green/Red 500m
2011-07-24,2011-07-24,42.21263959325586,MODIS-Terra,Green/Red 500m
2011-07-26,2011-07-26,49.30166782657139,MODIS-Terra,Green/Red 500m
2011-07-27,2011-07-27,106.7798596385237,MODIS-Terra,Green/Red 500m
2011-07-28,2011-07-28,47.3035051112124,MODIS-Terra,Green/Red 500m
2011-07-29,2011-07-29,50.118538759035204,MODIS-Terra,Green/Red 500m
2011-07-30,2011-07-30,45.74430477316673,MODIS-Terra,Green/Red 500m
2011-07-31,2011-07-31,33.0828333341918,MODIS-Terra,Green/Red 500m
2011-08-01,2011-08-01,37.6557713314665,MODIS-Terra,Green/Red 500m
2011-08-02,2011-08-02,38.66765943136133,MODIS-Terra,Green/Red 500m
2011-08-03,2011-08-03,73.15704633553206,MODIS-Terra,Green/Red 500m
2011-08-04,2011-08-04,40.538015754292225,MODIS-Terra,Green/Red 500m
2011-08-05,2011-08-05,116.06609573698837,MODIS-Terra,Green/Red 500m
2011-08-06,2011-08-06,73.51039048180178,MODIS-Terra,Green/Red 500m
2011-08-07,2011-08-07,49.45910592988261,MODIS-Terra,Green/Red 500m
2011-08-08,2011-08-08,36.5012197983271,MODIS-Terra,Green/Red 500m
2011-08-09,2011-08-09,26.48860981201464,MODIS-Terra,Green/Red 500m
2011-08-10,2011-08-10,86.92670994730254,MODIS-Terra,Green/Red 500m
2011-08-11,2011-08-11,69.58648135798336,MODIS-Terra,Green/Red 500m
2011-08-12,2011-08-12,45.00911323910874,MODIS-Terra,Green/Red 500m
2011-08-13,2011-08-13,68.38233704796625,MODIS-Terra,Green/Red 500m
2011-08-14,2011-08-14,52.065730442189476,MODIS-Terra,Green/Red 500m
2011-08-15,2011-08-15,78.37602431164359,MODIS-Terra,Green/Red 500m
2011-08-16,2011-08-16,51.59596534903234,MODIS-Terra,Green/Red 500m
2011-08-17,2011-08-17,63.88044075409571,MODIS-Terra,Green/Red 500m
2011-08-18,2011-08-18,56.486113242985795,MODIS-Terra,Green/Red 500m
2011-08-19,2011-08-19,54.566784318970186,MODIS-Terra,Green/Red 500m
2011-08-20,2011-08-20,39.756967045153985,MODIS-Terra,Green/Red 500m
2011-08-21,2011-08-21,52.426274027829685,MODIS-Terra,Green/Red 500m
2011-08-22,2011-08-22,50.36577858929429,MODIS-Terra,Green/Red 500m
2011-08-23,2011-08-23,114.6675628908234,MODIS-Terra,Green/Red 500m
2011-08-25,2011-08-25,82.71724766776696,MODIS-Terra,Green/Red 500m
2011-08-26,2011-08-26,75.36423689012861,MODIS-Terra,Green/Red 500m
2011-08-27,2011-08-27,61.80307291484674,MODIS-Terra,Green/Red 500m
2011-08-28,2011-08-28,48.153934403246204,MODIS-Terra,Green/Red 500m
2011-08-29,2011-08-29,56.882689077392605,MODIS-Terra,Green/Red 500m
2011-08-30,2011-08-30,67.89451869541851,MODIS-Terra,Green/Red 500m
2011-08-31,2011-08-31,74.29189232786457,MODIS-Terra,Green/Red 500m
2011-09-01,2011-09-01,38.085139518791564,MODIS-Terra,Green/Red 500m
2011-09-02,2011-09-02,67.75865110437101,MODIS-Terra,Green/Red 500m
2011-09-03,2011-09-03,24.80170371025236,MODIS-Terra,Green/Red 500m
2011-09-04,2011-09-04,38.34689283793415,MODIS-Terra,Green/Red 500m
2011-09-05,2011-09-05,38.52747258347276,MODIS-Terra,Green/Red 500m
2011-09-06,2011-09-06,38.376543669486175,MODIS-Terra,Green/Red 500m
2011-09-08,2011-09-08,31.774645541954808,MODIS-Terra,Green/Red 500m
2011-09-09,2011-09-09,24.302616719603304,MODIS-Terra,Green/Red 500m
2011-09-17,2011-09-17,28.889685861995122,MODIS-Terra,Green/Red 500m
2011-09-18,2011-09-18,54.49657577389551,MODIS-Terra,Green/Red 500m
2011-09-19,2011-09-19,34.71524478286788,MODIS-Terra,Green/Red 500m
2011-09-20,2011-09-20,37.37201863420552,MODIS-Terra,Green/Red 500m
2011-09-21,2011-09-21,27.458811997406023,MODIS-Terra,Green/Red 500m
2011-09-22,2011-09-22,34.05519729679103,MODIS-Terra,Green/Red 500m
2011-09-23,2011-09-23,32.66030504151973,MODIS-Terra,Green/Red 500m
2011-09-24,2011-09-24,25.585225529853997,MODIS-Terra,Green/Red 500m
2011-09-26,2011-09-26,18.70735926173316,MODIS-Terra,Green/Red 500m
2011-09-27,2011-09-27,40.186895263972595,MODIS-Terra,Green/Red 500m
2011-09-28,2011-09-28,24.38827453899583,MODIS-Terra,Green/Red 500m
2011-09-29,2011-09-29,26.520154157882367,MODIS-Terra,Green/Red 500m
2011-10-06,2011-10-06,6.074831054495393,MODIS-Terra,Green/Red 500m
2011-10-08,2011-10-08,26.316473180215166,MODIS-Terra,Green/Red 500m
2011-10-11,2011-10-11,56.70797779387251,MODIS-Terra,Green/Red 500m
2011-10-14,2011-10-14,19.87877558007931,MODIS-Terra,Green/Red 500m
2011-10-15,2011-10-15,20.81792803527169,MODIS-Terra,Green/Red 500m
2011-10-17,2011-10-17,5.033342678864165,MODIS-Terra,Green/Red 500m
2011-10-18,2011-10-18,22.872999917747233,MODIS-Terra,Green/Red 500m
2011-10-19,2011-10-19,12.913130168890238,MODIS-Terra,Green/Red 500m
2011-10-20,2011-10-20,23.746127260834168,MODIS-Terra,Green/Red 500m
2011-10-21,2011-10-21,18.804543424420185,MODIS-Terra,Green/Red 500m
2011-10-22,2011-10-22,24.39906499594618,MODIS-Terra,Green/Red 500m
