datetime,date,chlorophyll_ugL,sensor,method
2011-01-18,2011-01-18,55.22676331804677,MODIS-Terra,NIR/Red 500m
2011-01-20,2011-01-20,10.64606359235305,MODIS-Terra,NIR/Red 500m
2011-01-22,2011-01-22,19.566543916072963,MODIS-Terra,NIR/Red 500m
2011-01-25,2011-01-25,29.849655013801215,MODIS-Terra,NIR/Red 500m
2011-01-27,2011-01-27,19.655957414841765,MODIS-Terra,NIR/Red 500m
2011-02-01,2011-02-01,15.463239991347375,MODIS-Terra,NIR/Red 500m
2011-02-02,2011-02-02,43.982841965628694,MODIS-Terra,NIR/Red 500m
2011-02-06,2011-02-06,28.44817082054446,MODIS-Terra,NIR/Red 500m
2011-02-07,2011-02-07,26.053987942197658,MODIS-Terra,NIR/Red 500m
2011-02-09,2011-02-09,10.066674284665204,MODIS-Terra,NIR/Red 500m
2011-02-10,2011-02-10,10.91692904484475,MODIS-Terra,NIR/Red 500m
2011-02-21,2011-02-21,27.222158388231716,MODIS-Terra,NIR/Red 500m
2011-02-26,2011-02-26,52.653789179791424,MODIS-Terra,NIR/Red 500m
2011-03-09,2011-03-09,23.747297567245337,MODIS-Terra,NIR/Red 500m
2011-03-21,2011-03-21,57.11512679833496,MODIS-Terra,NIR/Red 500m
2011-03-22,2011-03-22,29.0176811352627,MODIS-Terra,NIR/Red 500m
2011-03-28,2011-03-28,19.93373002084566,MODIS-Terra,NIR/Red 500m
2011-03-31,2011-03-31,17.683072283233184,MODIS-Terra,NIR/Red 500m
2011-04-01,2011-04-01,23.383752009637274,MODIS-Terra,NIR/Red 500m
2011-04-02,2011-04-02,23.347247238458586,MODIS-Terra,NIR/Red 500m
2011-04-03,2011-04-03,19.134434726829873,MODIS-Terra,NIR/Red 500m
2011-04-05,2011-04-05,13.238159639854064,MODIS-Terra,NIR/Red 500m
2011-04-12,2011-04-12,26.124775316341314,MODIS-Terra,NIR/Red 500m
2011-04-19,2011-04-19,39.14457671356751,MODIS-Terra,NIR/Red 500m
2011-04-21,2011-04-21,23.067015824514417,MODIS-Terra,NIR/Red 500m
2011-04-27,2011-04-27,23.796991035556744,MODIS-Terra,NIR/Red 500m
2011-04-28,2011-04-28,55.600170696057305,MODIS-Terra,NIR/Red 500m
2011-04-30,2011-04-30,19.94036381935342,MODIS-Terra,NIR/Red 500m
2011-05-01,2011-05-01,20.493504322763027,MODIS-Terra,NIR/Red 500m
2011-05-03,2011-05-03,41.495236345038315,MODIS-Terra,NIR/Red 500m
2011-05-04,2011-05-04,24.29182446570723,MODIS-Terra,NIR/Red 500m
2011-05-08,2011-05-08,17.981296332569354,MODIS-Terra,NIR/Red 500m
2011-05-10,2011-05-10,16.76579373447718,MODIS-Terra,NIR/Red 500m
2011-05-12,2011-05-12,47.688634785927725,MODIS-Terra,NIR/Red 500m
2011-05-18,2011-05-18,16.88820404158667,MODIS-Terra,NIR/Red 500m
2011-05-19,2011-05-19,59.395835149880945,MODIS-Terra,NIR/Red 500m
2011-05-20,2011-05-20,14.925507421348788,MODIS-Terra,NIR/Red 500m
2011-05-22,2011-05-22,1.9983395586689765,MODIS-Terra,NIR/Red 500m
2011-05-23,2011-05-23,21.42748739111938,MODIS-Terra,NIR/Red 500m
2011-05-27,2011-05-27,47.594981790055094,MODIS-Terra,NIR/Red 500m
2011-05-29,2011-05-29,32.50613181313848,MODIS-Terra,NIR/Red 500m
2011-05-30,2011-05-30,45.92921712627111,MODIS-Terra,NIR/Red 500m
2011-06-07,2011-06-07,15.808523040836539,MODIS-Terra,NIR/Red 500m
2011-06-08,2011-06-08,15.519493584464186,MODIS-Terra,NIR/Red 500m
2011-06-09,2011-06-09,13.384984915150213,MODIS-Terra,NIR/Red 500m
2011-06-10,2011-06-10,19.703033322854886,MODIS-Terra,NIR/Red 500m
2011-06-13,2011-06-13,54.284507005665375,MODIS-Terra,NIR/Red 500m
2011-06-14,2011-06-14,17.85080075555347,MODIS-Terra,NIR/Red 500m
2011-06-15,2011-06-15,12.762070985346135,MODIS-Terra,NIR/Red 500m
2011-06-16,2011-06-16,28.973350271123728,MODIS-Terra,NIR/Red 500m
2011-06-17,2011-06-17,35.521320327980376,MODIS-Terra,NIR/Red 500m
2011-06-19,2011-06-19,13.995045698742711,MODIS-Terra,NIR/Red 500m
2011-06-20,2011-06-20,49.259229189981006,MODIS-Terra,NIR/Red 500m
2011-06-21,2011-06-21,19.000139167472696,MODIS-Terra,NIR/Red 500m
2011-06-22,2011-06-22,21.981939946120907,MODIS-Terra,NIR/Red 500m
2011-06-23,2011-06-23,16.8062577811218,MODIS-Terra,NIR/Red 500m
2011-06-24,2011-06-24,22.183061129403647,MODIS-Terra,NIR/Red 500m
2011-06-26,2011-06-26,21.314684827957684,MODIS-Terra,NIR/Red 500m
2011-06-30,2011-06-30,26.546207743278877,MODIS-Terra,NIR/Red 500m
2011-07-01,2011-07-01,21.18443028535348,MODIS-Terra,NIR/Red 500m
2011-07-02,2011-07-02,20.641549182383606,MODIS-Terra,NIR/Red 500m
2011-07-03,2011-07-03,21.395562324067516,MODIS-Terra,NIR/Red 500m
2011-07-04,2011-07-04,27.466955954638575,MODIS-Terra,NIR/Red 500m
2011-07-05,2011-07-05,25.663268412240548,MODIS-Terra,NIR/Red 500m
2011-07-06,2011-07-06,33.20544326870415,MODIS-Terra,NIR/Red 500m
2011-07-07,2011-07-07,34.67223224528887,MODIS-Terra,NIR/Red 500m
2011-07-08,2011-07-08,34.82937368456682,MODIS-Terra,NIR/Red 500m
2011-07-09,2011-07-09,40.24609035952286,MODIS-Terra,NIR/Red 500m
2011-07-10,2011-07-10,39.69569015754085,MODIS-Terra,NIR/Red 500m
2011-07-13,2011-07-13,53.563135077833124,MODIS-Terra,NIR/Red 500m
2011-07-14,2011-07-14,74.43125173865573,MODIS-Terra,NIR/Red 500m
2011-07-15,2011-07-15,53.833396302385324,MODIS-Terra,NIR/Red 500m
2011-07-20,2011-07-20,291.9432011625225,MODIS-Terra,NIR/Red 500m
2011-07-21,2011-07-21,128.55099620531647,MODIS-Terra,NIR/Red 500m
2011-07-22,2011-07-22,90.61069131496187,MODIS-Terra,NIR/Red 500m
2011-07-23,2011-07-23,77.32253621928723,MODIS-Terra,NIR/Red 500m
2011-07-24,2011-07-24,28.065385125570323,MODIS-Terra,NIR/Red 500m
2011-07-26,2011-07-26,58.377887730585066,MODIS-Terra,NIR/Red 500m
2011-07-27,2011-07-27,131.50511804470358,MODIS-Terra,NIR/Red 500m
2011-07-28,2011-07-28,58.376334299373994,MODIS-Terra,NIR/Red 500m
2011-07-29,2011-07-29,47.31761734404307,MODIS-Terra,NIR/Red 500m
2011-07-30,2011-07-30,44.43639955154086,MODIS-Terra,NIR/Red 500m
2011-07-31,2011-07-31,31.50862401896049,MODIS-Terra,NIR/Red 500m
2011-08-01,2011-08-01,50.113986825964346,MODIS-Terra,NIR/Red 500m
2011-08-02,2011-08-02,44.158930696873874,MODIS-Terra,NIR/Red 500m
2011-08-03,2011-08-03,67.49548915911406,MODIS-Terra,NIR/Red 500m
2011-08-04,2011-08-04,67.18286308000006,MODIS-Terra,NIR/Red 500m
2011-08-05,2011-08-05,191.02951971335565,MODIS-Terra,NIR/Red 500m
2011-08-06,2011-08-06,119.11303489471923,MODIS-Terra,NIR/Red 500m
2011-08-07,2011-08-07,61.948290850070066,MODIS-Terra,NIR/Red 500m
2011-08-08,2011-08-08,62.60152238385007,MODIS-Terra,NIR/Red 500m
2011-08-09,2011-08-09,43.37553831811066,MODIS-Terra,NIR/Red 500m
2011-08-10,2011-08-10,107.98473048537288,MODIS-Terra,NIR/Red 500m
2011-08-11,2011-08-11,82.91711128261682,MODIS-Terra,NIR/Red 500m
2011-08-12,2011-08-12,62.10814339515714,MODIS-Terra,NIR/Red 500m
2011-08-13,2011-08-13,72.15386426491749,MODIS-Terra,NIR/Red 500m
2011-08-14,2011-08-14,50.46756522726583,MODIS-Terra,NIR/Red 500m
2011-08-15,2011-08-15,123.58131695923004,MODIS-Terra,NIR/Red 500m
2011-08-16,2011-08-16,60.73885493483613,MODIS-Terra,NIR/Red 500m
2011-08-17,2011-08-17,63.083181758454494,MODIS-Terra,NIR/Red 500m
