datetime,date,chlorophyll_ugL,sensor
1/6/11,1/6/11,14.5635114,MODIS-Terra
01/06/2011 00:00,1/6/11,47.98720337,MODIS-Aqua
1/20/11,1/20/11,24.45018632,MODIS-Terra
1/20/11,1/20/11,22.38553002,MODIS-Aqua
1/22/11,1/22/11,21.26828376,MODIS-Terra
1/22/11,1/22/11,22.89297365,MODIS-Aqua
1/25/11,1/25/11,16.16744639,MODIS-Aqua
1/27/11,1/27/11,29.81216506,MODIS-Aqua
1/27/11,1/27/11,38.9467314,MODIS-Terra
1/30/11,1/30/11,32.51067137,MODIS-Aqua
2/1/11,2/1/11,20.53894354,MODIS-Terra
2/1/11,2/1/11,12.40183905,MODIS-Aqua
2/2/11,2/2/11,17.42770098,MODIS-Aqua
2/2/11,2/2/11,14.35874198,MODIS-Terra
2/9/11,2/9/11,21.28167089,MODIS-Aqua
2/10/11,2/10/11,26.03110603,MODIS-Aqua
2/10/11,2/10/11,20.27151761,MODIS-Terra
2/21/11,2/21/11,97.88131484,MODIS-Aqua
2/21/11,2/21/11,10.73799862,MODIS-Terra
4/1/11,4/1/11,67.29894511,MODIS-Terra
4/12/11,4/12/11,63.40595517,MODIS-Aqua
4/12/11,4/12/11,47.92639174,MODIS-Terra
4/19/11,4/19/11,120.5248461,MODIS-Aqua
4/19/11,4/19/11,100.5356545,MODIS-Terra
4/22/11,4/22/11,51.46664488,MODIS-Aqua
4/22/11,4/22/11,76.5706402,MODIS-Terra
4/23/11,4/23/11,59.83689513,MODIS-Terra
5/1/11,5/1/11,40.57623671,MODIS-Aqua
5/1/11,5/1/11,50.97599645,MODIS-Terra
5/4/11,5/4/11,48.20345481,MODIS-Aqua
5/4/11,5/4/11,83.03800317,MODIS-Terra
5/10/11,5/10/11,24.62554208,MODIS-Aqua
5/10/11,5/10/11,36.4065177,MODIS-Terra
5/12/11,5/12/11,28.15197532,MODIS-Terra
5/13/11,5/13/11,40.53507318,MODIS-Terra
5/19/11,5/19/11,30.23633818,MODIS-Aqua
5/19/11,5/19/11,45.72223779,MODIS-Terra
5/20/11,5/20/11,92.6610488,MODIS-Terra
5/20/11,5/20/11,54.75440897,MODIS-Aqua
5/24/11,5/24/11,60.43087246,MODIS-Aqua
5/24/11,5/24/11,93.39574549,MODIS-Terra
6/3/11,6/3/11,62.25887795,MODIS-Terra
6/9/11,6/9/11,62.21879549,MODIS-Terra
6/9/11,6/9/11,27.16776273,MODIS-Aqua
6/14/11,6/14/11,75.69259882,MODIS-Aqua
6/14/11,6/14/11,138.6045216,MODIS-Terra
6/16/11,6/16/11,49.27500222,MODIS-Aqua
6/16/11,6/16/11,60.33966228,MODIS-Terra
6/17/11,6/17/11,60.68298116,MODIS-Aqua
6/17/11,6/17/11,69.53417803,MODIS-Terra
6/20/11,6/20/11,46.17966701,MODIS-Aqua
6/20/11,6/20/11,53.5864306,MODIS-Terra
6/22/11,6/22/11,58.59028093,MODIS-Terra
6/25/11,6/25/11,48.59470249,MODIS-Aqua
6/25/11,6/25/11,55.41849013,MODIS-Terra
7/1/11,7/1/11,86.56810136,MODIS-Terra
7/1/11,7/1/11,86.11773425,MODIS-Aqua
7/2/11,7/2/11,67.20641026,MODIS-Aqua
7/2/11,7/2/11,72.54651602,MODIS-Terra
7/3/11,7/3/11,82.78689,MODIS-Terra
7/3/11,7/3/11,100.9555308,MODIS-Aqua
7/4/11,7/4/11,26.6980884,MODIS-Aqua
7/4/11,7/4/11,78.30411309,MODIS-Terra
7/5/11,7/5/11,82.65194244,MODIS-Aqua
7/5/11,7/5/11,89.25268171,MODIS-Terra
7/6/11,7/6/11,105.2685443,MODIS-Aqua
7/6/11,7/6/11,73.53214272,MODIS-Terra
7/8/11,7/8/11,78.15490459,MODIS-Terra
7/8/11,7/8/11,76.32881001,MODIS-Aqua
7/9/11,7/9/11,88.6856183,MODIS-Aqua
7/9/11,7/9/11,75.2326903,MODIS-Terra
7/10/11,7/10/11,128.8942877,MODIS-Aqua
7/10/11,7/10/11,82.47029372,MODIS-Terra
7/15/11,7/15/11,78.7243703,MODIS-Terra
7/15/11,7/15/11,66.93432436,MODIS-Aqua
7/20/11,7/20/11,16.146921,MODIS-Aqua
7/22/11,7/22/11,37.91369766,MODIS-Aqua
7/22/11,7/22/11,37.3768119,MODIS-Terra
7/23/11,7/23/11,141.2512747,MODIS-Terra
7/23/11,7/23/11,123.1214983,MODIS-Aqua
7/24/11,7/24/11,87.17285645,MODIS-Terra
7/24/11,7/24/11,94.09373874,MODIS-Aqua
7/26/11,7/26/11,49.95639406,MODIS-Terra
7/27/11,7/27/11,51.40430423,MODIS-Terra
7/27/11,7/27/11,48.65540885,MODIS-Aqua
7/28/11,7/28/11,87.6546867,MODIS-Terra
7/28/11,7/28/11,93.60466636,MODIS-Aqua
7/29/11,7/29/11,26.21044531,MODIS-Aqua
7/29/11,7/29/11,81.38908565,MODIS-Terra
7/30/11,7/30/11,88.92243162,MODIS-Terra
7/30/11,7/30/11,124.3754788,MODIS-Aqua
7/31/11,7/31/11,58.65603077,MODIS-Aqua
7/31/11,7/31/11,108.2281775,MODIS-Terra
8/1/11,8/1/11,120.2793668,MODIS-Aqua
8/1/11,8/1/11,156.952312,MODIS-Terra
8/2/11,8/2/11,149.1611337,MODIS-Aqua
8/2/11,8/2/11,88.34809764,MODIS-Terra
8/3/11,8/3/11,82.55684322,MODIS-Aqua
8/3/11,8/3/11,116.3756038,MODIS-Terra
8/4/11,8/4/11,75.87207244,MODIS-Terra
8/4/11,8/4/11,118.527324,MODIS-Aqua
8/5/11,8/5/11,36.8617868,MODIS-Aqua
8/5/11,8/5/11,32.11610244,MODIS-Terra
8/6/11,8/6/11,91.79029007,MODIS-Aqua
8/6/11,8/6/11,80.37150209,MODIS-Terra
8/7/11,8/7/11,45.62737024,MODIS-Aqua
8/7/11,8/7/11,47.23251763,MODIS-Terra
8/8/11,8/8/11,172.6558436,MODIS-Aqua
8/9/11,8/9/11,108.2946272,MODIS-Terra
8/9/11,8/9/11,96.1910951,MODIS-Aqua
8/10/11,8/10/11,132.6623002,MODIS-Terra
8/10/11,8/10/11,80.82813753,MODIS-Aqua
8/11/11,8/11/11,76.88522785,MODIS-Terra
8/11/11,8/11/11,138.4516128,MODIS-Aqua
8/12/11,8/12/11,109.0654481,MODIS-Terra
8/12/11,8/12/11,65.68689607,MODIS-Aqua
8/13/11,8/13/11,108.9794472,MODIS-Terra
8/13/11,8/13/11,141.3182101,MODIS-Aqua
8/14/11,8/14/11,58.68478719,MODIS-Terra
8/14/11,8/14/11,47.88623026,MODIS-Aqua
8/16/11,8/16/11,89.14627029,MODIS-Aqua
8/16/11,8/16/11,106.6950168,MODIS-Terra
8/17/11,8/17/11,89.78335542,MODIS-Aqua
8/17/11,8/17/11,181.8397899,MODIS-Terra
8/18/11,8/18/11,131.2676825,MODIS-Aqua
8/18/11,8/18/11,83.33018604,MODIS-Terra
8/19/11,8/19/11,106.1580505,MODIS-Terra
8/19/11,8/19/11,135.3254727,MODIS-Aqua
8/20/11,8/20/11,85.84377836,MODIS-Terra
8/20/11,8/20/11,100.1001254,MODIS-Aqua
8/21/11,8/21/11,81.11023372,MODIS-Terra
8/21/11,8/21/11,47.9889225,MODIS-Aqua
8/22/11,8/22/11,77.65896079,MODIS-Terra
8/22/11,8/22/11,42.75542392,MODIS-Aqua
8/23/11,8/23/11,100.042661,MODIS-Terra
8/23/11,8/23/11,11.52520523,MODIS-Aqua
8/24/11,8/24/11,99.03361752,MODIS-Aqua
8/25/11,8/25/11,187.2186066,MODIS-Aqua
8/25/11,8/25/11,95.20643217,MODIS-Terra
8/26/11,8/26/11,128.059947,MODIS-Terra
8/26/11,8/26/11,63.01085913,MODIS-Aqua
8/27/11,8/27/11,61.9957289,MODIS-Terra
8/27/11,8/27/11,114.9784292,MODIS-Aqua
8/28/11,8/28/11,64.04378422,MODIS-Aqua
8/29/11,8/29/11,93.24168998,MODIS-Aqua
8/29/11,8/29/11,94.43018059,MODIS-Terra
9/1/11,9/1/11,127.9221619,MODIS-Aqua
9/1/11,9/1/11,69.90126948,MODIS-Terra
9/2/11,9/2/11,137.7916563,MODIS-Terra
9/2/11,9/2/11,98.22480424,MODIS-Aqua
9/3/11,9/3/11,91.18544455,MODIS-Aqua
9/3/11,9/3/11,81.00886839,MODIS-Terra
9/4/11,9/4/11,66.80688738,MODIS-Aqua
9/4/11,9/4/11,102.0524652,MODIS-Terra
9/5/11,9/5/11,60.18244171,MODIS-Terra
9/5/11,9/5/11,93.02892404,MODIS-Aqua
9/6/11,9/6/11,84.25731836,MODIS-Aqua
9/6/11,9/6/11,117.1895462,MODIS-Terra
9/8/11,9/8/11,63.62553339,MODIS-Terra
9/8/11,9/8/11,49.49847932,MODIS-Aqua
9/9/11,9/9/11,147.5114585,MODIS-Terra
9/10/11,9/10/11,89.97957679,MODIS-Aqua
9/10/11,9/10/11,49.37513665,MODIS-Terra
9/11/11,9/11/11,66.67469085,MODIS-Aqua
9/11/11,9/11/11,68.8831581,MODIS-Terra
9/12/11,9/12/11,39.98969366,MODIS-Terra
9/13/11,9/13/11,55.4742163,MODIS-Aqua
9/13/11,9/13/11,97.94556372,MODIS-Terra
9/18/11,9/18/11,52.92668858,MODIS-Aqua
9/19/11,9/19/11,49.06552056,MODIS-Aqua
9/19/11,9/19/11,42.56746871,MODIS-Terra
9/20/11,9/20/11,55.98974443,MODIS-Aqua
9/20/11,9/20/11,95.07813244,MODIS-Terra
9/21/11,9/21/11,61.82633462,MODIS-Terra
9/21/11,9/21/11,92.34124657,MODIS-Aqua
9/23/11,9/23/11,47.07225421,MODIS-Aqua
9/23/11,9/23/11,72.13171848,MODIS-Terra
9/24/11,9/24/11,59.50989093,MODIS-Aqua
9/24/11,9/24/11,98.55969421,MODIS-Terra
9/28/11,9/28/11,49.29529789,MODIS-Terra
9/28/11,9/28/11,68.8723749,MODIS-Aqua
9/29/11,9/29/11,66.56933574,MODIS-Aqua
9/29/11,9/29/11,76.13767231,MODIS-Terra
10/8/11,10/8/11,69.75767685,MODIS-Aqua
10/8/11,10/8/11,44.80221325,MODIS-Terra
10/14/11,10/14/11,59.70131873,MODIS-Terra
10/16/11,10/16/11,16.61415136,MODIS-Aqua
10/17/11,10/17/11,59.87226031,MODIS-Terra
10/17/11,10/17/11,38.63074377,MODIS-Aqua
10/18/11,10/18/11,56.55474869,MODIS-Terra
10/18/11,10/18/11,44.93916114,MODIS-Aqua
10/23/11,10/23/11,40.70484013,MODIS-Terra
10/24/11,10/24/11,19.56309403,MODIS-Aqua
10/24/11,10/24/11,22.61511087,MODIS-Terra
10/25/11,10/25/11,34.25861305,MODIS-Aqua
10/25/11,10/25/11,33.58133308,MODIS-Terra
10/26/11,10/26/11,24.12296387,MODIS-Terra
10/27/11,10/27/11,20.14733369,MODIS-Aqua
10/27/11,10/27/11,23.24849511,MODIS-Terra
10/29/11,10/29/11,24.80933905,MODIS-Aqua
11/1/11,11/1/11,20.20963027,MODIS-Aqua
11/1/11,11/1/11,17.40734199,MODIS-Terra
11/2/11,11/2/11,11.38885509,MODIS-Aqua
11/2/11,11/2/11,16.60498558,MODIS-Terra
