datetime,date,chlorophyll_ugL,sensor
2011-01-20,2011-01-20,5.614619173838093,MODIS-Aqua
2011-01-27,2011-01-27,11.35244667440229,MODIS-Aqua
2011-01-28,2011-01-28,12.096706085667496,MODIS-Aqua
2011-01-30,2011-01-30,27.24889822696774,MODIS-Aqua
2011-02-01,2011-02-01,11.411218623586507,MODIS-Aqua
2011-02-07,2011-02-07,9.561454814939344,MODIS-Aqua
2011-02-09,2011-02-09,15.262344203614708,MODIS-Aqua
2011-02-10,2011-02-10,9.599403638098638,MODIS-Aqua
2011-02-12,2011-02-12,13.425103160605374,MODIS-Aqua
2011-02-14,2011-02-14,14.511681744066916,MODIS-Aqua
2011-02-20,2011-02-20,20.14872009889279,MODIS-Aqua
2011-03-02,2011-03-02,9.606296601604779,MODIS-Aqua
2011-03-07,2011-03-07,12.727848757696787,MODIS-Aqua
2011-03-22,2011-03-22,15.665945762514177,MODIS-Aqua
2011-03-31,2011-03-31,15.36656136311983,MODIS-Aqua
2011-04-02,2011-04-02,12.475520373385178,MODIS-Aqua
2011-04-03,2011-04-03,9.611178628661918,MODIS-Aqua
2011-04-05,2011-04-05,15.25701833064622,MODIS-Aqua
2011-04-11,2011-04-11,16.61075819071932,MODIS-Aqua
2011-04-12,2011-04-12,15.15845849588366,MODIS-Aqua
2011-04-13,2011-04-13,16.14692099969837,MODIS-Aqua
2011-04-18,2011-04-18,15.888478188712279,MODIS-Aqua
2011-04-19,2011-04-19,14.228958621735197,MODIS-Aqua
2011-04-21,2011-04-21,26.582092902689332,MODIS-Aqua
2011-04-25,2011-04-25,18.8978084941694,MODIS-Aqua
2011-04-26,2011-04-26,16.478129677426253,MODIS-Aqua
2011-04-27,2011-04-27,11.972268460727879,MODIS-Aqua
2011-04-28,2011-04-28,15.310766134704897,MODIS-Aqua
2011-04-30,2011-04-30,15.469018591879237,MODIS-Aqua
2011-05-01,2011-05-01,13.20927614780233,MODIS-Aqua
2011-05-03,2011-05-03,11.83472137454315,MODIS-Aqua
2011-05-04,2011-05-04,12.80222984332243,MODIS-Aqua
2011-05-08,2011-05-08,13.922197134258568,MODIS-Aqua
2011-05-09,2011-05-09,16.154185706670827,MODIS-Aqua
2011-05-10,2011-05-10,14.599350267418389,MODIS-Aqua
2011-05-12,2011-05-12,14.074966829946959,MODIS-Aqua
2011-05-18,2011-05-18,21.235232763687016,MODIS-Aqua
2011-05-19,2011-05-19,12.394548432596418,MODIS-Aqua
2011-05-21,2011-05-21,21.13438116311705,MODIS-Aqua
2011-05-22,2011-05-22,19.067611629093804,MODIS-Aqua
2011-05-23,2011-05-23,30.955696977152247,MODIS-Aqua
2011-06-07,2011-06-07,18.82724808991573,MODIS-Aqua
2011-06-08,2011-06-08,22.048740752512455,MODIS-Aqua
2011-06-09,2011-06-09,19.171629448902713,MODIS-Aqua
2011-06-12,2011-06-12,5.935783121095568,MODIS-Aqua
2011-06-13,2011-06-13,18.83190841694365,MODIS-Aqua
2011-06-14,2011-06-14,22.90112367137012,MODIS-Aqua
2011-06-15,2011-06-15,23.689175701854065,MODIS-Aqua
2011-06-16,2011-06-16,19.734414518685103,MODIS-Aqua
2011-06-17,2011-06-17,26.372273065889818,MODIS-Aqua
2011-06-19,2011-06-19,23.461502885706153,MODIS-Aqua
2011-06-20,2011-06-20,26.324098474063117,MODIS-Aqua
2011-06-22,2011-06-22,26.482099929422777,MODIS-Aqua
2011-06-23,2011-06-23,22.563613325812955,MODIS-Aqua
2011-06-24,2011-06-24,31.895497974709397,MODIS-Aqua
2011-06-26,2011-06-26,35.04785932973287,MODIS-Aqua
2011-06-30,2011-06-30,38.14886878998903,MODIS-Aqua
2011-07-01,2011-07-01,33.21324947058661,MODIS-Aqua
2011-07-02,2011-07-02,26.324098474063142,MODIS-Aqua
2011-07-03,2011-07-03,39.116352897197444,MODIS-Aqua
2011-07-04,2011-07-04,38.983788053144295,MODIS-Aqua
2011-07-05,2011-07-05,41.916055242125694,MODIS-Aqua
2011-07-06,2011-07-06,43.86391976849479,MODIS-Aqua
2011-07-07,2011-07-07,34.4104706504706,MODIS-Aqua
2011-07-08,2011-07-08,32.638472053363216,MODIS-Aqua
2011-07-09,2011-07-09,50.4209265247167,MODIS-Aqua
