datetime,date,chlorophyll_ugL,sensor
2011-01-18,2011-01-18,18.156149883223534,MODIS-Terra
2011-01-20,2011-01-20,23.663858682888154,MODIS-Terra
2011-01-20,2011-01-20,5.614619173838093,MODIS-Aqua
2011-01-22,2011-01-22,29.530762370448258,MODIS-Terra
2011-01-25,2011-01-25,10.069444875398487,MODIS-Terra
2011-01-27,2011-01-27,21.665465694781552,MODIS-Terra
2011-01-27,2011-01-27,11.35244667440229,MODIS-Aqua
2011-01-28,2011-01-28,12.096706085667496,MODIS-Aqua
2011-01-30,2011-01-30,27.24889822696774,MODIS-Aqua
2011-02-01,2011-02-01,18.561458451432795,MODIS-Terra
2011-02-01,2011-02-01,11.411218623586507,MODIS-Aqua
2011-02-02,2011-02-02,16.25481802711546,MODIS-Terra
2011-02-06,2011-02-06,17.890022637679706,MODIS-Terra
2011-02-07,2011-02-07,9.561454814939344,MODIS-Aqua
2011-02-07,2011-02-07,7.42379392467558,MODIS-Terra
2011-02-09,2011-02-09,16.473706037353317,MODIS-Terra
2011-02-09,2011-02-09,15.262344203614708,MODIS-Aqua
2011-02-10,2011-02-10,9.599403638098638,MODIS-Aqua
2011-02-10,2011-02-10,17.06804768977706,MODIS-Terra
2011-02-12,2011-02-12,13.425103160605374,MODIS-Aqua
2011-02-14,2011-02-14,14.511681744066916,MODIS-Aqua
2011-02-20,2011-02-20,20.14872009889279,MODIS-Aqua
2011-02-21,2011-02-21,17.727745113179953,MODIS-Terra
2011-02-26,2011-02-26,12.244947124727197,MODIS-Terra
2011-03-02,2011-03-02,9.606296601604779,MODIS-Aqua
2011-03-07,2011-03-07,12.727848757696787,MODIS-Aqua
2011-03-09,2011-03-09,10.190893081828925,MODIS-Terra
2011-03-21,2011-03-21,12.88835213779253,MODIS-Terra
2011-03-22,2011-03-22,15.665945762514177,MODIS-Aqua
2011-03-22,2011-03-22,14.379686270478794,MODIS-Terra
2011-03-28,2011-03-28,14.847670239497313,MODIS-Terra
2011-03-31,2011-03-31,15.36656136311983,MODIS-Aqua
2011-03-31,2011-03-31,15.27361847106509,MODIS-Terra
2011-04-01,2011-04-01,15.79075599097589,MODIS-Terra
2011-04-02,2011-04-02,12.475520373385178,MODIS-Aqua
2011-04-02,2011-04-02,16.821626586900077,MODIS-Terra
2011-04-03,2011-04-03,9.611178628661918,MODIS-Aqua
2011-04-03,2011-04-03,9.287459578413275,MODIS-Terra
2011-04-05,2011-04-05,12.7220857546283,MODIS-Terra
2011-04-05,2011-04-05,15.25701833064622,MODIS-Aqua
2011-04-11,2011-04-11,16.61075819071932,MODIS-Aqua
2011-04-12,2011-04-12,14.874464308651612,MODIS-Terra
2011-04-12,2011-04-12,15.15845849588366,MODIS-Aqua
2011-04-13,2011-04-13,16.14692099969837,MODIS-Aqua
2011-04-18,2011-04-18,15.888478188712279,MODIS-Aqua
2011-04-19,2011-04-19,14.228958621735197,MODIS-Aqua
2011-04-19,2011-04-19,14.244304532327925,MODIS-Terra
2011-04-21,2011-04-21,26.582092902689332,MODIS-Aqua
2011-04-21,2011-04-21,16.74219015231248,MODIS-Terra
2011-04-25,2011-04-25,18.8978084941694,MODIS-Aqua
2011-04-26,2011-04-26,16.478129677426253,MODIS-Aqua
2011-04-27,2011-04-27,11.972268460727879,MODIS-Aqua
2011-04-27,2011-04-27,18.64761057495707,MODIS-Terra
2011-04-28,2011-04-28,15.310766134704897,MODIS-Aqua
2011-04-28,2011-04-28,15.88703111758906,MODIS-Terra
2011-04-30,2011-04-30,11.538486104552055,MODIS-Terra
2011-04-30,2011-04-30,15.469018591879237,MODIS-Aqua
2011-05-01,2011-05-01,13.20927614780233,MODIS-Aqua
2011-05-01,2011-05-01,14.26492701806071,MODIS-Terra
2011-05-03,2011-05-03,11.83472137454315,MODIS-Aqua
2011-05-03,2011-05-03,13.153810466162492,MODIS-Terra
2011-05-04,2011-05-04,12.80222984332243,MODIS-Aqua
2011-05-04,2011-05-04,17.4187329507769,MODIS-Terra
2011-05-08,2011-05-08,13.922197134258568,MODIS-Aqua
2011-05-08,2011-05-08,16.245778131264725,MODIS-Terra
2011-05-09,2011-05-09,16.154185706670827,MODIS-Aqua
2011-05-10,2011-05-10,15.285195363695896,MODIS-Terra
2011-05-10,2011-05-10,14.599350267418389,MODIS-Aqua
2011-05-12,2011-05-12,14.653606231743117,MODIS-Terra
2011-05-12,2011-05-12,14.074966829946959,MODIS-Aqua
2011-05-18,2011-05-18,25.17215291913621,MODIS-Terra
2011-05-18,2011-05-18,21.235232763687016,MODIS-Aqua
2011-05-19,2011-05-19,12.470898368036348,MODIS-Terra
2011-05-19,2011-05-19,12.394548432596418,MODIS-Aqua
2011-05-20,2011-05-20,22.55019852072281,MODIS-Terra
2011-05-21,2011-05-21,21.13438116311705,MODIS-Aqua
2011-05-22,2011-05-22,19.067611629093804,MODIS-Aqua
2011-05-22,2011-05-22,5.423738879549725,MODIS-Terra
2011-05-23,2011-05-23,20.254879915955446,MODIS-Terra
2011-05-23,2011-05-23,30.955696977152247,MODIS-Aqua
2011-05-27,2011-05-27,19.741216215154868,MODIS-Terra
2011-05-29,2011-05-29,20.5477354892945,MODIS-Terra
2011-05-30,2011-05-30,17.337574117926852,MODIS-Terra
2011-06-07,2011-06-07,24.052552413791982,MODIS-Terra
2011-06-07,2011-06-07,18.82724808991573,MODIS-Aqua
2011-06-08,2011-06-08,18.536794012263186,MODIS-Terra
2011-06-08,2011-06-08,22.048740752512455,MODIS-Aqua
2011-06-09,2011-06-09,22.95389371030043,MODIS-Terra
