date,chlorophyll_ugL,organization,location,latitude,longitude
2011-04-18,17.8,CEDEN,Upper Klamath Lake at Wocus Bay-KL0004,42.3262,-121.921
2011-04-18,19.70342048,KLAMATHTRIBES_WQX,UPPER KLAMATH LAKE AT MID-LAKE NORTH,42.441361,-121.998833
2011-04-18,17.52143225,KLAMATHTRIBES_WQX,UPPER KLAMATH LAKE AT PELICAN MARINA,42.241722,-121.822306
2011-04-18,15.5,CEDEN,Upper Klamath Lake at Coon Point-KL0009,42.4356,-122.029
2011-04-18,9.98,CEDEN,Agency Lake South-KL0010,42.5234,-121.985
2011-04-18,13.9,CEDEN,Upper Klamath Lake at Shoalwater Bay-KL0007,42.4071,-121.964
2011-04-18,16.94618901,KLAMATHTRIBES_WQX,UPPER KLAMATH LAKE AT COON POINT,42.435722,-122.028194
2011-04-18,7.34,CEDEN,Upper Klamath Lake at Agency North-KL0011,42.5604,-121.949
2011-04-18,17.52143225,KLAMATHTRIBES_WQX,UPPER KLAMATH LAKE AT NORTH BUCK ISLAND,42.308389,-121.856222
2011-04-18,17.52143225,KLAMATHTRIBES_WQX,UPPER KLAMATH LAKE AT EAGLE RIDGE,42.422083,-121.943278
2011-04-18,11.50842228,KLAMATHTRIBES_WQX,AGENCY LAKE SOUTH,42.523583,-121.984278
2011-04-18,16.1,CEDEN,Upper Klamath Lake at Pelican Marina-KL0002,42.2416,-121.823
2011-04-18,13.5,CEDEN,Upper Klamath Lake at Mid Lake-KL0005,42.3689,-121.85
2011-04-18,19.13756422,KLAMATHTRIBES_WQX,UPPER KLAMATH LAKE AT WOCUS BAY,42.32689,-121.919922
2011-04-18,15.00848536,KLAMATHTRIBES_WQX,UPPER KLAMATH LAKE AT MID-LAKE,42.369083,-121.848694
2011-04-18,15.39865747,KLAMATHTRIBES_WQX,UPPER KLAMATH LAKE AT SHOAL WATER BAY,42.40725,-121.963083
2011-04-18,18.4,CEDEN,Upper Klamath Lake at Mid North-KL0008,42.4412,-122.0
2011-04-18,16.1,CEDEN,Upper Klamath Lake at Eagle Ridge-KL0006,42.4219,-121.944
2011-04-18,16.1,CEDEN,Upper Klamath Lake at North Buck Island-KL0003,42.3082,-121.857
2011-04-18,8.784833848,KLAMATHTRIBES_WQX,AGENCY LAKE NORTH,42.560556,-121.947444
2011-05-02,16.36824325,KLAMATHTRIBES_WQX,AGENCY LAKE SOUTH,42.523583,-121.984278
2011-05-02,18.66425341,KLAMATHTRIBES_WQX,UPPER KLAMATH LAKE AT COON POINT,42.435722,-122.028194
2011-05-02,19.9,CEDEN,Upper Klamath Lake at Mid North-KL0008,42.4412,-122.0
2011-05-02,22.59314993,KLAMATHTRIBES_WQX,UPPER KLAMATH LAKE AT SHOAL WATER BAY,42.40725,-121.963083
2011-05-02,14.6,CEDEN,Upper Klamath Lake at Pelican Marina-KL0002,42.2416,-121.823
2011-05-02,21.5,CEDEN,Upper Klamath Lake at Shoalwater Bay-KL0007,42.4071,-121.964
2011-05-02,8.362630471,KLAMATHTRIBES_WQX,AGENCY LAKE NORTH,42.560556,-121.947444
2011-05-02,21.10847758,KLAMATHTRIBES_WQX,UPPER KLAMATH LAKE AT MID-LAKE NORTH,42.441361,-121.998833
2011-05-02,6.94,CEDEN,Upper Klamath Lake at Agency North-KL0011,42.5604,-121.949
2011-05-02,17.3,CEDEN,Upper Klamath Lake at Coon Point-KL0009,42.4356,-122.029
2011-05-02,21.66686394,KLAMATHTRIBES_WQX,UPPER KLAMATH LAKE AT EAGLE RIDGE,42.422083,-121.943278
2011-05-02,20.82852299,KLAMATHTRIBES_WQX,UPPER KLAMATH LAKE AT MID-LAKE,42.369083,-121.848694
2011-05-02,16.0782191,KLAMATHTRIBES_WQX,UPPER KLAMATH LAKE AT PELICAN MARINA,42.241722,-121.822306
2011-05-02,20.5,CEDEN,Upper Klamath Lake at Eagle Ridge-KL0006,42.4219,-121.944
2011-05-02,19.6,CEDEN,Upper Klamath Lake at Mid Lake-KL0005,42.3689,-121.85
2011-05-02,19.3264358,KLAMATHTRIBES_WQX,UPPER KLAMATH LAKE AT NORTH BUCK ISLAND,42.308389,-121.856222
2011-05-02,19.7,CEDEN,Upper Klamath Lake at Wocus Bay-KL0004,42.3262,-121.921
2011-05-02,18.0,CEDEN,Upper Klamath Lake at North Buck Island-KL0003,42.3082,-121.857
2011-05-02,14.9,CEDEN,Agency Lake South-KL0010,42.5234,-121.985
2011-05-02,20.92189843,KLAMATHTRIBES_WQX,UPPER KLAMATH LAKE AT WOCUS BAY,42.32689,-121.919922
2011-05-17,5.344395449,KLAMATHTRIBES_WQX,UPPER KLAMATH LAKE AT COON POINT,42.435722,-122.028194
2011-05-17,4.936668981,KLAMATHTRIBES_WQX,UPPER KLAMATH LAKE AT MID-LAKE NORTH,42.441361,-121.998833
2011-05-17,4.7,CEDEN,Agency Lake South-KL0010,42.5234,-121.985
2011-05-17,3.29,CEDEN,Upper Klamath Lake at North Buck Island-KL0003,42.3082,-121.857
2011-05-17,7.84138019,KLAMATHTRIBES_WQX,UPPER KLAMATH LAKE AT SHOAL WATER BAY,42.40725,-121.963083
2011-05-17,3.81,CEDEN,Upper Klamath Lake at Mid North-KL0008,42.4412,-122.0
2011-05-17,5.937045978,KLAMATHTRIBES_WQX,AGENCY LAKE SOUTH,42.523583,-121.984278
2011-05-17,4.512716419,KLAMATHTRIBES_WQX,UPPER KLAMATH LAKE AT MID-LAKE,42.369083,-121.848694
2011-05-17,4.28127906,KLAMATHTRIBES_WQX,UPPER KLAMATH LAKE AT PELICAN MARINA,42.241722,-121.822306
2011-05-17,6.422898122,KLAMATHTRIBES_WQX,AGENCY LAKE NORTH,42.560556,-121.947444
2011-05-17,4.776867963,KLAMATHTRIBES_WQX,UPPER KLAMATH LAKE AT WOCUS BAY,42.32689,-121.919922
2011-05-17,3.67,CEDEN,Upper Klamath Lake at Wocus Bay-KL0004,42.3262,-121.921
2011-05-17,4.17,CEDEN,Upper Klamath Lake at Coon Point-KL0009,42.4356,-122.029
2011-05-17,4.54,CEDEN,Upper Klamath Lake at Eagle Ridge-KL0006,42.4219,-121.944
2011-05-17,5.759028687,KLAMATHTRIBES_WQX,UPPER KLAMATH LAKE AT EAGLE RIDGE,42.422083,-121.943278
2011-05-17,4.339296584,KLAMATHTRIBES_WQX,UPPER KLAMATH LAKE AT NORTH BUCK ISLAND,42.308389,-121.856222
2011-05-17,6.45,CEDEN,Upper Klamath Lake at Shoalwater Bay-KL0007,42.4071,-121.964
2011-05-17,3.44,CEDEN,Upper Klamath Lake at Mid Lake-KL0005,42.3689,-121.85
2011-05-17,3.24,CEDEN,Upper Klamath Lake at Pelican Marina-KL0002,42.2416,-121.823
2011-05-17,5.14,CEDEN,Upper Klamath Lake at Agency North-KL0011,42.5604,-121.949
2011-06-02,11.6,CEDEN,Upper Klamath Lake at Mid North-KL0008,42.4412,-122.0
2011-06-02,9.005368174,KLAMATHTRIBES_WQX,UPPER KLAMATH LAKE AT WOCUS BAY,42.32689,-121.919922
2011-06-02,7.55,CEDEN,Upper Klamath Lake at Wocus Bay-KL0004,42.3262,-121.921
2011-06-02,7.98,CEDEN,Upper Klamath Lake at Shoalwater Bay-KL0007,42.4071,-121.964
2011-06-02,13.9,CEDEN,Upper Klamath Lake at Coon Point-KL0009,42.4356,-122.029
2011-06-02,15.39865747,KLAMATHTRIBES_WQX,UPPER KLAMATH LAKE AT COON POINT,42.435722,-122.028194
2011-06-02,13.13515947,KLAMATHTRIBES_WQX,UPPER KLAMATH LAKE AT MID-LAKE NORTH,42.441361,-121.998833
2011-06-02,14.32228142,KLAMATHTRIBES_WQX,AGENCY LAKE SOUTH,42.523583,-121.984278
2011-06-02,15.0,CEDEN,Upper Klamath Lake at Pelican Marina-KL0002,42.2416,-121.823
2011-06-02,15.30124338,KLAMATHTRIBES_WQX,AGENCY LAKE NORTH,42.560556,-121.947444
2011-06-02,12.8,CEDEN,Agency Lake South-KL0010,42.5234,-121.985
2011-06-02,12.03384281,KLAMATHTRIBES_WQX,UPPER KLAMATH LAKE AT EAGLE RIDGE,42.422083,-121.943278
2011-06-02,9.454649672,KLAMATHTRIBES_WQX,UPPER KLAMATH LAKE AT SHOAL WATER BAY,42.40725,-121.963083
2011-06-02,10.5,CEDEN,Upper Klamath Lake at Eagle Ridge-KL0006,42.4219,-121.944
2011-06-02,14.91072507,KLAMATHTRIBES_WQX,UPPER KLAMATH LAKE AT NORTH BUCK ISLAND,42.308389,-121.856222
2011-06-02,16.46476029,KLAMATHTRIBES_WQX,UPPER KLAMATH LAKE AT PELICAN MARINA,42.241722,-121.822306
2011-06-02,13.8,CEDEN,Upper Klamath Lake at Agency North-KL0011,42.5604,-121.949
2011-06-02,14.02681457,KLAMATHTRIBES_WQX,UPPER KLAMATH LAKE AT MID-LAKE,42.369083,-121.848694
2011-06-02,13.4,CEDEN,Upper Klamath Lake at North Buck Island-KL0003,42.3082,-121.857
2011-06-02,12.5,CEDEN,Upper Klamath Lake at Mid Lake-KL0005,42.3689,-121.85
2011-06-13,24.06449486,KLAMATHTRIBES_WQX,UPPER KLAMATH LAKE AT SHOAL WATER BAY,42.40725,-121.963083
2011-06-13,14.3,CEDEN,Agency Lake South-KL0010,42.5234,-121.985
2011-06-13,24.15603579,KLAMATHTRIBES_WQX,UPPER KLAMATH LAKE AT MID-LAKE,42.369083,-121.848694
2011-06-13,14.4,CEDEN,Upper Klamath Lake at Coon Point-KL0009,42.4356,-122.029
2011-06-13,20.7,CEDEN,Upper Klamath Lake at North Buck Island-KL0003,42.3082,-121.857
2011-06-13,21.2,CEDEN,Upper Klamath Lake at Pelican Marina-KL0002,42.2416,-121.823
2011-06-13,22.31582284,KLAMATHTRIBES_WQX,UPPER KLAMATH LAKE AT PELICAN MARINA,42.241722,-121.822306
2011-06-13,16.7,CEDEN,Upper Klamath Lake at Agency North-KL0011,42.5604,-121.949
2011-06-13,15.78747261,KLAMATHTRIBES_WQX,AGENCY LAKE SOUTH,42.523583,-121.984278
2011-06-13,12.9,CEDEN,Upper Klamath Lake at Eagle Ridge-KL0006,42.4219,-121.944
2011-06-13,23.3,CEDEN,Upper Klamath Lake at Wocus Bay-KL0004,42.3262,-121.921
2011-06-13,23.2,CEDEN,Upper Klamath Lake at Mid Lake-KL0005,42.3689,-121.85
2011-06-13,21.85255063,KLAMATHTRIBES_WQX,UPPER KLAMATH LAKE AT NORTH BUCK ISLAND,42.308389,-121.856222
2011-06-13,16.1,CEDEN,Upper Klamath Lake at Mid North-KL0008,42.4412,-122.0
