date,chlorophyll_a_predicted,confidence_lower,confidence_upper,julian_day,year,band1_red,band2_nir,band4_green
2011-01-06,36.642479654775116,30.928266755833633,44.255168060175535,6,2011,0.14705000000000001,0.23815,0.17024999999999998
2011-01-20,45.05377645186365,30.74385822089466,53.66937555267495,20,2011,0.040150000000000005,0.057800000000000004,0.05525
2011-01-22,44.78169202913598,30.737628161111488,53.66937555267495,22,2011,0.04635,0.14095000000000002,0.05655
2011-01-25,38.51457955502109,21.13959365063033,49.42438769358143,25,2011,0.0342,0.0583,0.0386
2011-01-27,45.94768869382148,25.59685259362925,53.66937555267495,27,2011,0.032850000000000004,0.06205000000000001,0.0494
2011-01-30,45.669861022774,29.742287662179173,53.66937555267495,30,2011,0.0445,0.084,0.0615
2011-02-01,42.09222028889755,27.58721226707043,53.66937555267495,32,2011,0.050449999999999995,0.08360000000000001,0.0633
2011-02-02,42.09222028889755,23.441455874097056,53.66937555267495,33,2011,0.07305,0.17535,0.07980000000000001
2011-02-09,44.437691880953295,29.742287662179173,53.66937555267495,40,2011,0.0435,0.1033,0.0554
2011-02-10,43.6776257684115,34.12843360860013,53.66937555267495,41,2011,0.0398,0.0823,0.05715
2011-02-21,18.247059175320445,7.011759267823134,34.98038994905533,52,2011,0.0428,0.0163,0.085
2011-04-01,43.73720605356726,26.990310622930824,53.66937555267495,91,2011,0.0186,0.0388,0.0335
2011-04-12,45.4645249515198,25.841455877297303,53.66937555267495,102,2011,0.0238,0.09425,0.0387
2011-04-19,44.22036979586895,26.990310622930824,49.20096727994494,109,2011,0.0149,0.0453,0.030149999999999996
2011-04-22,43.96000795384245,26.990310622930824,53.66937555267495,112,2011,0.01985,0.0647,0.033299999999999996
2011-04-23,46.225516364868966,25.387715949386973,53.66937555267495,113,2011,0.0255,0.0891,0.0417
2011-05-01,44.981361209218115,25.37922375597259,53.66937555267495,121,2011,0.0211,0.0889,0.032100000000000004
2011-05-04,44.981361209218115,25.819239488958345,53.66937555267495,124,2011,0.020649999999999998,0.10445,0.034100000000000005
2011-05-10,46.225516364868966,22.39668574086275,53.66937555267495,130,2011,0.0296,0.08975,0.0397
2011-05-12,46.225516364868966,38.51457955502109,53.66937555267495,132,2011,0.0451,0.2786,0.0584
2011-05-13,46.22551636486895,23.768136889014354,53.66937555267495,133,2011,0.0238,0.0681,0.0345
2011-05-19,44.981361209218115,23.011043029320636,53.66937555267495,139,2011,0.02515,0.07194999999999999,0.036000000000000004
2011-05-20,45.94768869382148,26.189013286158897,53.66937555267495,140,2011,0.0176,0.14305,0.029949999999999997
2011-05-24,44.70353353817063,26.990310622930824,51.43517141630994,144,2011,0.01685,0.0977,0.02985
2011-06-03,45.669861022774,26.990310622930824,53.66937555267495,154,2011,0.0209,0.1367,0.0346
2011-06-09,42.09222028889755,24.182320836778892,51.546881623128186,160,2011,0.021949999999999997,0.0872,0.032
2011-06-14,45.94768869382148,26.990310622930824,53.66937555267495,165,2011,0.015,0.09415,0.02735
2011-06-16,45.186697280472316,25.37922375597259,53.66937555267495,167,2011,0.02045,0.0728,0.0317
2011-06-17,44.981361209218115,26.535487969523896,53.66937555267495,168,2011,0.019799999999999998,0.1199,0.034050000000000004
2011-06-20,42.370047959945026,22.27652740145463,53.66937555267495,171,2011,0.02735,0.09655,0.0435
2011-06-22,46.225516364868966,36.02991360886984,53.66937555267495,173,2011,0.0336,0.177,0.0516
2011-06-25,46.225516364868966,36.751844077768595,53.66937555267495,176,2011,0.0335,0.10815,0.051000000000000004
2011-07-01,44.98136120921811,25.37922375597259,53.66937555267495,182,2011,0.02035,0.0724,0.036750000000000005
2011-07-02,45.94768869382148,29.957725520033236,53.66937555267495,183,2011,0.023600000000000003,0.1036,0.0408
2011-07-03,46.086602529345214,25.37922375597259,53.66937555267495,184,2011,0.02025,0.0814,0.0383
2011-07-04,45.669861022774,26.700759968893465,53.66937555267495,185,2011,0.0395,0.1533,0.05625
2011-07-05,45.669861022774,23.727498183371964,53.66937555267495,186,2011,0.02085,0.14300000000000002,0.0398
2011-07-06,46.225516364868966,25.44019005502351,53.66937555267495,187,2011,0.020249999999999997,0.1394,0.03625
2011-07-08,44.70353353817063,26.535487969523896,53.66937555267495,189,2011,0.018099999999999998,0.12415,0.032100000000000004
2011-07-09,44.981361209218115,26.535487969523896,53.66937555267495,190,2011,0.0168,0.10855000000000001,0.032799999999999996
2011-07-10,44.443171696144134,26.990310622930824,50.04237489403546,191,2011,0.01405,0.0847,0.0269
2011-07-15,44.57335261715738,26.990310622930824,53.66937555267495,196,2011,0.01515,0.10885,0.0266
2011-07-20,42.09222028889755,23.441455874097056,53.66937555267495,201,2011,0.0741,0.1017,0.0836
2011-07-22,46.22551636486895,23.829103188065275,53.66937555267495,203,2011,0.02375,0.0885,0.0366
2011-07-23,46.0866025293452,26.990310622930824,53.66937555267495,204,2011,0.011949999999999999,0.09204999999999999,0.025550000000000003
2011-07-24,45.325611115996054,26.990310622930824,51.43517141630994,205,2011,0.01445,0.0665,0.0269
2011-07-26,46.225516364868966,38.51457955502109,53.66937555267495,207,2011,0.0366,0.2399,0.0566
2011-07-27,44.981361209218115,25.44019005502351,53.66937555267495,208,2011,0.023350000000000003,0.10250000000000001,0.03685
2011-07-28,45.669861022774,25.37922375597259,53.66937555267495,209,2011,0.0196,0.1477,0.03635
2011-07-29,45.94768869382148,30.989709611723455,53.66937555267495,210,2011,0.02475,0.14995,0.038
2011-07-30,45.94768869382147,26.535487969523896,53.66937555267495,211,2011,0.0184,0.12664999999999998,0.036000000000000004
2011-07-31,44.70353353817063,26.990310622930824,53.66937555267495,212,2011,0.0165,0.08035,0.0292
2011-08-01,44.443171696144134,26.990310622930824,53.66937555267495,213,2011,0.0135,0.12245,0.02725
2011-08-02,44.443171696144134,26.990310622930824,51.43517141630994,214,2011,0.01405,0.09265,0.028650000000000002
2011-08-03,45.186697280472316,26.990310622930824,51.43517141630994,215,2011,0.0142,0.08685,0.02885
2011-08-04,44.443171696144134,25.37922375597259,51.43517141630994,216,2011,0.017050000000000003,0.10365,0.032350000000000004
2011-08-05,43.58269683314799,25.690645791726162,53.66937555267495,217,2011,0.031100000000000003,0.09384999999999999,0.04325
2011-08-06,45.669861022774,26.492070184803705,53.66937555267495,218,2011,0.02105,0.1725,0.03795
2011-08-07,45.4645249515198,24.182320836778892,53.66937555267495,219,2011,0.023100000000000002,0.08595,0.0361
2011-08-08,43.21648236951426,26.990310622930824,49.20096727994494,220,2011,0.0134,0.0746,0.0326
2011-08-09,45.186697280472316,26.990310622930824,51.43517141630994,221,2011,0.0148,0.07855,0.029699999999999997
2011-08-10,44.443171696144134,26.990310622930824,50.11201472014918,222,2011,0.01625,0.09684999999999999,0.031100000000000003
2011-08-11,44.443171696144134,26.990310622930824,51.43517141630994,223,2011,0.015899999999999997,0.09375,0.0311
2011-08-12,45.669861022774,26.990310622930824,53.66937555267495,224,2011,0.0165,0.10635,0.030199999999999998
2011-08-13,43.607025132554014,24.92440110256566,51.43517141630994,225,2011,0.018349999999999998,0.0906,0.038400000000000004
2011-08-14,46.225516364868966,23.406991809625133,53.66937555267495,226,2011,0.026099999999999998,0.0673,0.04045
2011-08-16,44.443171696144134,26.990310622930824,53.66937555267495,228,2011,0.012549999999999999,0.1033,0.026
2011-08-17,44.981361209218115,26.990310622930824,53.66937555267495,229,2011,0.013399999999999999,0.10830000000000001,0.0278
2011-08-18,44.443171696144134,26.990310622930824,50.04237489403546,230,2011,0.0143,0.08505,0.0281
2011-08-19,44.72099936719161,26.990310622930824,50.04237489403546,231,2011,0.01185,0.06455,0.025599999999999998
2011-08-20,45.947688693821476,26.990310622930824,53.66937555267495,232,2011,0.0152,0.08845,0.02955
2011-08-21,44.98136120921811,24.182320836778892,51.43517141630994,233,2011,0.01835,0.0723,0.03075
2011-08-22,45.94768869382148,32.236703574132825,53.66937555267495,234,2011,0.02765,0.17025,0.04535
2011-08-23,42.09222028889755,25.245771997353884,53.66937555267495,235,2011,0.0368,0.1408,0.042749999999999996
2011-08-24,46.22551636486895,26.990310622930824,53.66937555267495,236,2011,0.0149,0.0724,0.0311
2011-08-25,43.476844211540765,26.990310622930824,51.43517141630994,237,2011,0.0111,0.0696,0.022899999999999997
2011-08-26,45.947688693821476,26.990310622930824,53.66937555267495,238,2011,0.014499999999999999,0.089,0.0288
2011-08-27,43.96000795384245,26.990310622930824,50.11201472014918,239,2011,0.01645,0.08249999999999999,0.030449999999999998
2011-08-28,45.669861022774,26.990310622930824,53.66937555267495,240,2011,0.0195,0.0794,0.0336
2011-08-29,45.94768869382148,25.335805971252398,53.66937555267495,241,2011,0.0211,0.15685,0.0406
2011-09-01,44.443171696144134,26.990310622930824,51.43517141630994,244,2011,0.013649999999999999,0.0985,0.025500000000000002
2011-09-02,45.947688693821476,26.990310622930824,53.66937555267495,245,2011,0.0133,0.09989999999999999,0.02675
2011-09-03,44.70353353817063,26.990310622930824,53.66937555267495,246,2011,0.0131,0.08055,0.026000000000000002
2011-09-04,44.98136120921811,26.990310622930824,53.66937555267495,247,2011,0.01515,0.08335,0.027450000000000002
2011-09-05,45.94768869382148,25.44019005502351,53.66937555267495,248,2011,0.019200000000000002,0.11044999999999999,0.033600000000000005
2011-09-06,44.70353353817063,26.990310622930824,53.66937555267495,249,2011,0.01445,0.1011,0.02765
2011-09-08,45.80877485829774,25.78048957824638,53.66937555267495,251,2011,0.0203,0.09255,0.03315
2011-09-09,43.73720605356726,26.990310622930824,53.66937555267495,252,2011,0.0111,0.0936,0.024
2011-09-10,45.94768869382148,25.78048957824638,53.66937555267495,253,2011,0.02145,0.17165,0.03655
2011-09-11,45.94768869382148,25.819239488958345,53.66937555267495,254,2011,0.02385,0.08495,0.0392
2011-09-12,46.225516364868966,38.51457955502109,53.66937555267495,255,2011,0.0478,0.2818,0.069
2011-09-13,45.669861022774,26.990310622930824,51.43517141630994,256,2011,0.0175,0.1393,0.03155
2011-09-18,46.225516364868966,23.890069487116197,53.66937555267495,261,2011,0.024,0.0821,0.0393
2011-09-19,45.669861022774,24.957112377532447,53.66937555267495,262,2011,0.0214,0.07545,0.0345
