datetime,chlorophyll_ugL,sensor,method
2011-01-20,36.34492756442397,MODIS-Aqua,Green Red Ratio
2011-01-22,22.943773730778553,MODIS-Aqua,Green Red Ratio
2011-01-25,10.581108278856536,MODIS-Aqua,Green Red Ratio
2011-01-27,35.85177295340202,MODIS-Aqua,Green Red Ratio
2011-01-30,31.99465184680759,MODIS-Aqua,Green Red Ratio
2011-02-01,10.230106289476032,MODIS-Aqua,Green Red Ratio
2011-02-02,14.636825014675619,MODIS-Aqua,Green Red Ratio
2011-02-09,18.162200020725347,MODIS-Aqua,Green Red Ratio
2011-02-10,18.633949427785772,MODIS-Aqua,Green Red Ratio
2011-02-21,128.48407686022142,MODIS-Aqua,Green Red Ratio
2011-04-12,80.00942658386748,MODIS-Aqua,Green Red Ratio
2011-04-22,124.67300871569675,MODIS-Aqua,Green Red Ratio
2011-05-01,43.3249616728693,MODIS-Aqua,Green Red Ratio
2011-05-04,52.42002753206221,MODIS-Aqua,Green Red Ratio
2011-05-10,25.851849052869035,MODIS-Aqua,Green Red Ratio
2011-05-19,23.71687707562935,MODIS-Aqua,Green Red Ratio
2011-05-20,108.6978831430408,MODIS-Aqua,Green Red Ratio
2011-05-24,97.61558621792429,MODIS-Aqua,Green Red Ratio
2011-06-09,26.609306219185207,MODIS-Aqua,Green Red Ratio
2011-06-14,135.43877844535749,MODIS-Aqua,Green Red Ratio
2011-06-16,52.130254064986474,MODIS-Aqua,Green Red Ratio
2011-06-17,88.69202012667742,MODIS-Aqua,Green Red Ratio
2011-06-20,20.252859471250815,MODIS-Aqua,Green Red Ratio
2011-06-25,38.36769237751582,MODIS-Aqua,Green Red Ratio
2011-07-01,79.92784959463849,MODIS-Aqua,Green Red Ratio
2011-07-02,60.520790323067324,MODIS-Aqua,Green Red Ratio
2011-07-03,127.91494633090385,MODIS-Aqua,Green Red Ratio
2011-07-04,26.151476205793465,MODIS-Aqua,Green Red Ratio
2011-07-05,121.59513761833982,MODIS-Aqua,Green Red Ratio
2011-07-06,143.39626931144352,MODIS-Aqua,Green Red Ratio
2011-07-08,96.5590701113039,MODIS-Aqua,Green Red Ratio
2011-07-09,128.494128965429,MODIS-Aqua,Green Red Ratio
2011-07-10,237.40143801409704,MODIS-Aqua,Green Red Ratio
2011-07-15,71.91592083631284,MODIS-Aqua,Green Red Ratio
2011-07-20,19.10226334487716,MODIS-Aqua,Green Red Ratio
2011-07-22,34.55980022972286,MODIS-Aqua,Green Red Ratio
