datetime,chlorophyll_ugL,sensor,method
2011-01-06,13.862350266565333,MODIS-Terra,Green Red Ratio
2011-01-20,26.453103578499473,MODIS-Terra,Green Red Ratio
2011-01-22,18.983542762357065,MODIS-Terra,Green Red Ratio
2011-01-27,19.115336925117013,MODIS-Terra,Green Red Ratio
2011-02-01,18.41263958615557,MODIS-Terra,Green Red Ratio
2011-02-02,13.709931386814036,MODIS-Terra,Green Red Ratio
2011-02-10,18.204222820808734,MODIS-Terra,Green Red Ratio
2011-02-21,12.086098139896253,MODIS-Terra,Green Red Ratio
2011-04-01,73.70365887544654,MODIS-Terra,Green Red Ratio
2011-04-12,55.491405643350554,MODIS-Terra,Green Red Ratio
2011-04-19,211.82241027905488,MODIS-Terra,Green Red Ratio
2011-04-22,90.41296181049483,MODIS-Terra,Green Red Ratio
2011-04-23,70.31345868243002,MODIS-Terra,Green Red Ratio
2011-05-01,56.608204973781625,MODIS-Terra,Green Red Ratio
2011-05-04,84.28067769375112,MODIS-Terra,Green Red Ratio
2011-05-10,31.757131649511773,MODIS-Terra,Green Red Ratio
2011-05-12,24.56430585777943,MODIS-Terra,Green Red Ratio
2011-05-13,35.573869758718416,MODIS-Terra,Green Red Ratio
2011-05-19,35.64809510587322,MODIS-Terra,Green Red Ratio
2011-05-20,97.879628003361,MODIS-Terra,Green Red Ratio
2011-05-24,98.95940540081872,MODIS-Terra,Green Red Ratio
2011-06-03,58.24210759303654,MODIS-Terra,Green Red Ratio
2011-06-09,37.73177496313712,MODIS-Terra,Green Red Ratio
2011-06-14,177.4630706693573,MODIS-Terra,Green Red Ratio
2011-06-16,56.057667221701,MODIS-Terra,Green Red Ratio
2011-06-17,101.65725284687728,MODIS-Terra,Green Red Ratio
2011-06-20,31.93682670495135,MODIS-Terra,Green Red Ratio
2011-06-22,57.044694801782136,MODIS-Terra,Green Red Ratio
2011-06-25,39.99036681940028,MODIS-Terra,Green Red Ratio
2011-07-01,89.47977507594511,MODIS-Terra,Green Red Ratio
2011-07-02,53.306904077433146,MODIS-Terra,Green Red Ratio
2011-07-03,84.8152237153491,MODIS-Terra,Green Red Ratio
2011-07-04,38.45158327752042,MODIS-Terra,Green Red Ratio
2011-07-05,98.66431473971952,MODIS-Terra,Green Red Ratio
2011-07-06,26.873274538508298,MODIS-Terra,Green Red Ratio
2011-07-08,77.75994817595543,MODIS-Terra,Green Red Ratio
2011-07-09,69.65765633509004,MODIS-Terra,Green Red Ratio
