datetime,chlorophyll_ugL,sensor,method
2011-01-20,7.155422390760843,MODIS-Aqua,Green Red Ratio
2011-01-27,11.832648631322554,MODIS-Aqua,Green Red Ratio
2011-01-28,12.452618510416585,MODIS-Aqua,Green Red Ratio
2011-01-30,16.51507304880219,MODIS-Aqua,Green Red Ratio
2011-02-01,11.881438695488148,MODIS-Aqua,Green Red Ratio
2011-02-07,10.35811957127719,MODIS-Aqua,Green Red Ratio
2011-02-09,15.147023072747494,MODIS-Aqua,Green Red Ratio
2011-02-10,10.38914087660021,MODIS-Aqua,Green Red Ratio
2011-02-12,13.57136911468592,MODIS-Aqua,Green Red Ratio
2011-02-14,14.49906929025436,MODIS-Aqua,Green Red Ratio
2011-02-20,19.518746512381,MODIS-Aqua,Green Red Ratio
2011-03-02,11.847531617928391,MODIS-Aqua,Green Red Ratio
2011-03-07,12.98212757991193,MODIS-Aqua,Green Red Ratio
2011-03-22,15.497871262573106,MODIS-Aqua,Green Red Ratio
2011-03-31,15.237450966283506,MODIS-Aqua,Green Red Ratio
2011-04-02,12.770002654529593,MODIS-Aqua,Green Red Ratio
2011-04-03,10.398768076926984,MODIS-Aqua,Green Red Ratio
2011-04-05,15.142404993504304,MODIS-Aqua,Green Red Ratio
2011-04-11,16.326137066405,MODIS-Aqua,Green Red Ratio
2011-04-12,15.05699795018678,MODIS-Aqua,Green Red Ratio
2011-04-13,15.918286293261618,MODIS-Aqua,Green Red Ratio
2011-04-18,15.692070055195403,MODIS-Aqua,Green Red Ratio
2011-04-19,14.256544260715565,MODIS-Aqua,Green Red Ratio
2011-04-21,19.06421077521292,MODIS-Aqua,Green Red Ratio
2011-04-25,13.8219126980717,MODIS-Aqua,Green Red Ratio
2011-04-26,16.2092726968284,MODIS-Aqua,Green Red Ratio
2011-04-27,12.348635233932589,MODIS-Aqua,Green Red Ratio
2011-04-28,15.189023737341717,MODIS-Aqua,Green Red Ratio
2011-04-30,15.326465094390715,MODIS-Aqua,Green Red Ratio
2011-05-01,13.38848400816365,MODIS-Aqua,Green Red Ratio
2011-05-03,12.233852418761742,MODIS-Aqua,Green Red Ratio
